date,signal_date,rank,symbol,score
2026-01-30,2026-01-29,1,HINDCOPPER,10.984099263266216
2026-01-30,2026-01-29,2,NATIONALUM,6.980248799267931
2026-01-30,2026-01-29,3,VEDL,4.326698333890385
2026-01-30,2026-01-29,4,HINDZINC,3.721866226170906
2026-01-30,2026-01-29,5,MCX,3.5115221512367794
2026-01-30,2026-01-29,6,ATHERENERG,2.895009041833225
2026-01-30,2026-01-29,7,HINDALCO,2.6915957352168736
2026-01-30,2026-01-29,8,MUTHOOTFIN,2.4808632264068593
2026-01-30,2026-01-29,9,SHRIRAMFIN,2.455289113002497
2026-01-30,2026-01-29,10,GMDCLTD,2.4078655952392816
2026-01-30,2026-01-29,11,BANKINDIA,2.30425901698402
2026-01-30,2026-01-29,12,KARURVYSYA,2.2264515722958644
2026-01-30,2026-01-29,13,NETWEB,2.1766435675201725
2026-01-30,2026-01-29,14,ASHOKLEY,2.1738490131321035
2026-01-30,2026-01-29,15,CANBK,2.1252181020424072
2026-01-30,2026-01-29,16,FEDERALBNK,1.8808700661313793
2026-01-30,2026-01-29,17,UNIONBANK,1.851639245611739
2026-01-30,2026-01-29,18,AUBANK,1.8508296791624075
2026-01-30,2026-01-29,19,ECLERX,1.807059084381414
2026-01-30,2026-01-29,20,GVT&D,1.7919299570562819
2026-01-30,2026-01-29,21,M&MFIN,1.7763250888402498
2026-01-30,2026-01-29,22,JKTYRE,1.722584602775744
2026-01-30,2026-01-29,23,INDIANB,1.7215917988777907
2026-01-30,2026-01-29,24,APLAPOLLO,1.6617705497331559
