date,action,company_name,symbol,source
1998-08-01,include,Bank of Baroda,,nse_incl_excl
1998-08-01,include,Bank of India,,nse_incl_excl
1998-08-01,include,Bannari Amman Sugars Ltd.,,nse_incl_excl
1998-08-01,include,Baroda Rayon Corporation Ltd.,,nse_incl_excl
1998-08-01,include,Bata India Ltd.,,nse_incl_excl
1998-08-01,include,Bayer Cropscience Ltd.,,nse_incl_excl
1998-08-01,include,Bell Ceramics Ltd.,,nse_incl_excl
1998-08-01,include,Berger Paints India Ltd.,,nse_incl_excl
1998-08-01,include,Bharat Bijlee Ltd.,,nse_incl_excl
1998-08-01,include,Bharat Electronics Ltd.,,nse_incl_excl
1998-08-01,include,Bharat Forge Ltd.,,nse_incl_excl
1998-08-01,include,Bharat Heavy Electricals Ltd.,,nse_incl_excl
1998-08-01,include,Bharat Petroleum Corporation Ltd.,,nse_incl_excl
1998-08-01,include,Bharti Telecom Ltd.-Suspended,,nse_incl_excl
1998-08-01,include,Binani Industries Ltd.,,nse_incl_excl
1998-08-01,include,Birla Corporation Ltd.,,nse_incl_excl
1998-08-01,include,Birla Global Finance Ltd.,,nse_incl_excl
1998-08-01,include,Birla Power Solutions Ltd.,,nse_incl_excl
1998-08-01,include,Blow Plast Ltd.,,nse_incl_excl
1998-08-01,include,Blue Star Ltd.,,nse_incl_excl
1998-08-01,include,Bombay Burmah Trading Corporation Ltd.,,nse_incl_excl
1998-08-01,include,Bombay Dyeing & Manufacturing Co. Ltd.,,nse_incl_excl
1998-08-01,include,Bongaigaon Refinery & Petrochemicals Ltd.,,nse_incl_excl
1998-08-01,include,Bosch Ltd.,,nse_incl_excl
1998-08-01,include,Brabourne Enterprises Ltd.,,nse_incl_excl
1998-08-01,include,Britannia Industries Ltd.,,nse_incl_excl
1998-08-01,include,Burroughs Wellcome (India) Ltd.,,nse_incl_excl
1998-08-01,include,CESC Ltd.,,nse_incl_excl
1998-08-01,include,CFL Capital Financial Services Ltd.,,nse_incl_excl
1998-08-01,include,CRISIL Ltd.,,nse_incl_excl
1998-08-01,include,Cable Corporation of India Ltd.,,nse_incl_excl
1998-08-01,include,Cabot India Ltd.,,nse_incl_excl
1998-08-01,include,Cadbury India Ltd.,,nse_incl_excl
1998-08-01,include,Caprihans India Ltd.,,nse_incl_excl
1998-08-01,include,Carborundum Universal Ltd.,,nse_incl_excl
1998-08-01,include,Carrier Aircon Ltd.,,nse_incl_excl
1998-08-01,include,Castrol (India) Ltd.,,nse_incl_excl
1998-08-01,include,Ceat Ltd.,,nse_incl_excl
1998-08-01,include,Centak Chemicals Ltd.,,nse_incl_excl
1998-08-01,include,Century Enka Ltd.,,nse_incl_excl
1998-08-01,include,Century Textile & Industries Ltd.,,nse_incl_excl
1998-08-01,include,Chambal Fertilizers & Chemicals Ltd.,,nse_incl_excl
1998-08-01,include,Cheminor Drugs Ltd.,,nse_incl_excl
1998-08-01,include,Chemplast Sanmar Ltd.,,nse_incl_excl
1998-08-01,include,Chennai Petroleum Corporation Ltd.,,nse_incl_excl
1998-08-01,include,Chicago Pneumatic India Ltd.,,nse_incl_excl
1998-08-01,include,Chowgule Steamships Ltd.,,nse_incl_excl
1998-08-01,include,Cipla Ltd.,,nse_incl_excl
1998-08-01,include,Clariant (India) Ltd.,,nse_incl_excl
1998-08-01,include,Clariant Chemicals (India) Ltd.,,nse_incl_excl
1998-08-01,include,Colgate Palmolive (India) Ltd.,,nse_incl_excl
1998-08-01,include,Core Healthcare Ltd.,,nse_incl_excl
1998-08-01,include,Cosmo Films Ltd.,,nse_incl_excl
1998-08-01,include,Crompton Greaves Ltd.,,nse_incl_excl
1998-08-01,include,Cummins India Ltd.,,nse_incl_excl
1998-08-01,include,DCL Polyesters Ltd.,,nse_incl_excl
1998-08-01,include,DCW Ltd.,,nse_incl_excl
1998-08-01,include,DIC India Ltd.,,nse_incl_excl
1998-08-01,include,Dabur India Ltd.,,nse_incl_excl
1998-08-01,include,Daewoo Motors India Ltd.,,nse_incl_excl
1998-08-01,include,Dalmia Bharat Sugar and Industries Ltd.,,nse_incl_excl
1998-08-01,include,Deepak Fertilisers & Petrochemicals Corp. Ltd.,,nse_incl_excl
1998-08-01,include,Denso India Ltd.,,nse_incl_excl
1998-08-01,include,Dewan Rubber Industries Ltd.,,nse_incl_excl
1998-08-01,include,Dhampur Sugar Mills Ltd.,,nse_incl_excl
1998-08-01,include,Dharamsi Morarji Chemical Co. Ltd.,,nse_incl_excl
1998-08-01,include,Digital Globalsoft Ltd.,,nse_incl_excl
1998-08-01,include,Digjam Ltd.,,nse_incl_excl
1998-08-01,include,Dr. Reddy's Laboratories Ltd.,,nse_incl_excl
1998-08-01,include,E.I.D. Parry (India) Ltd.,,nse_incl_excl
1998-08-01,include,EIH Ltd.,,nse_incl_excl
1998-08-01,include,ESAB India Ltd.,,nse_incl_excl
1998-08-01,include,Elecon Engineering Co. Ltd.,,nse_incl_excl
1998-08-01,include,Electrex (India) Ltd.,,nse_incl_excl
1998-08-01,include,Electrosteel Castings Ltd.,,nse_incl_excl
1998-08-01,include,Elgi Equipments Ltd.,,nse_incl_excl
1998-08-01,include,Escorts Ltd.,,nse_incl_excl
1998-08-01,include,Eskay K'n'IT (India) Ltd.,,nse_incl_excl
1998-08-01,include,Essar Oil Ltd.,,nse_incl_excl
1998-08-01,include,Essar Ports Ltd.,,nse_incl_excl
1998-08-01,include,Essar Steel Ltd.,,nse_incl_excl
1998-08-01,include,Essel Propack Ltd.,,nse_incl_excl
1998-08-01,include,Everest Industries Ltd.,,nse_incl_excl
1998-08-01,include,Excel Industries Ltd.- Arrangement,,nse_incl_excl
1998-08-01,include,Exide Industries Ltd.,,nse_incl_excl
1998-08-01,include,FDC Ltd.,,nse_incl_excl
1998-08-01,include,FGP Ltd.,,nse_incl_excl
1998-08-01,include,Fag Bearings India Ltd.,,nse_incl_excl
1998-08-01,include,Federal Bank Ltd.,,nse_incl_excl
1998-08-01,include,Federal-Mogul Goetze (India) Ltd.,,nse_incl_excl
1998-08-01,include,Finolex Cables Ltd.,,nse_incl_excl
1998-08-01,include,Finolex Industries Ltd.,,nse_incl_excl
1998-08-01,include,Flat Products Equipments (India) Ltd.,,nse_incl_excl
1998-08-01,include,Forbes Gokak Ltd.,,nse_incl_excl
1998-08-01,include,Foseco India Ltd.,,nse_incl_excl
1998-08-01,include,Fulford (India) Ltd.,,nse_incl_excl
1998-08-01,include,GAIL (India) Ltd.,,nse_incl_excl
1998-08-01,include,GHCL Ltd.,,nse_incl_excl
1998-08-01,include,GKN Driveshafts Ltd. -Delisted,,nse_incl_excl
1998-08-01,include,GTL Ltd.,,nse_incl_excl
1998-08-01,include,GTN Industries Ltd.,,nse_incl_excl
1998-08-01,include,Ganesh Benzoplast Ltd.,,nse_incl_excl
1998-08-01,include,Garden Silk Mills Ltd.,,nse_incl_excl
1998-08-01,include,Garware Polyester Ltd.,,nse_incl_excl
1998-08-01,include,Garware-Wall Ropes Ltd.,,nse_incl_excl
1998-08-01,include,German Remedies Ltd.,,nse_incl_excl
1998-08-01,include,Gillette India Ltd.,,nse_incl_excl
1998-08-01,include,GlaxoSmithkline Consumer Healthcare Ltd.,,nse_incl_excl
1998-08-01,include,Glaxosmithkline Pharmaceuticals Ltd.,,nse_incl_excl
1998-08-01,include,Godavari Fertilisers & Chemicals Ltd.,,nse_incl_excl
1998-08-01,include,Godfrey Phillips India Ltd.,,nse_incl_excl
1998-08-01,include,Godrej Industries Ltd.-Old,,nse_incl_excl
1998-08-01,include,Golden Tobacco Ltd.,,nse_incl_excl
1998-08-01,include,Good Value Marketing Co. Ltd.,,nse_incl_excl
1998-08-01,include,Goodricke Group Ltd.,,nse_incl_excl
1998-08-01,include,Goodyear India Ltd.,,nse_incl_excl
1998-08-01,include,Grasim Industries Ltd.,,nse_incl_excl
1998-08-01,include,Great Eastern Shipping Co. Ltd.,,nse_incl_excl
1998-08-01,include,Greaves Cotton Ltd.,,nse_incl_excl
1998-08-01,include,Grindwell Norton Ltd.,,nse_incl_excl
1998-08-01,include,Gujarat Alkalies & Chemicals Ltd.,,nse_incl_excl
1998-08-01,include,Gujarat Fluorochemicals Ltd.,,nse_incl_excl
1998-08-01,include,Gujarat Gas Co. Ltd.,,nse_incl_excl
1998-08-01,include,Gujarat Industries Power Co. Ltd.,,nse_incl_excl
1998-08-01,include,Gujarat Lease Financing Ltd.,,nse_incl_excl
1998-08-01,include,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,,nse_incl_excl
1998-08-01,include,Gujarat State Fertilizers & Chemicals Ltd.,,nse_incl_excl
1998-08-01,include,H.E.G. Ltd.,,nse_incl_excl
1998-08-01,include,HAMCO Mining & Smelting Ltd.,,nse_incl_excl
1998-08-01,include,HCL Infosystems Ltd.,,nse_incl_excl
1998-08-01,include,HDFC Bank Ltd.,,nse_incl_excl
1998-08-01,include,HIL Ltd.,,nse_incl_excl
1998-08-01,include,Harrisons Malayalam Ltd.,,nse_incl_excl
1998-08-01,include,HeidelbergCement India Ltd.,,nse_incl_excl
1998-08-01,include,Herbertsons Ltd.,,nse_incl_excl
1998-08-01,include,Hero MotoCorp Ltd.,,nse_incl_excl
1998-08-01,include,Himachal Fut Com Ltd.- Old,,nse_incl_excl
1998-08-01,include,Himatsingka Seide Ltd.,,nse_incl_excl
1998-08-01,include,Hind Lever Chemicals Ltd.,,nse_incl_excl
1998-08-01,include,Hind Syntex Ltd.,,nse_incl_excl
1998-08-01,include,Hindalco Industries Ltd.,,nse_incl_excl
1998-08-01,include,Hindustan Construction Co. Ltd.,,nse_incl_excl
1998-08-01,include,Hindustan Development Corporation Ltd.,,nse_incl_excl
1998-08-01,include,Hindustan Motors Ltd.,,nse_incl_excl
1998-08-01,include,Hindustan Oil Exploration Co. Ltd.,,nse_incl_excl
1998-08-01,include,Hindustan Organic Chemicals Ltd.,,nse_incl_excl
1998-08-01,include,Hindustan Petroleum Corporation Ltd.,,nse_incl_excl
1998-08-01,include,Hindustan Powerplus Ltd.,,nse_incl_excl
1998-08-01,include,Hindustan Unilever Ltd.,,nse_incl_excl
1998-08-01,include,Hindustan Zinc Ltd.,,nse_incl_excl
1998-08-01,include,Hitech Drilling Services India Ltd.,,nse_incl_excl
1998-08-01,include,Hoganas India Ltd.- Sus,,nse_incl_excl
1998-08-01,include,Honda SIEL Power Products Ltd.,,nse_incl_excl
1998-08-01,include,Honeywell Automation India Ltd.,,nse_incl_excl
1998-08-01,include,Hotel Leela Venture Ltd.,,nse_incl_excl
1998-08-01,include,Housing Development Finance Corporation Ltd.,,nse_incl_excl
1998-08-01,include,I G Petrochemicals Ltd.,,nse_incl_excl
1998-08-01,include,I T C Bhadrachalam Paper Boards Ltd.,,nse_incl_excl
1998-08-01,include,I T C Ltd.,,nse_incl_excl
1998-08-01,include,IBP Co. Ltd.,,nse_incl_excl
1998-08-01,include,ICICI Ltd.,,nse_incl_excl
1998-08-01,include,IDBI Bank Ltd.,,nse_incl_excl
1998-08-01,include,IDI Ltd.,,nse_incl_excl
1998-08-01,include,IFB Industries Ltd.,,nse_incl_excl
1998-08-01,include,IFCI Ltd.,,nse_incl_excl
1998-08-01,include,IP Rings Ltd.,,nse_incl_excl
1998-08-01,include,ISMT Ltd.,,nse_incl_excl
1998-08-01,include,ITC Hotels Ltd.,,nse_incl_excl
1998-08-01,include,ITD Cementation India Ltd.,,nse_incl_excl
1998-08-01,include,ITI Ltd.,,nse_incl_excl
1998-08-01,include,ITW Signode India Ltd.- Sus,,nse_incl_excl
1998-08-01,include,India Cements Ltd.,,nse_incl_excl
1998-08-01,include,India Glycols Ltd.,,nse_incl_excl
1998-08-01,include,India Gypsum Ltd.,,nse_incl_excl
1998-08-01,include,India Securities Ltd.,,nse_incl_excl
1998-08-01,include,Indian Aluminium Co. Ltd.,,nse_incl_excl
1998-08-01,include,Indian Card Clothing Co. Ltd.,,nse_incl_excl
1998-08-01,include,Indian Hotels Co. Ltd.,,nse_incl_excl
1998-08-01,include,Indian Organic Chemicals Ltd.,,nse_incl_excl
1998-08-01,include,Indian Petrochemicals Corporation Ltd.,,nse_incl_excl
1998-08-01,include,Indo Gulf Corporation Ltd.,,nse_incl_excl
1998-08-01,include,Indo Rama Synthetics (India) Ltd. - Old,,nse_incl_excl
1998-08-01,include,Industrial Oxygen Co. Ltd. -Sus,,nse_incl_excl
1998-08-01,include,Infomedia Press Ltd.,,nse_incl_excl
1998-08-01,include,Infosys Ltd.,,nse_incl_excl
1998-08-01,include,Ingersoll Rand (India) Ltd.,,nse_incl_excl
1998-08-01,include,International Travel House Ltd.,,nse_incl_excl
1998-08-01,include,Ion Exchange (India) Ltd.,,nse_incl_excl
1998-08-01,include,Ipca Laboratories Ltd.,,nse_incl_excl
1998-08-01,include,Ispat Alloys Ltd.,,nse_incl_excl
1998-08-01,include,J.B. Chemicals & Pharmaceuticals Ltd.,,nse_incl_excl
1998-08-01,include,JBF Industries Ltd.,,nse_incl_excl
1998-08-01,include,JCT Electronics Ltd.,,nse_incl_excl
1998-08-01,include,JCT Ltd.,,nse_incl_excl
1998-08-01,include,JD Orgochem Ltd.,,nse_incl_excl
1998-08-01,include,JK Lakshmi Cement Ltd.,,nse_incl_excl
1998-08-01,include,JK Tyre & Industries Ltd..,,nse_incl_excl
1998-08-01,include,JSW ISPAT Steel Ltd.,,nse_incl_excl
1998-08-01,include,Jagatjit Industries Ltd. -Sus,,nse_incl_excl
1998-08-01,include,Jain Irrigation Systems Ltd. (Old),,nse_incl_excl
1998-08-01,include,Jaiprakash Industries Ltd.- Suspended,,nse_incl_excl
1998-08-01,include,Jay Shree Tea & Industries Ltd.,,nse_incl_excl
1998-08-01,include,Jindal Iron & Steel Co. Ltd.,,nse_incl_excl
1998-08-01,include,Jindal Photo Ltd.,,nse_incl_excl
1998-08-01,include,Jindal Saw Ltd.,,nse_incl_excl
1998-08-01,include,Jindal Strips Ltd.- Merged,,nse_incl_excl
1998-08-01,include,Jyoti Structures Ltd.,,nse_incl_excl
1998-08-01,include,KSB Pumps Ltd.,,nse_incl_excl
1998-08-01,include,Kajaria Ceramics Ltd.,,nse_incl_excl
1998-08-01,include,Kalyani Steels Ltd.,,nse_incl_excl
1998-08-01,include,Kansai Nerolac Paints Ltd.,,nse_incl_excl
1998-08-01,include,Kerala Chemicals & Proteins Ltd.,,nse_incl_excl
1998-08-01,include,Kesoram Industries Ltd.,,nse_incl_excl
1998-08-01,include,Kinetic Engineering Ltd.,,nse_incl_excl
1998-08-01,include,Kinetic Motor Co. Ltd.,,nse_incl_excl
