company_name,effective_from,effective_to
Silverline Technologies Ltd. -Sus,1999-09-08,2003-04-07
Sintex Industries Ltd.,2002-09-19,2017-03-31
Sintex Plastics Technology Ltd.,2018-04-02,2019-09-27
Sirpur Paper Mills Ltd.,2002-09-19,2010-04-08
Smartlink Network Systems Ltd.,2002-04-23,2010-04-08
Smithkline Beecham Pharmaceuticals (I) Ltd.-Merged,1998-08-01,2001-12-07
Snowcem India Ltd.,1998-08-01,2004-12-10
Sona Koyo Steering Systems Ltd.,1998-08-01,2002-03-29
Sona Koyo Steering Systems Ltd.,2004-12-10,2013-04-01
Sona Koyo Steering Systems Ltd.,2014-03-28,2016-04-01
Soundcraft Industries Ltd.,2001-12-07,2002-09-19
Southern Petrochemicals Industries Corporation Ltd.,1998-08-01,2004-12-10
Sree Rayalaseema Alkalies & Allied Chemicals Ltd.,1998-08-01,2001-04-25
Sri Adhikari Brothers Television Network Ltd.,2000-05-24,2007-10-25
Sri Vishnu Cement Ltd.- Merged,1999-05-26,2001-08-31
Srikalahasthi Pipes Ltd.,2015-09-28,2016-04-01
Standard Industries Ltd.- Delisted,1998-08-01,2003-11-19
Star Ferro & Cement Ltd.,2016-09-30,2017-01-23
State Bank of Bikaner & Jaipur Ltd.,2011-10-10,2017-03-16
State Bank of Mysore,2016-09-30,2017-03-16
State Bank of Travancore,2011-10-10,2016-04-01
State Bank of Travancore,2016-09-30,2017-03-16
State Trading Corporation of India Ltd.,2003-12-05,2012-04-27
State Trading Corporation of India Ltd.,2016-04-01,2017-09-29
Sterling Biotech Ltd,2001-12-07,2013-04-01
Sterling Holiday Resorts (India) Ltd.-Delisted,1998-08-01,1999-09-08
Sterlite Industries (India) Ltd (Erstwhile),1998-08-01,2000-09-20
Sterlite Industries (India) Ltd.,2004-12-10,2012-09-28
Sterlite Industries (India) Ltd. -Sus,2001-04-25,2002-05-14
Strides Arcolab Ltd.,2004-12-10,2018-02-05
Styrolution ABS (India) Ltd.,1998-08-01,2009-03-27
Styrolution ABS (India) Ltd.,2016-04-01,2016-09-30
Sujana Towers Ltd.-old,2011-10-10,2013-08-07
Summit Securities Ltd.- Old,1998-08-01,2009-03-27
Sun Earth Ceramics Ltd.,2002-01-17,2003-03-17
Sun Pharma Advanced Research Company Ltd.,2013-03-07,2013-09-27
Sundaram Clayton Ltd.- OLD,1998-08-01,2008-04-24
Supreme Infrastructure India Ltd.,2012-09-28,2016-04-01
Syndicate Bank,2001-12-07,2019-12-27
Synthetics & Chemicals Ltd.,1998-08-01,1999-12-08
