company_name,effective_from,effective_to
ABB Ltd.,2003-03-18,2010-10-01
Aditya Birla Nuvo Ltd.,2007-12-12,2015-10-19
Andhra Bank,2003-05-02,2012-09-28
Aventis Pharma Ltd.,2003-03-18,2009-03-27
Bongaigaon Refinery & Petrochemicals Ltd.,2004-03-01,2007-12-12
CMC Ltd.,2003-03-18,2006-03-02
Cairn India Ltd.,2007-12-12,2016-11-15
Carrier Aircon Ltd.,2003-03-18,2003-04-01
Corporation Bank,2003-03-18,2011-03-25
Digital Equipment (india) Ltd.,2003-03-18,2004-04-12
Flextronics Software Systems Ltd.,2003-03-18,2006-02-03
German Remedies Ltd.,2003-03-18,2003-05-02
Glaxo (India) Ltd.,2003-03-18,2008-03-14
GlaxoSmithkline Consumer Healthcare Ltd.,2012-04-27,2018-04-02
Global Trust Bank Ltd.,2003-03-18,2003-08-04
Himachal Futuristic Communications Ltd.,2003-03-18,2004-03-01
IBP Co. Ltd.,2004-03-01,2007-06-04
IDFC Ltd.,2006-06-27,2015-05-29
ING Vysya Bank Ltd.,2003-03-18,2009-03-27
ING Vysya Bank Ltd.,2014-03-28,2015-02-02
Indiabulls Real Estate Ltd.,2009-10-22,2011-04-21
Indian Petrochemicals Corporation Ltd.,2003-03-18,2007-10-05
Indo Gulf Corporation Ltd.,2003-03-18,2003-03-19
Jaiprakash Associates Ltd.,2004-12-10,2014-03-28
Jet Airways (India) Ltd.,2005-09-26,2007-04-04
Kochi Refineries Ltd.,2004-03-01,2006-09-22
Larsen & Toubro Ltd.-Sus,2003-03-18,2004-05-24
Madras Cements Ltd.,2003-03-18,2003-05-02
Merck Ltd.,2003-03-18,2004-03-01
Moser Baer India Ltd.,2003-03-18,2010-04-08
NIIT Ltd.-Sus,2003-03-18,2004-03-01
Nirma Ltd.,2003-08-04,2009-03-27
Orchid Chemicals & Pharmaceuticals Ltd.,2003-03-18,2003-05-02
Oriental Bank of Commerce,2003-03-18,2007-04-04
Patni Computer Systems Ltd.,2004-12-10,2011-10-10
Pentamedia Graphics Ltd.,2003-03-18,2003-08-04
Piramal Healthcare Ltd.,2003-03-18,2008-02-15
Polaris Software Lab Ltd.,2003-03-18,2007-12-12
Punj Lloyd Ltd.,2010-04-08,2011-10-10
Punjab Tractors Ltd.,2003-03-18,2008-03-14
Ranbaxy Laboratories Ltd.,2003-03-18,2014-11-28
Reliance Capital Ltd.,2006-03-02,2016-04-01
Reliance Natural Resources Ltd.,2008-03-14,2010-10-07
Reliance Petroleum Ltd.,2006-09-22,2009-06-17
Rolta India Ltd.,2003-03-18,2004-03-01
Satyam Computer Services Ltd.,2003-03-18,2009-01-12
Silverline Technologies Ltd. -Sus,2003-03-18,2003-04-07
Smithkline Beecham Consumer Healthcare Ltd.,2003-03-18,2004-03-01
Sterlite Industries (India) Ltd.,2005-02-21,2012-09-28
Syndicate Bank,2004-03-01,2011-10-10
Tata Infotech Ltd.-Merged,2003-03-18,2003-04-01
Tata Motors Ltd DVR,2016-04-01,2020-06-26
Videsh Sanchar Nigam Ltd.,2003-03-18,2009-10-22
Vijaya Bank,2004-05-24,2009-10-22
Zee Telefilms Ltd,2003-03-18,2009-03-27
