company_name,effective_from,effective_to
Aditya Birla Nuvo Ltd.,2005-09-25,2015-09-28
Aditya Birla Nuvo Ltd.,2016-09-30,2017-05-26
Aftek Ltd.,2005-09-25,2005-09-26
Alfa Laval (India) Ltd.,2005-09-25,2008-09-10
Allahabad Bank,2005-09-25,2016-09-30
Allahabad Bank,2019-09-27,2019-12-27
Alstom India Ltd.,2005-09-25,2013-04-01
Amtek Auto Ltd.,2005-09-25,2013-04-01
Amtek Auto Ltd.,2014-09-19,2015-09-28
Andhra Bank,2005-09-25,2016-04-01
AstraZenca Pharma India Ltd.,2005-09-25,2007-09-24
AstraZenca Pharma India Ltd.,2012-04-27,2013-09-27
Bajaj Corp Ltd.,2013-09-27,2017-09-29
Bajaj Hindusthan Ltd.,2005-09-25,2010-10-01
Ballarpur Industries Ltd.,2005-09-25,2007-09-24
Bharat Financial Inclusion Ltd.,2011-03-25,2012-04-27
Bharat Financial Inclusion Ltd.,2015-09-28,2018-12-28
Bhushan Steel Ltd.,2005-09-25,2006-03-02
Bhushan Steel Ltd.,2009-03-27,2015-03-27
Bombay Dyeing & Manufacturing Co. Ltd.,2005-09-25,2009-10-22
Bombay Rayon Fashions Ltd.,2011-10-10,2014-09-19
Bongaigaon Refinery & Petrochemicals Ltd.,2005-09-25,2007-04-04
CMC Ltd.,2005-09-25,2006-03-02
CMC Ltd.,2013-04-01,2015-09-28
CORE Education & Technologies Ltd.,2012-09-28,2013-09-27
Cairn India Ltd.,2007-09-24,2016-11-15
Castrol (India) Ltd.-Old,2009-03-27,2013-09-27
Centurion Bank of Punjab Ltd.,2005-09-25,2008-03-14
Corporation Bank,2005-09-25,2016-04-01
Corporation Bank,2019-09-27,2019-12-27
D B Realty Ltd.,2010-10-01,2011-10-10
DCM Shriram Consolidated Ltd.,2005-09-25,2007-09-24
Deccan Chronicle Holdings Ltd.,2005-09-25,2011-03-25
Dena Bank,2005-09-25,2006-09-01
Dena Bank,2013-04-01,2014-03-28
Dewan Housing Finance Corporation Ltd.,2015-03-27,2019-09-27
Dishman Pharmaceuticals & Chemicals Ltd.,2005-09-25,2010-04-08
Edelweiss Financial Services Ltd.,2008-09-10,2012-09-28
Educomp Solutions Ltd.,2007-09-24,2012-09-28
Era Infra Engineering Ltd.,2010-04-08,2013-04-01
Essar Oil Ltd.,2005-09-25,2015-09-28
Essar Ports Ltd.,2008-09-10,2011-03-25
Essar Ports Ltd.,2012-09-28,2014-09-19
Essar Steel Ltd.,2006-03-02,2007-09-24
Flextronics Software Systems Ltd.,2005-09-25,2005-09-26
Fresenius Kabi Oncology Ltd.,2005-09-25,2006-03-02
Future Consumer Ltd.,2018-04-02,2020-06-26
Future Enterprises Ltd.,2005-09-25,2010-04-08
Future Enterprises Ltd.,2011-03-25,2013-04-01
Future Retail Ltd.,2017-05-26,2017-10-30
GOL Offshore Ltd.,2007-04-04,2010-04-08
Gammon India Ltd.,2005-09-25,2009-03-27
Geodesic Ltd.,2006-03-02,2009-03-27
Gitanjali Gems Ltd.,2012-04-27,2014-03-28
Gruh Finance Ltd.,2013-04-01,2019-09-27
Gujarat Gas Co. Ltd.,2005-09-25,2014-09-19
Gujarat Industries Power Co. Ltd.,2005-09-25,2006-09-01
Gujarat NRE Coke Ltd.,2005-09-25,2006-09-01
Gujarat NRE Coke Ltd.,2008-09-10,2012-04-27
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,2005-09-25,2010-04-08
Gujarat State Fertilizers & Chemicals Ltd.,2005-09-25,2008-09-10
Gujarat State Fertilizers & Chemicals Ltd.,2012-04-27,2014-03-28
Hinduja Ventures Ltd.,2005-09-25,2006-09-01
Hotel Leela Venture Ltd.,2005-09-25,2008-09-10
IBP Co. Ltd.,2005-09-25,2007-04-04
IDFC Ltd.,2006-03-02,2015-05-29
IDFC Ltd.,2016-04-01,2018-09-28
IIFL Holdings Ltd.,2008-03-14,2011-03-25
IIFL Holdings Ltd.,2015-03-27,2017-06-23
IIFL Holdings Ltd.,2018-04-02,2018-12-28
IL&FS Engineering and Construction Company Ltd.,2009-03-27,2009-10-22
ING Vysya Bank Ltd.,2005-09-25,2014-09-19
IVRCL Ltd.,2005-09-26,2011-10-10
Indiabulls Financial Services Ltd.,2005-09-25,2006-09-01
Indiabulls Financial Services Ltd.,2008-09-10,2012-09-28
Indiabulls Real Estate Ltd.,2007-09-24,2011-03-25
Indiabulls Real Estate Ltd.,2013-09-27,2015-03-27
Indiabulls Real Estate Ltd.,2018-04-02,2018-09-28
Indian Petrochemicals Corporation Ltd.,2005-09-25,2007-10-05
J.B. Chemicals & Pharmaceuticals Ltd.,2005-09-25,2006-03-02
JSW ISPAT Steel Ltd.,2005-09-25,2005-09-26
JSW ISPAT Steel Ltd.,2008-03-14,2010-10-01
JSW ISPAT Steel Ltd.,2011-10-10,2013-04-01
Jaiprakash Associates Ltd.,2005-09-25,2016-04-01
Jaypee Infratech Ltd.,2010-10-01,2015-03-27
Jet Airways (India) Ltd.,2005-09-26,2014-09-19
Jet Airways (India) Ltd.,2016-04-01,2017-03-31
Jubilant Life Sciences Ltd.,2005-09-25,2010-10-01
Jubilant Life Sciences Ltd.,2011-03-25,2014-03-28
Jyothy Laboratories Ltd.,2013-09-27,2018-04-02
KSK Energy Ventures Ltd,2009-01-12,2012-09-28
Kochi Refineries Ltd.,2005-09-25,2006-09-01
Lakshmi Machine Works Ltd.,2005-09-25,2009-03-27
Lanco Infratech Ltd.,2007-04-04,2013-09-27
Mahindra CIE Automotive Ltd.,2015-09-28,2020-06-26
Mahindra Holidays & Resorts India Ltd.,2010-04-08,2012-09-28
Matrix Laboratories Ltd.,2005-09-25,2009-03-27
Merck Ltd.,2005-09-25,2006-03-02
Micro Inks Ltd.,2005-09-25,2006-09-01
MindTree Ltd.,2007-09-24,2008-09-10
Monsanto India Ltd.,2005-09-25,2007-09-24
Monsanto India Ltd.,2015-03-27,2016-04-01
Moser Baer India Ltd.,2005-09-25,2010-04-08
Nava Bharat Ventures Ltd.,2010-04-08,2011-03-25
Nirma Ltd.,2005-09-25,2010-10-01
Opto Circuits (I) Ltd.,2009-10-22,2013-04-01
Oriental Bank of Commerce,2005-09-25,2016-04-01
Oriental Bank of Commerce,2019-09-27,2019-12-27
Patni Computer Systems Ltd,2005-09-25,2008-03-14
Patni Computer Systems Ltd.,2009-03-27,2012-04-27
Polaris Consulting & Services Ltd.,2005-09-25,2008-03-14
Punj Lloyd Ltd.,2006-06-27,2011-10-10
Punjab Tractors Ltd.,2005-09-25,2008-03-14
REI Six Ten Retail Ltd.,2009-10-22,2010-04-08
Ranbaxy Laboratories Ltd.,2005-09-25,2014-09-19
Rashtriya Chemicals & Fertilizers Ltd.,2005-09-25,2013-09-27
Reliance Capital Ltd.,2005-09-25,2017-09-05
Reliance Capital Ltd.,2018-02-05,2019-09-27
Reliance Natural Resources Ltd.,2006-09-01,2010-10-01
Reliance Naval and Engineering Ltd.,2010-04-08,2015-03-27
Reliance Petroleum Ltd.,2006-09-01,2009-06-17
Rolta India Ltd.,2006-03-02,2011-03-25
Ruchi Soya Industries Ltd.,2012-04-27,2013-04-01
Satyam Computer Services Ltd.,2005-09-25,2009-01-12
Sintex Industries Ltd.,2006-03-02,2012-09-28
Smithkline Beecham Consumer Healthcare Ltd.,2005-09-25,2019-09-27
Spice Communications Ltd,2009-03-27,2009-10-22
State Bank of Bikaner & Jaipur Ltd.,2013-09-27,2015-09-28
State Bank of Mysore,2011-03-25,2012-09-28
State Bank of Travancore,2011-03-25,2014-03-28
Sterling Biotech Ltd,2005-09-25,2012-04-27
Sterlite Industries (India) Ltd.,2005-09-25,2013-04-01
Strides Arcolab Ltd.,2005-09-25,2006-03-02
Strides Shasun Ltd.,2012-09-28,2018-02-05
Sun Pharma Advanced Research Company Ltd.,2013-09-27,2019-09-27
