date,turnover,turnover_pct
2020-07-10,998003.9920159688,0.9980039920159688
2020-07-17,630891.2390751115,0.6329790347398877
2020-07-24,309736.4374446132,0.3067305786534153
2020-07-31,312201.30796732334,0.2977637097446611
2020-08-07,440699.24837020994,0.3991454119980162
2020-08-14,503146.60436600924,0.4554302555299904
2020-08-21,493181.27753682947,0.429031964421235
2020-08-28,455035.3864808419,0.3913397698048927
2020-09-04,478947.8655298793,0.4100693951793641
2020-09-11,531136.6483680146,0.45801536231709494
2020-09-18,699569.5573430614,0.5814403066480219
2020-09-25,491331.15610101435,0.43818912048800995
2020-10-01,589152.0779347527,0.49977939708779806
2020-10-09,438586.6942469481,0.368987546924887
2020-10-16,406621.1043990054,0.35042181820252677
2020-10-23,497515.9353022243,0.4127367927733063
2020-10-30,596418.6824760169,0.5031467333584833
2020-11-06,313861.902270865,0.26592569755873285
2020-11-13,199524.45286034493,0.16182178353698207
2020-11-20,598166.935754813,0.47421777057209086
2020-11-27,491838.8751815845,0.36845604597133796
2020-12-04,672885.9493726682,0.4795621537295853
2020-12-11,670798.8600907831,0.48503886890205505
2020-12-18,569513.2693942921,0.4113386072589734
2020-12-24,602425.7899393074,0.4344350024365156
2021-01-01,436538.5063493913,0.2997817459228688
2021-01-08,630953.1202840906,0.4233666994814693
2021-01-15,530201.8650666549,0.35777783977254085
2021-01-22,317096.43540206994,0.21053545984677008
2021-01-29,411261.24485964596,0.273791922625364
2021-02-05,798138.5375893404,0.48887814087779063
2021-02-12,897197.0265433865,0.5359067640751847
2021-02-19,837516.1003182308,0.47435276079031957
2021-02-26,444708.3264204347,0.23918799502479055
2021-03-05,949683.0482135616,0.48468689057024666
2021-03-10,525808.2254719053,0.26161612044447513
2021-03-19,512883.03540601034,0.26561890222782075
2021-03-26,358034.69829494954,0.18308808483159436
2021-04-01,362421.1644208929,0.17371276336440988
2021-04-09,253379.36786401825,0.1176718011422962
2021-04-16,512137.21648358385,0.24972459329698107
2021-04-23,239385.9671009134,0.11739210091752299
2021-04-30,485756.66769514245,0.22637168895916568
2021-05-07,386230.0236237275,0.16390815549758553
2021-05-12,789858.1079225062,0.3411587182883947
2021-05-21,701961.2487774146,0.29812870645001516
2021-05-28,877502.8380756624,0.36665550757204096
2021-06-04,419412.5841579414,0.16214842233922278
2021-06-11,1019609.7068327944,0.38407641314527374
2021-06-18,607271.1887300067,0.2406158075556153
2021-06-25,501107.79346165125,0.19362881615974104
2021-07-02,939579.6510873063,0.3587971846431141
2021-07-09,795347.2613059581,0.29759491453248743
2021-07-16,882970.5339208822,0.32897890205495894
2021-07-23,755188.9338724958,0.2838016389703797
2021-07-30,861272.5251744105,0.3236474422761219
2021-08-06,1287874.0266512004,0.4812270969848143
2021-08-13,1032151.6502334854,0.3912506372075213
2021-08-18,950853.3981200958,0.36075264295462817
2021-08-27,584058.237128196,0.22511587255054136
2021-09-03,1612040.5577176663,0.6035674983520498
2021-09-09,1254064.9799369795,0.4537952431327642
2021-09-17,1702116.082433409,0.6057645654312731
2021-09-24,1235711.602420374,0.45206718383393796
2021-10-01,1607588.4344831677,0.5720217804835073
2021-10-08,1045721.0825155848,0.35512522410593145
2021-10-14,1059821.6948658638,0.3448624815936433
2021-10-22,1073841.0385149082,0.3754823042702878
2021-10-29,550785.9147635719,0.200684992335324
2021-11-04,1045342.0388801693,0.3636999459472572
2021-11-12,1785226.5813470986,0.606240829869619
2021-11-18,1647630.922522067,0.5537927926228919
2021-11-26,659041.5203227716,0.2158775290401683
2021-12-03,1345980.8309581827,0.42498143006455735
2021-12-10,1273960.677629259,0.3848220072284527
2021-12-17,1015626.209990763,0.3072539145140762
2021-12-24,784920.2834920881,0.2408745449783999
2021-12-31,1033710.1876583749,0.29512957712871185
2022-01-07,1243962.280440221,0.32906502090792233
2022-01-14,845036.0608052516,0.22103445722089363
2022-01-21,2069379.5204959433,0.5764069551648434
2022-01-28,1239752.6778775416,0.36112342206564185
2022-02-04,1494598.1818221486,0.41541402442406244
2022-02-11,664487.8645533787,0.19059314713893669
2022-02-18,1417518.158205009,0.42816324281763796
2022-02-25,1258128.865398496,0.42087447602098604
2022-03-04,819160.1817444367,0.270619086456315
2022-03-11,1042110.0640222522,0.3310989631574775
2022-03-17,1426474.6678143116,0.44258834081122966
2022-03-25,1283089.6978494956,0.3860434580796543
2022-04-01,1068745.5111097905,0.3151538526706244
2022-04-08,1069246.080430464,0.2970645173901291
2022-04-13,1478163.4230266013,0.40770980479226393
2022-04-22,759431.7276670007,0.20775046780458498
2022-04-29,1514141.6065575927,0.4319189789585518
2022-05-06,689327.0806594704,0.20509925529716141
2022-05-13,800089.9487860467,0.26701757306699364
2022-05-20,1061209.9102798847,0.32026264273062177
2022-05-27,1580440.142907341,0.5051283996556815
2022-06-03,1118438.9792560246,0.34324524243682275
2022-06-10,1412178.2774202155,0.42602393817412015
2022-06-17,1829509.2846458037,0.6038658222549812
2022-06-24,1904581.614844307,0.6384306931196959
2022-07-01,1387180.057005171,0.4689501861516076
2022-07-08,1622891.2535441797,0.540197092200534
2022-07-15,1895828.0792354732,0.6287004183202921
2022-07-22,1989367.0875518164,0.6356692622797625
2022-07-29,1933338.7762283739,0.6023419303255535
2022-08-05,1163980.9879745524,0.35353469410302657
2022-08-12,1149593.0410312803,0.34130384448449047
2022-08-19,1037280.8342913989,0.3025946334081594
2022-08-26,1526941.1520974573,0.4392326925245824
2022-09-02,996186.7617640526,0.28241992472033095
2022-09-09,1558167.2651227624,0.4388734596939624
2022-09-16,2641472.9969147425,0.7461949694868222
2022-09-23,1754718.8678774561,0.5064988624896788
2022-09-30,1494178.7717157507,0.4415610854446233
2022-10-07,1337077.0419145445,0.3784384890519087
2022-10-14,2236401.3042815486,0.6483701816935166
2022-10-21,1352315.1554931616,0.3905078450200738
2022-10-28,1933740.9168599802,0.5515663773225211
2022-11-04,1578471.8997577352,0.43698775101989257
