symbol,ex_date,type,factor,note
SUNDARMFIN,2018-02-01,demerger,0.91061,measured
SUNPHARMA,2007-04-23,demerger,0.88613,measured
SURANATELE,2010-08-17,demerger,0.33413,measured
SUVEN,2020-01-21,demerger,0.05291,measured
TALWALKARS,2018-03-27,demerger,0.78872,measured
TATACHEM,2020-03-04,demerger,0.43474,measured
TATACOMM,2019-09-17,demerger,0.65194,measured
TATAMOTORS,2008-09-09,rights,,rights:no-price
TATAMOTORS,2025-10-14,demerger,0.59849,measured
TATASTEEL,2007-10-29,rights,,rights:no-price
TCI,2010-10-20,demerger,0.86945,measured
TCI,2016-08-26,demerger,0.5303,measured
TEXINFRA,2010-11-01,demerger,0.40569,measured
TEXMACOLTD,2010-11-01,demerger,0.40569,measured
THOMASCOOK,2019-12-05,demerger,0.44448,measured
TIPSINDLTD,2022-05-19,demerger,0.90004,measured
TIPSMUSIC,2022-05-19,demerger,0.90004,measured
TISCO,2007-10-29,rights,,rights:no-price
TMPV,2008-09-09,rights,,rights:no-price
TMPV,2025-10-14,demerger,0.59849,measured
TRIVENI,2011-05-03,demerger,0.4004,measured
TRIVENI,2023-09-01,dividend,,dividend:unparsed-or-implausible
TRIVENI,2026-07-22,demerger,0.58431,measured
TVSHLTD,2023-08-24,demerger,0.8674,measured
TVSHLTD,2026-09-08,demerger,0.97301,ignored:<5%
TVSMOTOR,2025-08-25,demerger,0.997,ignored:<5%
UNITDSPR,2006-10-17,demerger,1.01778,ignored:<5%
UNIWESTBNK,2006-01-17,rights,,rights:no-price
VAKRANGEE,2023-06-15,demerger,0.91525,measured
VAKRANSOFT,2023-06-15,demerger,0.91525,measured
VEDL,2026-04-30,demerger,0.35102,measured
VIKASECO,2018-11-19,demerger,0.925,measured
VIYASH,2018-04-06,demerger,0.95928,ignored:<5%
VSNL,2019-09-17,demerger,0.65194,measured
VTL,2011-03-29,demerger,0.93691,measured
WELCORP,2014-02-18,demerger,0.98673,ignored:<5%
WELGUJ,2014-02-18,demerger,0.98673,ignored:<5%
WELSPUNIND,2009-06-19,demerger,0.93163,measured
WELSPUNLIV,2009-06-19,demerger,0.93163,measured
WIPRO,2013-04-09,demerger,0.87723,measured
YAARII,2022-09-01,demerger,0.84054,measured
ZANDUPHARM,2009-12-22,demerger,0.73252,measured
ZANDUREALT,2009-12-22,demerger,0.73252,measured
ZEEL,2006-12-18,demerger,0.79635,measured
ZEEL,2007-02-12,demerger,0.71506,measured
ZEEL,2010-10-07,demerger,0.99342,ignored:<5%
ZEEMEDIA,2010-04-15,demerger,0.24353,measured
ZEEMEDIA,2017-10-05,demerger,1.0,ignored:<5%
ZEENEWS,2010-04-15,demerger,0.24353,measured
ZEENEWS,2017-10-05,demerger,1.0,ignored:<5%
ZEETELE,2006-12-18,demerger,0.79635,measured
ZEETELE,2007-02-12,demerger,0.71506,measured
ZEETELE,2010-10-07,demerger,0.99342,ignored:<5%
ZUARIAGRO,2012-04-09,demerger,0.35773,measured
ZUARIGLOB,2012-04-09,demerger,0.35773,measured
ZUARIIND,2012-04-09,demerger,0.35773,measured
ZYDUSLIFE,2008-12-29,demerger,0.94736,measured
