symbol,max,kinds
GABRIEL,15.0,demerger
GAEL,80.2,formula:split(obs)
GAIL,24.9,kite-recent-dividend|small-unexplained
GANESHBE,2.2,small-unexplained
GATEWAY,5.2,kite-recent-dividend
GAYAPROJ,2.9,rights-formula
GESHIP,21.4,no-filing
GHCL,2.7,kite-recent-dividend
GICRE,6.3,kite-recent-dividend
GILLETTE,2.1,kite-recent-dividend
GIPCL,2.1,kite-recent-dividend
GLAXO,2.5,kite-recent-dividend
GMRAIRPORT,10.1,demerger
GNFC,92.9,formula:dividend|formula:split(obs)|kite-recent-dividend|no-filing|small-unexplained
GOLDENTOBC,46.4,formula:split(obs)|no-filing|small-unexplained
GOODYEAR,3.0,kite-recent-dividend
GPPL,8.4,kite-recent-dividend
GRASIM,14.7,no-filing
GREENPLY,24.2,demerger|small-unexplained
GSFC,2.4,kite-recent-dividend
GTL,20.1,demerger
GTLINFRA,40.8,rights-formula
GUJALKALI,2.6,kite-recent-dividend
GUJENERGY,13.3,demerger
GULFOILLUB,4.8,kite-recent-dividend
GVKPIL,945.0,formula:split|small-unexplained
GVT&D,9.2,formula:split(obs)
HARRMALAYA,24.9,formula:split(obs)
HCC,11.8,rights-formula
HDFCAMC,4.0,kite-recent-dividend
HDIL,28.5,formula:bonus|small-unexplained
HEG,175.9,demerger|small-unexplained
HEIDELBERG,3.2,kite-recent-dividend
HEROMOTOCO,18.9,kite-recent-dividend
HFCL,2.4,small-unexplained
HINDALCO,9.3,formula:split(obs)
HINDMOTORS,5.3,small-unexplained
HINDOILEXP,13.2,small-unexplained
HINDPETRO,88.0,formula:dividend|kite-recent-dividend|no-filing|small-unexplained
HINDUNILVR,5.3,demerger
HLVLTD,80.0,formula:split(obs)
HMT,9.8,small-unexplained
HMVL,15.5,formula:dividend|small-unexplained
HOCL,3.4,small-unexplained
HONDAPOWER,3.2,kite-recent-dividend
HSIL,82.9,formula:split(obs)|no-filing|small-unexplained
HTMEDIA,17.5,demerger
IBULLSLTD,19.5,demerger
ICRA,2.1,kite-recent-dividend
IIFL,28.9,formula:split(obs)
IL&FSENGG,13.4,small-unexplained
IL&FSTRANS,16.2,formula:split(obs)|rights-formula|small-unexplained
INDHOTEL,9.7,rights-formula|small-unexplained
INDIAGLYCO,372.0,demerger|small-unexplained
INDIANB,4.6,kite-recent-dividend
INDIANCARD,8.6,small-unexplained
INDUSTOWER,3.6,kite-recent-dividend
INFY,2.1,kite-recent-dividend
INTELLECT,6.8,rights-formula
IOC,59.5,formula:dividend|kite-recent-dividend|no-filing|small-unexplained
ITC,10.9,demerger|kite-recent-dividend
JAGRAN,12.8,kite-recent-dividend
JBMA,3.1,small-unexplained
JINDALPOLY,4.5,demerger
JINDALSAW,14.2,small-unexplained
JSL,8.1,small-unexplained
JSWDULUX,8.2,formula:dividend|small-unexplained
JUBLPHARMA,76.2,demerger|formula:split(obs)
JYOTISTRUC,17.5,formula:split(obs)|no-filing|small-unexplained
KAKATCEM,2.5,kite-recent-dividend
KARURVYSYA,27.1,rights-formula
KESORAMIND,2838.8,demerger|rights-formula|small-unexplained
KIRLOSIND,168.2,no-filing
KOTHARIPRO,27.8,formula:split(obs)
KPIL,50.0,formula:split(obs)
KSL,68.4,formula:split(obs)
KTKBANK,20.9,formula:split(obs)|kite-recent-dividend
LAOPALA,3.0,kite-recent-dividend
LGBBROSLTD,900.3,formula:consolidation(obs)|no-filing
LICHSGFIN,32.3,formula:dividend|kite-recent-dividend|small-unexplained
LICI,2.3,kite-recent-dividend
LMW,90.0,formula:split(obs)
LUMAXIND,2.9,small-unexplained
M&MFIN,33.6,formula:dividend|kite-recent-dividend|small-unexplained
MAHLIFE,7.1,rights-formula|small-unexplained
MANALIPETC,33.4,formula:split(obs)
MANAPPURAM,50.0,formula:split(obs)
MANINDS,11.3,demerger
MARALOVER,3.2,small-unexplained
MARICO,2.3,
MASTEK,82.9,formula:split(obs)
MFSL,138.2,formula:split|formula:split(obs)
MINDACORP,5.2,small-unexplained
MIRZAINT,329.3,demerger
MOTHERSON,14.5,demerger
MPHASIS,46.7,kite-recent-dividend|small-unexplained
MPSLTD,99.9,formula:dividend|formula:dividend+split(obs)|formula:split(obs)|kite-recent-dividend|no-filing|small-unexplained
MRPL,2.1,kite-recent-dividend
MTEDUCARE,21.0,formula:split(obs)|small-unexplained
MUKTAARTS,13.5,formula:dividend|small-unexplained
MUNJALAU,93.4,no-filing
MUNJALSHOW,25.0,kite-recent-dividend|small-unexplained
