symbol,p99,max,max_2006plus
RAINBOW,0.0,0.0,0.0
RAJESHEXPO,1.147,3.8,3.8
RAJTV,0.039,0.1,0.1
RALLIS,0.02,0.0,0.0
RAMANEWS,0.0,1.0,1.0
RAMCOCEM,0.03,0.1,0.0
RAMCOIND,0.014,0.0,0.0
RAMCOSYS,8.802,8.8,5.1
RAMKY,0.0,0.0,0.0
RATNAMANI,0.052,0.1,0.1
RAYMOND,171.331,171.6,171.6
RAYMONDLSL,0.0,0.0,0.0
RBA,0.0,0.0,0.0
RBLBANK,0.0,0.4,0.4
RCF,0.0,0.0,0.0
RCOM,10.954,31.3,31.3
RECLTD,0.063,0.1,0.1
REDINGTON,4.156,4.5,4.5
REGENCERAM,0.0,0.2,0.2
RELAXO,0.126,0.2,0.2
RELIANCE,19.654,19.7,19.7
RELIGARE,3.285,3.3,3.3
RELINFRA,0.829,4.8,4.8
RENUKA,0.02,0.1,0.1
REPCOHOME,0.0,0.0,0.0
RESPONIND,0.0,0.0,0.0
RHFL,7.676,18.8,18.8
RHIM,0.0,0.0,0.0
RICOAUTO,0.0,90.0,0.0
RIIL,0.0,0.0,0.0
RITES,0.022,0.0,0.0
RKFORGE,0.185,0.4,0.4
ROSSARI,0.0,0.0,0.0
ROUTE,0.0,0.0,0.0
RPOWER,0.001,0.0,0.0
RRKABEL,0.0,0.0,0.0
RSSOFTWARE,1.177,1.2,1.2
RSWM,2.626,10.0,10.0
RTNINDIA,0.413,0.5,0.5
RTNPOWER,0.0,0.1,0.1
RUPA,0.0,0.0,0.0
RUSTOMJEE,0.0,0.0,0.0
RVNL,0.0,0.0,0.0
SADBHAV,2.157,2.2,2.2
SADBHIN,4.548,18.8,18.8
SAFARI,0.014,0.0,0.0
SAGILITY,0.0,0.0,0.0
SAIL,0.0,0.0,0.0
SAILIFE,0.0,0.0,0.0
SAKHTISUG,0.0,0.1,0.1
SALORAINTL,12.805,30.3,30.3
SAMMAANCAP,0.021,0.0,0.0
SANDESH,0.0,0.0,0.0
SANOFI,38.818,38.8,38.8
SANSERA,0.0,0.0,0.0
SAPPHIRE,0.01,0.0,0.0
SARDAEN,0.238,0.3,0.3
SAREGAMA,6.947,31.5,7.2
SAURASHCEM,0.0,0.0,0.0
SBFC,0.0,0.0,0.0
SBICARD,0.0,0.0,0.0
SBILIFE,0.0,0.8,0.8
SBIN,5.664,5.7,5.7
SCHAEFFLER,0.045,1.1,1.1
SCHNEIDER,0.0,0.0,0.0
SCI,25.426,25.5,25.5
SEAMECLTD,0.0,0.0,0.0
SECURKLOUD,0.0,0.0,0.0
SESHAPAPER,0.117,0.2,0.2
SFL,0.005,0.2,0.2
SHANKARA,308.875,311.9,311.9
SHANTIGEAR,0.0,0.0,0.0
SHARDACROP,0.0,0.0,0.0
SHILPAMED,0.066,0.1,0.1
SHK,0.0,0.0,0.0
SHOPERSTOP,0.027,0.1,0.1
SHREECEM,0.624,0.6,0.6
SHREERAMA,0.751,0.9,0.9
SHRIPISTON,0.009,0.0,0.0
SHRIRAMFIN,0.216,0.4,0.2
SHYAMMETL,0.0,0.0,0.0
SHYAMTEL,0.0,0.0,0.0
SIEMENS,33.491,33.5,33.5
SIGNATURE,0.0,0.0,0.0
SIMPLEXINF,0.0,0.0,0.0
SIS,2.007,2.6,2.6
SITINET,50.007,75.1,75.1
SJVN,0.0,0.0,0.0
SKFINDIA,2.385,2.4,2.4
SMARTLINK,3.919,17.1,17.1
SMLMAH,8.218,8.2,8.2
SNOWMAN,0.0,0.0,0.0
SOBHA,0.019,0.7,0.7
SOLARA,0.008,0.0,0.0
SOLARINDS,0.0,0.0,0.0
SOMANYCERA,0.0,0.0,0.0
SONACOMS,0.0,0.0,0.0
SONATSOFTW,1.788,2.1,2.1
SOUTHBANK,10.581,10.6,10.6
SPANDANA,0.008,0.0,0.0
SPARC,0.682,0.7,0.7
SPIC,0.0,0.1,0.1
SPICEJET,0.535,1.1,1.1
SPLPETRO,0.007,100.0,100.0
SRF,0.125,0.2,0.2
STAR,94.415,94.4,94.4
STARCEMENT,0.0,0.4,0.4
STARHEALTH,0.0,0.0,0.0
STCINDIA,0.009,0.0,0.0
STLTECH,69.485,69.8,69.8
STYRENIX,0.0,1.1,1.1
SUBROS,0.0,0.0,0.0
SUDARCOLOR,12.233,12.2,12.2
SUDARSCHEM,0.046,0.3,0.3
SUMICHEM,0.0,0.0,0.0
SUNCLAY,0.0,0.0,0.0
SUNDARMFIN,6.134,6.1,6.1
SUNDRMBRAK,6.015,15.8,15.8
SUNDRMFAST,0.008,0.0,0.0
SUNDROP,0.0,0.0,0.0
SUNPHARMA,10.784,10.8,10.8
SUNTECK,0.005,0.6,0.6
SUNTV,50.0,50.0,50.0
SUPRAJIT,0.093,0.2,0.2
SUPREMEIND,0.019,0.0,0.0
SUPREMEINF,0.0,4.3,4.3
SURYALAXMI,50.0,50.0,0.0
SURYAROSNI,0.279,0.4,0.4
SUVEN,1790.191,1790.3,1790.3
SUZLON,0.774,1.2,1.2
SWANCORP,0.0,0.0,0.0
SWARAJENG,69.306,69.3,8.0
SWIGGY,0.0,0.0,0.0
SWSOLAR,0.0,0.0,0.0
SYMPHONY,0.409,0.4,0.4
SYNGENE,0.014,0.0,0.0
SYRMA,0.0,0.0,0.0
TAJGVK,80.0,80.0,0.0
TAKE,0.007,0.0,0.0
TANLA,0.003,0.3,0.3
TARIL,0.73,1.0,1.0
TASTYBITE,0.0,1.8,1.8
TATACHEM,128.512,128.5,128.5
TATACOMM,53.344,53.3,53.3
TATACONSUM,0.04,0.1,0.1
TATAELXSI,0.01,0.0,0.0
TATAINVEST,33.82,35.0,2.4
TATAPOWER,0.012,0.0,0.0
TATASTEEL,23.741,25.8,25.8
TATATECH,0.0,0.0,0.0
TBOTEK,0.0,0.0,0.0
TBZ,0.497,0.5,0.5
TCI,49.359,49.4,49.4
TCIEXP,0.0,0.6,0.6
TCS,1.536,1.5,1.5
TDPOWERSYS,0.45,0.7,0.7
TEAMLEASE,0.0,1.0,1.0
TECHM,46.689,55.5,55.5
TECHNOE,0.0,0.0,0.0
TEGA,0.0,0.0,0.0
TEJASNET,0.0,1.0,1.0
TEXRAIL,0.939,1.0,1.0
TFCILTD,0.889,1.1,1.1
THANGAMAYL,0.061,0.1,0.1
THELEELA,0.0,0.0,0.0
THERMAX,80.0,80.0,80.0
THOMASCOOK,68.225,68.3,68.3
THYROCARE,0.032,0.6,0.6
TI,0.0,0.1,0.1
TIINDIA,0.0,0.0,0.0
TIMETECHNO,0.188,0.3,0.3
TIMKEN,0.002,0.0,0.0
TIPSMUSIC,11.835,12.2,12.2
TIRUMALCHM,0.095,0.1,0.1
TITAGARH,0.0,0.0,0.0
TITAN,0.023,0.1,0.0
TMB,0.0,0.0,0.0
TMPV,16.268,16.3,16.3
TNPETRO,0.0,0.1,0.1
TNPL,0.0,0.5,0.5
TNTELE,0.0,0.2,0.2
TORNTPHARM,75.012,75.0,75.0
TORNTPOWER,0.0,0.0,0.0
TRAVELFOOD,0.0,0.0,0.0
TREEHOUSE,0.0,1.0,1.0
TRENT,5.849,5.9,5.9
TRIDENT,4.721,5.8,5.8
TRIGYN,0.0,7.9,7.9
TRITURBINE,0.0,0.0,0.0
TRIVENI,71.144,71.1,71.1
TTKPRESTIG,0.413,1.0,0.4
TTML,1.848,1.9,1.9
TVSHLTD,37.752,37.8,37.8
TVSMOTOR,0.039,0.1,0.1
TVSSCS,0.0,0.0,0.0
TVSSRICHAK,0.0,0.4,0.4
TVTODAY,0.0,0.0,0.0
UBL,0.0,0.0,0.0
UCAL,3.923,8.4,8.4
UCOBANK,0.0,0.0,0.0
UFLEX,0.0,0.0,0.0
UJJIVANSFB,0.0,0.0,0.0
ULTRACEMCO,2.094,2.1,2.1
UMIYA-MRO,0.0,0.1,0.1
UNICHEMLAB,0.0,0.0,0.0
UNIONBANK,19.522,20.8,20.8
UNITDSPR,0.0,3.3,3.3
UNITECH,0.107,0.2,0.1
UNOMINDA,0.891,1.2,1.2
UPL,80.004,80.0,0.1
USHAMART,0.0,0.1,0.1
UTIAMC,13.02,13.4,13.4
UTTAMSUGAR,0.437,1.2,1.2
V2RETAIL,4.478,7.7,7.7
VAIBHAVGBL,0.035,0.0,0.0
VAKRANGEE,9.819,10.7,10.7
VALIANTORG,1.93,3.3,3.3
VARDMNPOLY,6.456,16.6,16.6
VARROC,0.0,0.0,0.0
VBL,0.108,0.7,0.7
VEDL,58.567,98.4,49.1
VEEDOL,0.62,0.6,0.6
VENKEYS,0.007,0.0,0.0
VENTIVE,0.0,0.0,0.0
VESUVIUS,1.785,3.1,3.1
VGUARD,0.112,0.2,0.2
VHL,0.0,11.6,11.6
VIJAYA,0.0,0.0,0.0
VIKASWSP,3.555,4.8,4.8
VINATIORGA,0.078,0.2,0.2
VINDHYATEL,0.0,0.0,0.0
VINYLINDIA,2.885,6.8,6.8
VIPIND,0.0,0.0,0.0
VISAKAIND,0.21,0.3,0.3
VIVIDHA,0.259,0.3,0.3
VIYASH,20.0,20.9,20.9
VLSFINANCE,0.0,1.6,1.6
VMART,0.102,0.2,0.2
VMM,0.0,0.0,0.0
VOLTAS,0.129,0.1,0.1
VRLLOG,0.033,0.0,0.0
VSTIND,4.639,4.8,4.8
VTL,35.119,35.2,2.9
WAAREEENER,0.0,0.0,0.0
WABAG,0.003,0.0,0.0
WELCORP,1.177,1.2,1.2
WELSPUNLIV,7.393,7.6,7.6
WESTLIFE,0.0,0.0,0.0
WHEELS,0.221,1.8,1.8
WHIRLPOOL,0.0,0.0,0.0
WINDMACHIN,0.0,0.1,0.1
WIPRO,57.908,58.0,16.0
WOCKPHARMA,0.02,1.1,1.1
WONDERLA,0.004,0.0,0.0
WSTCSTPAPR,0.0,0.0,0.0
YESBANK,0.0,0.0,0.0
ZEEL,41.285,41.3,41.3
ZEELEARN,4.05,24.1,24.1
ZEEMEDIA,80.952,81.0,81.0
ZENSARTECH,2.527,2.7,2.7
ZENTEC,0.0,0.0,0.0
ZFCVINDIA,1.357,2.7,2.7
ZODIACLOTH,50.001,50.0,1.3
ZUARIIND,0.012,4.8,4.8
ZYDUSLIFE,5.368,5.4,5.4
ZYDUSWELL,0.063,0.1,0.1
