symbol,p99,max,max_2006plus
CCAVENUE,2.005,2.3,2.3
CCL,0.051,3.5,3.5
CDSL,0.024,0.0,0.0
CEATLTD,9.294,9.3,0.2
CELLO,0.0,0.0,0.0
CEMPRO,27.018,27.0,27.0
CENTENKA,0.654,0.7,0.7
CENTRALBK,14.944,15.0,15.0
CENTURYPLY,8.87,8.9,8.9
CERA,0.009,0.0,0.0
CESC,20.913,21.0,21.0
CGCL,0.696,5.5,5.5
CGPOWER,65.879,65.9,65.9
CHALET,0.0,0.0,0.0
CHAMBLFERT,0.0,0.0,0.0
CHEMPLASTS,0.0,0.0,0.0
CHENNPETRO,4.234,4.3,4.3
CHOICEIN,0.038,0.0,0.0
CHOLAFIN,8.923,9.0,9.0
CHOLAHLDNG,0.0,0.0,0.0
CIEINDIA,0.0,2.7,2.7
CINEVISTA,0.0,0.2,0.2
CIPLA,0.0,0.0,0.0
CLEAN,0.0,0.0,0.0
COALINDIA,6.929,6.9,6.9
COCHINSHIP,0.02,0.0,0.0
COFFEEDAY,0.0,0.0,0.0
COFORGE,1.352,2.3,2.3
COHANCE,0.018,100.0,100.0
COLPAL,0.004,0.0,0.0
CONCOR,20.018,20.0,20.0
CONCORDBIO,0.0,0.0,0.0
COROMANDEL,80.004,80.0,0.0
COSMOFIRST,0.05,0.1,0.1
CPPLUS,0.0,0.0,0.0
CRAFTSMAN,0.0,0.0,0.0
CREATIVEYE,0.0,1.2,1.2
CREDITACC,0.0,0.0,0.0
CRISIL,0.857,0.9,0.9
CROMPTON,0.0,0.7,0.7
CSBBANK,0.0,0.0,0.0
CUB,16.323,16.5,16.5
CUMMINSIND,0.004,0.0,0.0
CUPID,1.72,2.2,2.2
CYBERTECH,12.381,22.2,22.2
CYIENT,50.263,50.3,50.3
DABUR,50.005,50.0,50.0
DALBHARAT,0.0,0.0,0.0
DALMIASUG,93.234,93.2,66.2
DATAPATTNS,0.0,0.0,0.0
DBCORP,3.344,3.3,3.3
DBL,0.0,0.9,0.9
DBREALTY,17.948,17.9,17.9
DCAL,0.0,0.0,0.0
DCBBANK,0.0,0.0,0.0
DCMSHRIRAM,90.001,90.0,0.0
DCW,80.0,80.0,0.1
DEEPAKFERT,3.134,3.1,3.1
DEEPAKNTR,80.006,80.7,80.7
DELHIVERY,0.0,0.0,0.0
DELTACORP,0.987,1.0,1.0
DEN,0.0,0.0,0.0
DEVYANI,0.0,0.0,0.0
DHAMPURSUG,18.858,18.9,18.9
DHANBANK,28.056,28.1,28.1
DHANUKA,0.0,0.0,0.0
DICIND,4.125,4.1,4.1
DIGJAMLMTD,0.0,0.0,0.0
DISHTV,0.0,0.0,0.0
DIVISLAB,0.008,0.0,0.0
DIXON,0.005,0.4,0.4
DLF,0.0,0.0,0.0
DMART,0.0,1.0,1.0
DOMS,0.0,0.0,0.0
DONEAR,0.0,0.1,0.1
DREDGECORP,0.0,0.0,0.0
DRREDDY,0.025,0.0,0.0
DWARKESH,0.227,0.3,0.3
DYNAMATECH,0.0,0.0,0.0
EASEMYTRIP,0.145,0.3,0.3
ECLERX,0.26,0.4,0.4
EDELWEISS,22.282,22.4,22.4
EICHERMOT,0.091,0.1,0.1
EIDPARRY,80.0,80.0,0.0
EIHOTEL,1.962,2.0,2.0
EKC,0.0,0.1,0.1
ELECON,0.209,0.3,0.3
ELECTCAST,0.015,0.1,0.1
ELGIEQUIP,0.224,0.4,0.4
ELGIRUBCO,14.928,14.9,14.9
EMAMILTD,12.795,12.8,12.8
EMBDL,17.979,18.0,18.0
EMCURE,0.0,0.0,0.0
ENDURANCE,0.0,1.2,1.2
ENGINERSIN,0.021,0.0,0.0
ENIL,0.0,0.0,0.0
ENRIN,0.0,0.0,0.0
EPIGRAL,0.0,0.0,0.0
EPL,0.064,0.1,0.1
EQUITASBNK,0.0,0.0,0.0
ERIS,0.0,0.3,0.3
ESABINDIA,0.0,0.0,0.0
ESCORTS,0.0,0.0,0.0
ETERNAL,0.0,0.0,0.0
EVEREADY,0.0,2.8,2.8
EVERESTIND,3.326,12.4,12.4
EXIDEIND,3.686,3.7,3.7
FACT,0.0,0.1,0.1
FDC,0.0,0.0,0.0
FEDERALBNK,23.751,23.8,23.8
FEL,26.585,37.0,37.0
FELDVR,22.55,36.9,36.9
FINCABLES,0.129,0.1,0.1
FINEORG,0.0,0.0,0.0
FINPIPE,0.772,1.0,1.0
FIRSTCRY,0.0,0.0,0.0
FIVESTAR,0.0,0.0,0.0
FLEXITUFF,12.986,77.8,77.8
FLFL,4.893,22.1,22.1
FLUOROCHEM,0.0,0.0,0.0
FMGOETZE,15.354,15.4,15.4
FORCEMOT,0.0,0.0,0.0
FORTIS,0.0,0.0,0.0
FOSECOIND,2.226,2.2,2.2
FSL,2.347,2.5,2.5
GABRIEL,88.501,88.5,15.0
GAEL,80.134,80.4,80.2
GAIL,25.213,26.7,24.9
GALAXYSURF,0.0,0.0,0.0
GALLANTT,0.0,0.0,0.0
GANESHBE,1.635,2.2,2.2
GARFIBRES,0.227,0.3,0.3
GATEWAY,5.219,5.2,5.2
GAYAPROJ,2.844,2.9,2.9
GEOJITFSL,0.041,1.1,1.1
GESHIP,21.401,21.4,21.4
GHCL,2.689,2.7,2.7
GICRE,6.331,6.3,6.3
GILLETTE,2.063,2.1,2.1
GIPCL,2.092,2.1,2.1
GLAND,0.0,0.0,0.0
GLAXO,2.491,2.5,2.5
GLENMARK,0.004,50.0,0.0
GLFL,0.0,0.5,0.5
GMDCLTD,0.015,0.0,0.0
GMMPFAUDLR,0.007,0.0,0.0
GMRAIRPORT,8.059,10.1,10.1
GNFC,85.675,92.9,92.9
GOCOLORS,0.0,0.0,0.0
GODFRYPHLP,0.827,1.2,1.1
GODIGIT,0.0,0.0,0.0
GODREJAGRO,0.0,0.0,0.0
GODREJCP,1.224,1.2,1.2
GODREJIND,0.013,0.1,0.1
GODREJPROP,0.244,0.2,0.2
GOKEX,0.0,0.0,0.0
GOLDENTOBC,17.426,46.4,46.4
GOODYEAR,3.044,3.0,3.0
GPIL,0.763,1.2,1.2
GPPL,8.42,8.4,8.4
GRANULES,0.127,0.2,0.2
GRAPHITE,0.0,0.0,0.0
GRASIM,14.712,14.7,14.7
GRAVITA,0.0,0.0,0.0
GREAVESCOT,0.0,0.0,0.0
GREENPANEL,0.0,0.0,0.0
GREENPLY,42.154,42.2,24.2
GRINDWELL,0.012,0.0,0.0
GRINFRA,0.0,0.0,0.0
GRSE,0.0,0.0,0.0
GSFC,2.356,2.4,2.4
GTL,20.072,20.1,20.1
GTLINFRA,40.831,40.8,40.8
GUJALKALI,2.589,2.6,2.6
GUJENERGY,13.314,13.3,13.3
GULFOILLUB,4.816,4.8,4.8
GVKPIL,6.408,945.0,945.0
GVPIL,0.725,1.2,1.2
GVT&D,9.231,9.2,9.2
HAL,0.009,0.0,0.0
HAPPSTMNDS,0.0,0.0,0.0
HAPPYFORGE,0.0,0.0,0.0
HARRMALAYA,24.893,24.9,24.9
HATHWAY,0.0,0.0,0.0
HATSUN,1.677,1.7,1.7
HAVELLS,50.521,50.6,1.1
HBLENGINE,0.036,0.2,0.2
HCC,88.859,88.9,11.8
HCL-INSYS,79.851,79.9,0.7
HCLTECH,0.823,0.9,0.9
HDBFS,0.0,0.0,0.0
HDFCAMC,3.972,4.0,4.0
HDFCBANK,0.149,0.2,0.2
HDFCLIFE,0.0,0.0,0.0
HDIL,27.802,28.5,28.5
HEG,169.756,175.9,175.9
HEIDELBERG,3.205,3.2,3.2
HEMIPROP,0.0,0.0,0.0
HERITGFOOD,0.229,0.3,0.3
HEROMOTOCO,20.435,22.5,18.9
HEXT,0.0,0.0,0.0
HFCL,0.907,2.4,2.4
HGS,0.032,0.1,0.1
HIKAL,0.011,0.7,0.7
HIMATSEIDE,75.0,75.0,0.7
HINDALCO,91.469,91.5,9.3
HINDCOPPER,0.0,0.0,0.0
HINDMOTORS,2.231,5.3,5.3
HINDOILEXP,13.156,13.2,13.2
HINDPETRO,76.084,88.0,88.0
HINDUNILVR,5.285,5.3,5.3
HINDZINC,0.069,0.9,0.9
HLEGLAS,0.004,0.0,0.0
HLVLTD,80.0,80.0,80.0
HMT,4.638,9.8,9.8
HMVL,5.448,15.5,15.5
HOCL,2.014,3.4,3.4
HOMEFIRST,0.0,0.0,0.0
HONASA,0.0,0.0,0.0
HONAUT,0.0,0.6,0.6
HONDAPOWER,3.167,3.2,3.2
HSCL,0.045,0.4,0.4
HSIL,81.681,82.9,82.9
HTMEDIA,17.451,17.5,17.5
HUBTOWN,0.0,0.0,0.0
HUDCO,0.0,0.6,0.6
HUHTAMAKI,0.0,0.0,0.0
HYUNDAI,0.0,0.0,0.0
IBULLSLTD,18.972,19.5,19.5
ICICIBANK,0.006,0.0,0.0
ICICIGI,0.0,0.0,0.0
ICICIPRULI,0.0,0.6,0.6
ICIL,0.0,0.0,0.0
ICRA,2.081,2.1,2.1
IDBI,0.0,0.0,0.0
IDEA,0.08,0.1,0.1
IDFCFIRSTB,0.0,0.0,0.0
IEX,0.043,0.1,0.1
IFBIND,0.0,0.8,0.8
IFCI,0.0,0.1,0.1
IGARASHI,0.352,0.4,0.4
IGIL,0.0,0.0,0.0
IGL,0.212,0.3,0.3
IGPL,0.0,0.0,0.0
IIFL,28.775,28.9,28.9
IKS,0.0,0.0,0.0
IL&FSENGG,6.836,13.4,13.4
IL&FSTRANS,8.635,16.2,16.2
IMAGICAA,0.0,0.0,0.0
IMFA,0.04,0.0,0.0
INDGN,0.0,0.0,0.0
INDHOTEL,9.743,9.8,9.7
INDIACEM,0.0,0.0,0.0
INDIAGLYCO,364.466,372.0,372.0
INDIAMART,0.004,0.0,0.0
INDIANB,4.566,4.6,4.6
INDIANCARD,8.602,8.6,8.6
INDIGO,0.0,0.0,0.0
INDIGOPNTS,0.0,0.0,0.0
INDNIPPON,0.014,0.0,0.0
INDOCO,0.019,0.7,0.7
INDORAMA,0.0,0.1,0.1
INDOSTAR,0.0,0.0,0.0
INDRAMEDCO,0.0,0.0,0.0
INDSWFTLAB,0.0,0.0,0.0
INDUSINDBK,0.0,0.0,0.0
INDUSTOWER,3.639,3.6,3.6
INFOMEDIA,0.0,0.2,0.2
INFY,2.142,2.2,2.1
INGERRAND,0.0,0.0,0.0
INOXINDIA,0.0,0.0,0.0
INOXWIND,0.3,0.7,0.7
INTELLECT,6.751,6.8,6.8
IOB,0.0,0.0,0.0
IOC,51.167,59.5,59.5
IOLCP,0.457,0.6,0.6
IONEXCHANG,0.014,0.0,0.0
IPCALAB,0.068,50.0,0.1
IRB,0.337,0.6,0.6
IRCON,0.087,0.1,0.1
IRCTC,0.011,0.0,0.0
IREDA,0.0,0.0,0.0
IRFC,0.0,0.0,0.0
ITC,94.055,94.1,10.9
ITCHOTELS,0.0,0.0,0.0
ITDC,0.0,1.0,1.0
ITI,0.0,0.1,0.1
J&KBANK,0.015,0.0,0.0
JAGRAN,12.798,12.8,12.8
JAGSNPHARM,0.585,1.2,1.2
JAIBALAJI,1.233,2.0,2.0
JAICORPLTD,0.091,0.1,0.1
JAMNAAUTO,0.068,0.1,0.1
JAYSREETEA,0.013,0.0,0.0
JBMA,1.696,3.1,3.1
JINDALPHOT,0.007,0.0,0.0
JINDALPOLY,4.452,4.5,4.5
JINDALSAW,14.082,14.2,14.2
JINDALSTEL,0.011,0.0,0.0
JINDWORLD,1.302,1.8,1.8
JIOFIN,0.0,0.0,0.0
JISLJALEQS,0.0,0.0,0.0
JKCEMENT,0.0,0.0,0.0
JKIL,0.016,0.0,0.0
JKLAKSHMI,0.024,0.0,0.0
JKPAPER,0.026,0.0,0.0
JKTYRE,0.0,0.0,0.0
JMFINANCIL,0.011,0.0,0.0
JPPOWER,0.0,0.1,0.1
JSL,8.099,8.1,8.1
JSWCEMENT,0.0,0.0,0.0
JSWDULUX,8.177,8.2,8.2
JSWENERGY,0.0,0.0,0.0
JSWHL,0.0,0.0,0.0
JSWINFRA,0.0,0.0,0.0
JSWSTEEL,0.023,0.0,0.0
JTEKTINDIA,0.052,0.1,0.1
JUBLFOOD,0.052,0.1,0.1
JUBLINGREA,0.0,0.0,0.0
JUBLPHARMA,76.208,76.2,76.2
JUSTDIAL,0.0,0.0,0.0
JWL,0.0,0.1,0.1
JYOTHYLAB,0.032,0.1,0.1
JYOTICNC,0.0,0.0,0.0
JYOTISTRUC,17.443,17.5,17.5
KAJARIACER,80.0,80.0,0.0
KAKATCEM,2.458,2.5,2.5
KALYANKJIL,0.0,0.0,0.0
KANSAINER,0.542,0.6,0.6
KARURVYSYA,26.964,27.1,27.1
KAYNES,0.0,0.0,0.0
KCP,0.052,0.1,0.0
KEC,0.0,0.0,0.0
KEI,0.0,0.0,0.0
KENNAMET,0.0,0.0,0.0
KESORAMIND,2806.663,2838.8,2838.8
KFINTECH,0.0,0.0,0.0
KIMS,0.009,0.0,0.0
KIOCL,0.0,0.0,0.0
KIRLFER,0.0,0.0,0.0
KIRLOSBROS,0.0,0.0,0.0
KIRLOSENG,0.004,0.0,0.0
KIRLOSIND,168.191,168.2,168.2
KITEX,0.154,0.2,0.2
KKCL,1.639,1.7,1.7
KNRCON,0.474,1.1,1.1
KOHINOOR,0.0,0.0,0.0
KOLTEPATIL,0.0,0.0,0.0
KOPRAN,0.0,0.0,0.0
KOTAKBANK,60.048,60.4,0.4
KOTHARIPRO,27.785,27.8,27.8
KPIL,50.003,50.0,50.0
KPITTECH,0.0,0.0,0.0
KPRMILL,0.407,1.1,1.1
KRBL,0.073,0.1,0.1
KSB,0.084,0.1,0.1
KSCL,0.0,0.0,0.0
KSL,68.372,68.4,68.4
KTKBANK,20.837,68.0,20.9
LALPATHLAB,0.012,0.0,0.0
LAOPALA,2.82,3.0,3.0
LATENTVIEW,0.0,0.0,0.0
LAURUSLABS,0.03,0.2,0.2
LEMONTREE,0.0,0.0,0.0
LGBBROSLTD,900.185,900.3,900.3
LICHSGFIN,28.897,32.3,32.3
LICI,2.303,2.3,2.3
LINDEINDIA,0.0,0.0,0.0
LLOYDSME,0.0,0.0,0.0
LMW,90.0,90.0,90.0
LODHA,0.008,0.0,0.0
LOVABLE,0.0,0.0,0.0
LT,0.003,0.0,0.0
LTF,0.052,0.1,0.1
LTFOODS,0.143,0.2,0.2
LTM,0.0,0.1,0.1
LTTS,0.0,1.0,1.0
LUMAXIND,0.0,2.9,2.9
LUPIN,0.007,0.0,0.0
LUXIND,0.0,0.0,0.0
LXCHEM,0.0,0.0,0.0
M&M,50.02,50.0,0.0
M&MFIN,30.567,33.6,33.6
MADRASFERT,0.0,0.1,0.1
MAHABANK,0.0,0.0,0.0
MAHLIFE,7.078,7.1,7.1
MAHLOG,0.009,0.0,0.0
MAHSCOOTER,0.0,0.1,0.1
MAHSEAMLES,0.034,0.4,0.4
MANALIPETC,33.354,33.4,33.4
MANAPPURAM,50.004,50.0,50.0
MANGLMCEM,0.0,1.1,1.1
MANINDS,11.327,11.3,11.3
MANINFRA,0.157,0.2,0.2
MANKIND,0.0,0.0,0.0
MANYAVAR,0.0,0.0,0.0
MAPMYINDIA,0.0,0.0,0.0
MARALOVER,0.0,3.2,3.2
MARICO,2.25,2.3,2.3
MARKSANS,0.088,0.1,0.1
MARUTI,0.0,0.0,0.0
MASFIN,0.01,0.0,0.0
MASTEK,82.879,82.9,82.9
MAXHEALTH,0.0,0.0,0.0
MAXIND,0.008,0.0,0.0
MAYURUNIQ,0.005,0.0,0.0
MAZDOCK,0.028,0.0,0.0
MBLINFRA,0.013,1.1,1.1
MCLEODRUSS,0.0,0.0,0.0
MCX,0.45,0.8,0.8
MEDANTA,0.0,0.0,0.0
MEDPLUS,0.0,0.0,0.0
METROBRAND,0.0,0.0,0.0
METROPOLIS,0.016,0.0,0.0
MFSL,138.23,138.3,138.2
MGL,0.0,0.0,0.0
MHRIL,0.021,0.0,0.0
MIDHANI,0.0,0.1,0.1
MINDACORP,0.08,5.2,5.2
MIRZAINT,328.217,329.3,329.3
MMTC,0.013,0.0,0.0
MODIRUBBER,0.0,0.0,0.0
MODTHREAD,0.0,0.0,0.0
MOIL,0.005,0.0,0.0
MOREPENLAB,0.0,0.1,0.1
MOTHERSON,14.365,25.3,14.5
MOTILALOFS,0.129,0.2,0.2
MPHASIS,73.674,76.6,46.7
MPSLTD,93.855,99.9,99.9
MRF,0.0,0.0,0.0
