config,cagr_pct,sharpe,max_dd_pct,calmar,ulcer,pct_days_dd_gt_20,pct_12m_neg,median_12m,cur_dd_pct,days_since_high
stop20_none,29.61,1.6,-34.78,0.85,10.44,8.0,21.6,17.5,-2.6,675
stop20_roc31_75,26.97,1.77,-21.94,1.23,8.78,1.1,21.4,16.6,-7.0,417
stop20_roc31_50,24.34,1.83,-17.97,1.35,7.22,0.0,20.8,16.3,-5.0,417
stop20_roc31_25,21.12,1.83,-14.17,1.49,5.86,0.0,21.6,16.0,-2.7,417
nostop_none,32.5,1.69,-35.93,0.9,9.35,4.1,18.5,18.8,-2.0,86
nostop_roc31_75,30.73,1.96,-25.7,1.2,7.59,0.3,16.9,19.1,-4.3,417
nostop_roc31_50,25.43,1.98,-17.47,1.46,6.23,0.0,16.7,17.3,-3.3,417
nostop_roc31_25,19.54,1.88,-11.81,1.65,5.02,0.0,18.7,15.1,-2.0,417
