symbol,effective_from,effective_to,note
ABB,1900-01-01,,
ADANIENSOL,1900-01-01,,
ADANIENT,1900-01-01,,
ADANIGREEN,1900-01-01,,
ADANIPORTS,1900-01-01,,
ADANIPOWER,1900-01-01,,
AMBUJACEM,1900-01-01,,
APOLLOHOSP,1900-01-01,,
ASIANPAINT,1900-01-01,,
AXISBANK,1900-01-01,,
BAJAJ-AUTO,1900-01-01,,
BAJAJFINSV,1900-01-01,,
BAJAJHFL,1900-01-01,2026-07-15,dropped in 2026-07-15 nifty100 refresh
BAJAJHLDNG,1900-01-01,,
BAJFINANCE,1900-01-01,,
BANKBARODA,1900-01-01,,
BEL,1900-01-01,,
BHARTIARTL,1900-01-01,,
BOSCHLTD,1900-01-01,,
BPCL,1900-01-01,,
BRITANNIA,1900-01-01,,
CANBK,1900-01-01,,
CGPOWER,1900-01-01,,
CHOLAFIN,1900-01-01,,
CIPLA,1900-01-01,,
COALINDIA,1900-01-01,,
CUMMINSIND,2026-07-15,,added in 2026-07-15 nifty100 refresh (Cummins India Ltd.)
DIVISLAB,1900-01-01,,
DLF,1900-01-01,,
DMART,1900-01-01,,
DRREDDY,1900-01-01,,
EICHERMOT,1900-01-01,,
ENRIN,1900-01-01,,
ETERNAL,1900-01-01,,
GAIL,1900-01-01,,
GODREJCP,1900-01-01,,
GRASIM,1900-01-01,,
HAL,1900-01-01,,
HAVELLS,1900-01-01,2026-07-15,dropped in 2026-07-15 nifty100 refresh
HCLTECH,1900-01-01,,
HDFCAMC,2026-07-15,,added in 2026-07-15 nifty100 refresh (HDFC Asset Management Company Ltd.)
HDFCBANK,1900-01-01,,
HDFCLIFE,1900-01-01,,
HINDALCO,1900-01-01,,
HINDUNILVR,1900-01-01,,
HINDZINC,1900-01-01,,
HYUNDAI,1900-01-01,,
ICICIBANK,1900-01-01,,
ICICIGI,1900-01-01,2026-07-15,dropped in 2026-07-15 nifty100 refresh
INDHOTEL,1900-01-01,,
INDIGO,1900-01-01,,
INFY,1900-01-01,,
IOC,1900-01-01,,
IRFC,1900-01-01,,
ITC,1900-01-01,,
JINDALSTEL,1900-01-01,,
JIOFIN,1900-01-01,,
JSWENERGY,1900-01-01,2026-07-15,dropped in 2026-07-15 nifty100 refresh
JSWSTEEL,1900-01-01,,
KOTAKBANK,1900-01-01,,
LICI,1900-01-01,2026-07-15,dropped in 2026-07-15 nifty100 refresh
LODHA,1900-01-01,,
LT,1900-01-01,,
LTIM,1900-01-01,,NSE ticker now LTM (fetch alias)
M&M,1900-01-01,,
MARUTI,1900-01-01,,
MAXHEALTH,1900-01-01,,
MAZDOCK,1900-01-01,,
MOTHERSON,1900-01-01,,
MUTHOOTFIN,2026-07-15,,added in 2026-07-15 nifty100 refresh (Muthoot Finance Ltd.)
NAUKRI,1900-01-01,2026-07-15,dropped in 2026-07-15 nifty100 refresh
NESTLEIND,1900-01-01,,
NTPC,1900-01-01,,
ONGC,1900-01-01,,
PFC,1900-01-01,,
PIDILITIND,1900-01-01,,
PNB,1900-01-01,,
POWERGRID,1900-01-01,,
RECLTD,1900-01-01,,
RELIANCE,1900-01-01,,
SBILIFE,1900-01-01,,
SBIN,1900-01-01,,
SHREECEM,1900-01-01,,
SHRIRAMFIN,1900-01-01,,
SIEMENS,1900-01-01,,
SOLARINDS,1900-01-01,,
SUNPHARMA,1900-01-01,,
TATACAP,2026-07-15,,added in 2026-07-15 nifty100 refresh (Tata Capital Ltd.)
TATACONSUM,1900-01-01,,
TATAPOWER,1900-01-01,,
TATASTEEL,1900-01-01,,
TCS,1900-01-01,,
TECHM,1900-01-01,,
TITAN,1900-01-01,,
TMCV,2026-07-15,,added in 2026-07-15 nifty100 refresh (Tata Motors Ltd.)
TMPV,1900-01-01,,
TORNTPHARM,1900-01-01,,
TRENT,1900-01-01,,
TVSMOTOR,1900-01-01,,
ULTRACEMCO,1900-01-01,,
UNIONBANK,2026-07-15,,added in 2026-07-15 nifty100 refresh (Union Bank of India)
UNITDSPR,1900-01-01,,
VBL,1900-01-01,,
VEDL,1900-01-01,,
WIPRO,1900-01-01,,
ZYDUSLIFE,1900-01-01,,
