symbol,company,zerodha_sector,zerodha_sector_slug,source_exchange
NYKAA,FSN E-Commerce Ventures Ltd.,Retail,retail,NSE
OBEROIRLTY,Oberoi Realty Ltd.,Real Estate,real-estate,NSE
OFSS,Oracle Financial Services Software Ltd.,Software Services,software-services,NSE
OIL,Oil India Ltd.,Energy,energy,NSE
OLAELEC,Ola Electric Mobility Ltd.,Automobile,automobile,NSE
OLECTRA,Olectra Greentech Ltd.,Automobile,automobile,NSE
ONESOURCE,Onesource Specialty Pharma Ltd.,Healthcare,healthcare,NSE
ONGC,Oil & Natural Gas Corporation Ltd.,Energy,energy,NSE
PAGEIND,Page Industries Ltd.,Textiles,textiles,NSE
PARADEEP,Paradeep Phosphates Ltd.,Fertilizers,fertilizers,NSE
PATANJALI,Patanjali Foods Ltd.,FMCG,fmcg,NSE
PAYTM,One 97 Communications Ltd.,Financial Services,financial-services,NSE
PCBL,PCBL Chemical Ltd.,Chemicals,chemicals,NSE
PERSISTENT,Persistent Systems Ltd.,Software Services,software-services,NSE
PETRONET,Petronet LNG Ltd.,Energy,energy,NSE
PFC,Power Finance Corporation Ltd.,Financial Services,financial-services,NSE
PFIZER,Pfizer Ltd.,Healthcare,healthcare,NSE
PGEL,PG Electroplast Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
PHOENIXLTD,Phoenix Mills Ltd.,Real Estate,real-estate,NSE
PIDILITIND,Pidilite Industries Ltd.,Chemicals,chemicals,NSE
PIIND,PI Industries Ltd.,Chemicals,chemicals,NSE
PINELABS,Pine Labs Ltd.,Financial Services,financial-services,NSE
PIRAMALFIN,Piramal Finance Ltd.,Financial Services,financial-services,NSE
PNB,Punjab National Bank,Financial Services,financial-services,NSE
PNBHOUSING,PNB Housing Finance Ltd.,Financial Services,financial-services,NSE
POLICYBZR,PB Fintech Ltd.,Financial Services,financial-services,NSE
POLYCAB,Polycab India Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
POLYMED,Poly Medicure Ltd.,Healthcare,healthcare,NSE
POONAWALLA,Poonawalla Fincorp Ltd.,Financial Services,financial-services,NSE
POWERGRID,Power Grid Corporation of India Ltd.,Energy,energy,NSE
POWERINDIA,Hitachi Energy India Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
PPLPHARMA,Piramal Pharma Ltd.,Healthcare,healthcare,NSE
PREMIERENE,Premier Energies Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
PRESTIGE,Prestige Estates Projects Ltd.,Real Estate,real-estate,NSE
PTCIL,PTC Industries Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
PVRINOX,PVR INOX Ltd.,Media Entertainment,media-entertainment,NSE
PWL,Physicswallah Ltd.,Education Training,education-training,NSE
RADICO,Radico Khaitan Ltd,FMCG,fmcg,NSE
RAILTEL,Railtel Corporation Of India Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
RAINBOW,Rainbow Childrens Medicare Ltd.,Healthcare,healthcare,NSE
RAMCOCEM,The Ramco Cements Ltd.,Building Materials,building-materials,NSE
RBLBANK,RBL Bank Ltd.,Financial Services,financial-services,NSE
RECLTD,REC Ltd.,Financial Services,financial-services,NSE
REDINGTON,Redington Ltd.,Trading,trading,NSE
RELIANCE,Reliance Industries Ltd.,Energy,energy,NSE
RHIM,RHI MAGNESITA INDIA LTD.,Engineering Capital Goods,engineering-capital-goods,NSE
RITES,RITES Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
RKFORGE,Ramkrishna Forgings Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
RPOWER,Reliance Power Ltd.,Energy,energy,NSE
RRKABEL,R R Kabel Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
RVNL,Rail Vikas Nigam Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
SAGILITY,Sagility Ltd.,Software Services,software-services,NSE
SAIL,Steel Authority of India Ltd.,Metals,metals,NSE
SAILIFE,Sai Life Sciences Ltd.,Healthcare,healthcare,NSE
SAMMAANCAP,Sammaan Capital Ltd.,Financial Services,financial-services,NSE
SAPPHIRE,Sapphire Foods India Ltd.,FMCG,fmcg,NSE
SARDAEN,Sarda Energy and Minerals Ltd.,Metals,metals,NSE
SAREGAMA,Saregama India Ltd,Media Entertainment,media-entertainment,NSE
SBFC,SBFC Finance Ltd.,Financial Services,financial-services,NSE
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services,financial-services,NSE
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,financial-services,NSE
SBIN,State Bank of India,Financial Services,financial-services,NSE
SCHAEFFLER,Schaeffler India Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
SCHNEIDER,Schneider Electric Infrastructure Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
SCI,Shipping Corporation of India Ltd.,Logistics,logistics,NSE
SHREECEM,Shree Cement Ltd.,Building Materials,building-materials,NSE
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,financial-services,NSE
SHYAMMETL,Shyam Metalics and Energy Ltd.,Metals,metals,NSE
SIEMENS,Siemens Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
SIGNATURE,Signatureglobal (India) Ltd.,Real Estate,real-estate,NSE
SJVN,SJVN Ltd.,Energy,energy,NSE
SOBHA,Sobha Ltd.,Real Estate,real-estate,NSE
SOLARINDS,Solar Industries India Ltd.,Chemicals,chemicals,NSE
SONACOMS,Sona BLW Precision Forgings Ltd.,Auto Ancillary,auto-ancillary,NSE
SONATSOFTW,Sonata Software Ltd.,Software Services,software-services,NSE
SPLPETRO,Supreme Petrochem Ltd.,Chemicals,chemicals,NSE
