symbol,company,zerodha_sector,zerodha_sector_slug,source_exchange
CREDITACC,CreditAccess Grameen Ltd.,NBFC,nbfc,NSE
CRISIL,CRISIL Ltd.,Financial Services,financial-services,NSE
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,consumer-durables,NSE
CUB,City Union Bank Ltd.,Financial Services,financial-services,NSE
CUMMINSIND,Cummins India Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
CYIENT,Cyient Ltd.,Software Services,software-services,NSE
DABUR,Dabur India Ltd.,FMCG,fmcg,NSE
DALBHARAT,Dalmia Bharat Ltd.,Building Materials,building-materials,NSE
DATAPATTNS,Data Patterns (India) Ltd.,Defence,defence,NSE
DCMSHRIRAM,DCM Shriram Ltd.,Diversified,diversified,NSE
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Fertilizers,fertilizers,NSE
DEEPAKNTR,Deepak Nitrite Ltd.,Chemicals,chemicals,NSE
DELHIVERY,Delhivery Ltd.,Logistics,logistics,NSE
DEVYANI,Devyani International Ltd.,FMCG,fmcg,NSE
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,healthcare,NSE
DIXON,Dixon Technologies (India) Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
DLF,DLF Ltd.,Real Estate,real-estate,NSE
DMART,Avenue Supermarts Ltd.,Retail,retail,NSE
DOMS,DOMS Industries Ltd.,FMCG,fmcg,NSE
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,healthcare,NSE
ECLERX,eClerx Services Ltd.,Software Services,software-services,NSE
EICHERMOT,Eicher Motors Ltd.,Automobile,automobile,NSE
EIDPARRY,E.I.D. Parry (India) Ltd.,FMCG,fmcg,NSE
EIHOTEL,EIH Ltd.,Tourism Hospitality,tourism-hospitality,NSE
ELECON,Elecon Engineering Co. Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
ELGIEQUIP,Elgi Equipments Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
EMAMILTD,Emami Ltd.,FMCG,fmcg,NSE
EMCURE,Emcure Pharmaceuticals Ltd.,Healthcare,healthcare,NSE
EMMVEE,Emmvee Photovoltaic Power Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
ENDURANCE,Endurance Technologies Ltd.,Auto Ancillary,auto-ancillary,NSE
ENGINERSIN,Engineers India Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
ENRIN,Siemens Energy India Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
ERIS,Eris Lifesciences Ltd.,Healthcare,healthcare,NSE
ESCORTS,Escorts Kubota Ltd.,Automobile,automobile,NSE
ETERNAL,Eternal Ltd.,Services,services,NSE
EXIDEIND,Exide Industries Ltd.,Auto Ancillary,auto-ancillary,NSE
FACT,Fertilisers and Chemicals Travancore Ltd.,Fertilizers,fertilizers,NSE
FEDERALBNK,Federal Bank Ltd.,Financial Services,financial-services,NSE
FINCABLES,Finolex Cables Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
FIRSTCRY,Brainbees Solutions Ltd.,Retail,retail,NSE
FIVESTAR,Five-Star Business Finance Ltd.,Financial Services,financial-services,NSE
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,Chemicals,chemicals,NSE
FORCEMOT,Force Motors Ltd.,Automobile,automobile,NSE
FORTIS,Fortis Healthcare Ltd.,Healthcare,healthcare,NSE
FSL,Firstsource Solutions Ltd.,Software Services,software-services,NSE
GABRIEL,Gabriel India Ltd.,Auto Ancillary,auto-ancillary,NSE
GAIL,GAIL (India) Ltd.,Energy,energy,NSE
GALLANTT,Gallantt Ispat Ltd.,Metals,metals,NSE
GESHIP,Great Eastern Shipping Co. Ltd.,Logistics,logistics,NSE
GICRE,General Insurance Corporation of India,Financial Services,financial-services,NSE
GILLETTE,Gillette India Ltd.,FMCG,fmcg,NSE
GLAND,Gland Pharma Ltd.,Healthcare,healthcare,NSE
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,healthcare,NSE
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare,healthcare,NSE
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,Metals,metals,NSE
GMRAIRPORT,GMR Airports Ltd.,Aviation,aviation,NSE
GODFRYPHLP,Godfrey Phillips India Ltd.,FMCG,fmcg,NSE
GODIGIT,Go Digit General Insurance Ltd.,Financial Services,financial-services,NSE
GODREJCP,Godrej Consumer Products Ltd.,FMCG,fmcg,NSE
GODREJIND,Godrej Industries Ltd.,Chemicals,chemicals,NSE
GODREJPROP,Godrej Properties Ltd.,Real Estate,real-estate,NSE
GPIL,Godawari Power & Ispat Ltd.,Metals,metals,NSE
GRANULES,Granules India Ltd.,Healthcare,healthcare,NSE
GRAPHITE,Graphite India Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
GRASIM,Grasim Industries Ltd.,Diversified,diversified,NSE
GRAVITA,Gravita India Ltd.,Services,services,NSE
GROWW,Billionbrains Garage Ventures Ltd.,Financial Services,financial-services,NSE
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,Defence,defence,NSE
GSPL,Gujarat State Petronet Ltd.,Energy,energy,NSE
GVT&D,GE Vernova T&D India Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
HAL,Hindustan Aeronautics Ltd.,Defence,defence,NSE
HAVELLS,Havells India Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
HBLENGINE,HBL Engineering Ltd.,Auto Ancillary,auto-ancillary,NSE
HCLTECH,HCL Technologies Ltd.,Software Services,software-services,NSE
HDBFS,HDB Financial Services Ltd.,Financial Services,financial-services,NSE
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services,financial-services,NSE
HDFCBANK,HDFC Bank Ltd.,Financial Services,financial-services,NSE
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services,financial-services,NSE
HEG,H.E.G. Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile,automobile,NSE
HEXT,Hexaware Technologies Ltd.,Software Services,software-services,NSE
HFCL,HFCL Ltd.,Telecom,telecom,NSE
HINDALCO,Hindalco Industries Ltd.,Metals,metals,NSE
HINDCOPPER,Hindustan Copper Ltd.,Metals,metals,NSE
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Energy,energy,NSE
HINDUNILVR,Hindustan Unilever Ltd.,FMCG,fmcg,NSE
HINDZINC,Hindustan Zinc Ltd.,Metals,metals,NSE
HOMEFIRST,Home First Finance Company India Ltd.,Financial Services,financial-services,NSE
HONASA,Honasa Consumer Ltd.,FMCG,fmcg,NSE
HONAUT,Honeywell Automation India Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
HSCL,Himadri Speciality Chemical Ltd.,Chemicals,chemicals,NSE
HUDCO,Housing & Urban Development Corporation Ltd.,Financial Services,financial-services,NSE
HYUNDAI,Hyundai Motor India Ltd.,Automobile,automobile,NSE
ICICIAMC,ICICI Prudential Asset Management Company Ltd.,Financial Services,financial-services,NSE
ICICIBANK,ICICI Bank Ltd.,Financial Services,financial-services,NSE
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services,financial-services,NSE
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,Financial Services,financial-services,NSE
IDBI,IDBI Bank Ltd.,Financial Services,financial-services,NSE
IDEA,Vodafone Idea Ltd.,Telecom,telecom,NSE
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services,financial-services,NSE
IEX,Indian Energy Exchange Ltd.,Financial Services,financial-services,NSE
IFCI,IFCI Ltd.,Financial Services,financial-services,NSE
IGIL,International Gemological Institute Ltd.,Software Services,software-services,NSE
IGL,Indraprastha Gas Ltd.,Energy,energy,NSE
IIFL,IIFL Finance Ltd.,Financial Services,financial-services,NSE
IKS,Inventurus Knowledge Solutions Ltd.,Software Services,software-services,NSE
INDGN,Indegene Ltd.,Healthcare,healthcare,NSE
INDHOTEL,Indian Hotels Co. Ltd.,Tourism Hospitality,tourism-hospitality,NSE
INDIACEM,India Cements Ltd.,Building Materials,building-materials,NSE
INDIAMART,Indiamart Intermesh Ltd.,IT,it,NSE
INDIANB,Indian Bank,Financial Services,financial-services,NSE
INDIGO,InterGlobe Aviation Ltd.,Aviation,aviation,NSE
INDUSINDBK,IndusInd Bank Ltd.,Financial Services,financial-services,NSE
INDUSTOWER,Indus Towers Ltd.,Telecom,telecom,NSE
INFY,Infosys Ltd.,Software Services,software-services,NSE
INOXWIND,Inox Wind Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
INTELLECT,Intellect Design Arena Ltd.,Software Services,software-services,NSE
IOB,Indian Overseas Bank,Financial Services,financial-services,NSE
IOC,Indian Oil Corporation Ltd.,Energy,energy,NSE
IPCALAB,Ipca Laboratories Ltd.,Healthcare,healthcare,NSE
IRB,IRB Infrastructure Developers Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
IRCON,IRCON International Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,Tourism Hospitality,tourism-hospitality,NSE
IREDA,Indian Renewable Energy Development Agency Ltd.,Financial Services,financial-services,NSE
IRFC,Indian Railway Finance Corporation Ltd.,Financial Services,financial-services,NSE
ITC,ITC Ltd.,FMCG,fmcg,NSE
ITCHOTELS,ITC Hotels Ltd.,Tourism Hospitality,tourism-hospitality,NSE
ITI,ITI Ltd.,Telecom,telecom,NSE
J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services,financial-services,NSE
JAINREC,Jain Resource Recycling Ltd.,Services,services,NSE
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,healthcare,NSE
JBMA,JBM Auto Ltd.,Auto Ancillary,auto-ancillary,NSE
JINDALSAW,Jindal Saw Ltd.,Metals,metals,NSE
JINDALSTEL,Jindal Steel Ltd.,Metals,metals,NSE
JIOFIN,Jio Financial Services Ltd.,Financial Services,financial-services,NSE
JKCEMENT,J.K. Cement Ltd.,Building Materials,building-materials,NSE
JKTYRE,JK Tyre & Industries Ltd.,Auto Ancillary,auto-ancillary,NSE
JMFINANCIL,JM Financial Ltd.,Financial Services,financial-services,NSE
JPPOWER,Jaiprakash Power Ventures Ltd.,Energy,energy,NSE
JSL,Jindal Stainless Ltd.,Metals,metals,NSE
JSWCEMENT,JSW Cement Ltd.,Building Materials,building-materials,NSE
