config,cagr_pct,sharpe,max_dd_pct,calmar,ulcer,pct_days_dd_gt_20,pct_12m_neg,worst_12m,median_12m
WALK-FORWARD NIFTY_100 (re-picked yearly),30.84,2.03,-23.4,1.32,7.04,0.3,17.3,-11.6,16.8
FIXED NIFTY_100 ROC31/c3 @75,34.5,2.21,-23.4,1.47,6.85,0.1,13.4,-11.8,19.2
"production OM25 (stop20, no overlay)",34.53,1.88,-34.8,0.99,9.86,7.0,21.7,-19.0,19.1
"no stop, no overlay",36.73,1.92,-36.0,1.02,8.97,4.1,18.2,-19.9,20.4
