action,symbol,old_rank,new_rank
add,HINDCOPPER,,1
add,NATIONALUM,,2
add,ATHERENERG,,3
add,NETWEB,,4
add,HINDZINC,,5
add,VEDL,,6
add,SHRIRAMFIN,,7
add,MUTHOOTFIN,,8
add,ASHOKLEY,,9
add,MCX,,10
add,LTF,,11
add,HINDALCO,,12
add,BANKINDIA,,13
add,JKTYRE,,14
add,M&MFIN,,15
add,INDIANB,,16
add,CANBK,,17
add,ABCAPITAL,,18
add,IDEA,,19
add,INDIACEM,,20
add,FEDERALBNK,,21
add,CUB,,22
add,HEROMOTOCO,,23
add,MARUTI,,24
