year,cell,fit_sharpe,year_ret,taken,expo,mean_w,candidate
2014,"(63,)",0.9212869346078464,0.7297170082227085,45,0.9064970436196991,0.8322259136212624,pct_above_200/D1_four_bucket
2015,"(63,)",1.3913828199281377,0.007370404085693005,77,0.5480608514040973,0.4129834254143646,pct_above_200/D1_four_bucket
2016,"(63,)",0.6017843856288762,-0.008194428187828673,73,0.7439867684799338,0.8442105263157895,pct_above_200/D1_four_bucket
2017,"(63,)",1.0505736540744315,0.4797001671845862,47,0.631298849900229,0.7678571428571429,pct_above_200/D1_four_bucket
2018,"(63,)",1.2224462721538236,-0.24497293146794452,41,0.3359296177563547,0.3218390804597701,pct_above_200/D1_four_bucket
2019,"(42,)",0.8697519744975488,-0.032127446433354745,74,0.700195586796911,0.7574468085106383,pct_above_200/D1_four_bucket
2020,"(42,)",0.9721781392231514,0.23141775184026114,57,0.6560935508516412,0.7179930795847751,pct_above_200/D1_four_bucket
2021,"(21,)",0.7042097810877909,0.4405097162888363,61,0.8823821024748099,0.7055837563451777,pct_above_200/D1_four_bucket
2022,"(21,)",1.0208908073524037,-0.04783386880739948,75,0.5974490049612152,0.5843091334894613,pct_above_200/D1_four_bucket
2023,"(21,)",0.4814428033890754,0.5967817832007873,50,0.6948996928139584,0.794755877034358,pct_above_200/D1_four_bucket
2024,"(63,)",0.9721093147512796,0.060560934674157574,72,0.8193392777267596,0.7546992481203008,pct_above_200/D1_four_bucket
2025,"(21,)",1.2567970980280707,-0.005080541204663169,60,0.600643075086366,0.6206896551724138,pct_above_200/D1_four_bucket
2026,"(21,)",0.7367985126909165,0.23855083166346858,44,0.6488966720589607,0.7045454545454546,pct_above_200/D1_four_bucket
2014,"(126,)",0.8529753049469825,0.8659917903467234,39,0.9464491590278242,0.8305647840531561,pct_above_50/D2_two_bucket
2015,"(126,)",1.2283277319237227,0.31975773867126334,59,0.7322337427210155,0.5386740331491713,pct_above_50/D2_two_bucket
2016,"(126,)",0.5827141195898837,-0.26367506109637395,65,0.6985260798713936,0.5347368421052632,pct_above_50/D2_two_bucket
2017,"(126,)",0.742915311957568,0.45989440351895094,42,0.7611548624320366,0.6173469387755102,pct_above_50/D2_two_bucket
2018,"(126,)",0.9918740172326352,-0.2612010321541929,66,0.4892387724281328,0.39080459770114945,pct_above_50/D2_two_bucket
2019,"(126,)",0.7322442390627606,-0.1431824862990394,77,0.6131992324473629,0.5957446808510638,pct_above_50/D2_two_bucket
2020,"(63,)",0.7834695215844157,0.38637725565734304,32,0.5156719736365025,0.44982698961937717,pct_above_50/D2_two_bucket
2021,"(63,)",0.8282411815693232,0.4108649512299585,37,0.78014141048601,0.5329949238578681,pct_above_50/D2_two_bucket
2022,"(63,)",1.0307674431551168,-0.028336799779224986,61,0.6275326859371184,0.5035128805620609,pct_above_50/D2_two_bucket
2023,"(63,)",0.4746622071865572,0.49839034386728875,42,0.6212683069138499,0.5533453887884268,pct_above_50/D2_two_bucket
2024,"(63,)",0.91102833124099,0.04160944069106831,49,0.7400000423141812,0.6127819548872181,pct_above_50/D2_two_bucket
2025,"(63,)",1.2132925065681546,-0.05338387195020111,66,0.5697288208188794,0.6379310344827587,pct_above_50/D2_two_bucket
2026,"(63,)",0.6136095045527666,0.16817561235986322,47,0.7022385449776684,0.5244755244755245,pct_above_50/D2_two_bucket
2014,"(63, 0.4, 0.6)",0.9095921462590953,0.6892962129083697,39,0.878759729813522,0.7331977487466763,pct_above_200/D3_continuous
2015,"(63, 0.3, 0.7)",1.3071256357060987,0.031171014084390825,67,0.17717695153705754,0.25547284000538406,pct_above_200/D3_continuous
2016,"(126, 0.1, 0.9)",0.5640787655759785,-0.15877015874684564,91,0.5389772810381765,0.7194847670032909,pct_above_200/D3_continuous
2017,"(63, 0.3, 0.7)",1.1185622580513914,0.3094519530385875,47,0.39979437484351243,0.5712377900931063,pct_above_200/D3_continuous
2018,"(63, 0.4, 0.6)",1.2018768264865851,-0.24215601540726595,44,0.32978991770567556,0.26746764266283307,pct_above_200/D3_continuous
2019,"(126, 0.4, 0.6)",0.9770913908736525,-0.011043551859355016,78,0.701895951388919,0.8381040487399211,pct_above_200/D3_continuous
2020,"(42, 0.4, 0.6)",1.0235601511927277,0.27988279023100304,61,0.6256257318967171,0.7100936105206428,pct_above_200/D3_continuous
2021,"(21, 0.4, 0.6)",0.8182968513546554,0.2642302862113213,51,0.6313772669334698,0.3460976260299761,pct_above_200/D3_continuous
2022,"(63, 0.2, 0.8)",1.0640917983381417,0.007817101154693917,69,0.22865115849301623,0.39105730258422117,pct_above_200/D3_continuous
2023,"(21, 0.2, 0.8)",0.5826620602351806,0.1744466924384016,52,0.2462921412367238,0.6742878002903725,pct_above_200/D3_continuous
2024,"(63, 0.4, 0.6)",0.9980124237166129,0.02881223382099063,59,0.6599468743398571,0.5562638616506501,pct_above_200/D3_continuous
2025,"(42, 0.4, 0.6)",1.431532930770271,0.04238384294941766,55,0.5382478239054705,0.6706320711106827,pct_above_200/D3_continuous
2026,"(42, 0.4, 0.6)",0.9030187658013684,0.23931215614925727,32,0.5119444101743491,0.6039976216844071,pct_above_200/D3_continuous
