year,cell,fit_sharpe,year_ret,taken,expo,mean_w,candidate
2014,always_on,-9000000000.0,0.8542899030041453,44,0.9744217327267268,1.0,always on (control)
2015,always_on,-9000000000.0,0.16148685322584355,81,0.8988972980957807,1.0,always on (control)
2016,always_on,-9000000000.0,-0.13793537215503027,85,0.8402537340093129,1.0,always on (control)
2017,always_on,-9000000000.0,0.6315171858914908,53,0.9585642962961802,1.0,always on (control)
2018,always_on,-9000000000.0,-0.27225590882183426,101,0.8131326623185964,1.0,always on (control)
2019,always_on,-9000000000.0,0.019686266027092003,77,0.8688258726453411,1.0,always on (control)
2020,always_on,-9000000000.0,0.558796089556328,70,0.8506396294832722,1.0,always on (control)
2021,always_on,-9000000000.0,0.47558070814414233,59,0.9566083940274679,1.0,always on (control)
2022,always_on,-9000000000.0,-0.041500860431918474,80,0.8989373673734818,1.0,always on (control)
2023,always_on,-9000000000.0,0.7151924056774321,49,0.9681480761219224,1.0,always on (control)
2024,always_on,-9000000000.0,0.12129807166957107,72,0.9222664029559796,1.0,always on (control)
2025,always_on,-9000000000.0,-0.15194408362894396,104,0.8029843668815789,1.0,always on (control)
2026,always_on,-9000000000.0,0.3384382392186056,65,0.9011563460551162,1.0,always on (control)
2014,"(63,)",0.743519122332067,0.714155419631844,36,0.8929484915259802,0.6976744186046512,pct_above_200/D2_two_bucket
2015,"(63,)",1.1036463575964657,0.017079554322868118,35,0.321672658751909,0.20994475138121546,pct_above_200/D2_two_bucket
2016,"(63,)",0.5655293889849999,0.008389411110639289,58,0.7210216255255056,0.8168421052631579,pct_above_200/D2_two_bucket
2017,"(63,)",0.9558238061511972,0.5869084658549946,40,0.7819503227877016,0.5850340136054422,pct_above_200/D2_two_bucket
2018,"(63,)",1.186263231720953,-0.23975605521103205,40,0.3289593777986858,0.26436781609195403,pct_above_200/D2_two_bucket
2019,"(63,)",0.9541400375260605,-0.020820501746362297,73,0.7209416478244052,0.723404255319149,pct_above_200/D2_two_bucket
2020,"(63,)",0.9839990820738961,0.25319302874500127,61,0.6689946369770928,0.7785467128027682,pct_above_200/D2_two_bucket
2021,"(21,)",0.7981721041959556,0.4474900288636663,48,0.8747096970679853,0.41116751269035534,pct_above_200/D2_two_bucket
2022,"(42,)",0.9839180422215087,-0.030443170052509516,52,0.5298554837056121,0.5199063231850117,pct_above_200/D2_two_bucket
2023,"(63,)",0.5897205013882213,0.7654150777721305,46,0.9047380463920086,0.8065099457504521,pct_above_200/D2_two_bucket
2024,"(63,)",1.110462100993798,0.09113989436645831,47,0.7286435185924328,0.5639097744360902,pct_above_200/D2_two_bucket
2025,"(42,)",1.2809470484497238,0.07592842087562923,54,0.5556902889538443,0.7528735632183908,pct_above_200/D2_two_bucket
2026,"(42,)",0.8700228338951788,0.2394352290766275,32,0.5120828436160908,0.6433566433566433,pct_above_200/D2_two_bucket
2014,"(21,)",0.8487353624245868,0.730453187983064,44,0.9526273066851016,0.8239202657807309,composite/D2_two_bucket
2015,"(126,)",1.1133024796697064,0.045686762777214396,25,0.1322212226082996,0.07458563535911603,composite/D2_two_bucket
2016,"(63,)",0.8808457998665181,0.008389411110639289,58,0.7210216255255056,0.8168421052631579,composite/D2_two_bucket
2017,"(42,)",0.84266978043866,0.5833159563006964,42,0.8699276793801495,0.8197278911564626,composite/D2_two_bucket
2018,"(42,)",0.986221482922779,-0.12321190509346536,41,0.21427963458967622,0.1839080459770115,composite/D2_two_bucket
2019,"(42,)",0.8470467670250952,0.1338291991592273,70,0.7824974511014702,0.7574468085106383,composite/D2_two_bucket
2020,"(42,)",0.9704375822047147,0.38496764054910826,32,0.523319106571011,0.5813148788927336,composite/D2_two_bucket
2021,"(21,)",0.7584438813974567,0.4524025928380222,38,0.8119261515789957,0.5245346869712352,composite/D2_two_bucket
2022,"(63,)",1.0436958501812843,0.07265547510771553,37,0.39545654175877726,0.42857142857142855,composite/D2_two_bucket
2023,"(21,)",0.66379204872904,0.5763429400851416,42,0.7126517580363477,0.779385171790235,composite/D2_two_bucket
2024,"(63,)",1.0840273087769898,0.04160944069106831,49,0.7400000423141812,0.6127819548872181,composite/D2_two_bucket
2025,"(63,)",1.0775826022147337,0.025526204932178054,53,0.5123716342956568,0.6206896551724138,composite/D2_two_bucket
2026,"(42,)",0.6025692192064797,0.17253411849637534,50,0.7166537948856992,0.6363636363636364,composite/D2_two_bucket
