signal,window,shape,hyst,params,is_mean_w,is_cagr,is_maxdd,is_sharpe,is_taken,is_expo,is_c_cagr,is_c_maxdd,is_c_sharpe,is_c_expo,is_edge,is_chg_yr,is_cash,oos_mean_w,oos_cagr,oos_maxdd,oos_sharpe,oos_taken,oos_expo,oos_c_cagr,oos_c_maxdd,oos_c_sharpe,oos_c_expo,oos_edge,oos_chg_yr,oos_cash
pct_above_200,21,D1_four_bucket,0,4,0.74822695035461,0.21729136912624836,0.37641182084765124,0.9443375207658818,451,0.6783663498937464,0.2154375282115477,0.4395856147300158,0.8828607517285875,0.7200559813165851,0.061476769037294376,22.415342465753422,0.28225806451612906,0.7427480916030534,0.18301283313033911,0.3399670809472378,0.7180920756521271,563,0.7661502179459936,0.1849775370275475,0.3635996291242214,0.7148680206093218,0.7837983497306956,0.0032240550428053183,21.331198770491806,0.24546827794561935
pct_above_200,21,D2_two_bucket,0,2,0.6099290780141844,0.16177230126607722,0.3434988417331303,0.6449993885953018,396,0.6540816141657705,0.18152451362658262,0.38702843535030274,0.8245839267187237,0.6051889070751009,-0.1795845381234219,18.812876712328766,0.49112903225806454,0.6207197382769902,0.20404364037184664,0.3230249046795337,0.8476343549944583,466,0.743201460786633,0.1614936519875223,0.3155071641786328,0.6867992855350685,0.6714916059630764,0.16083506945938975,18.24378842213115,0.4618580060422961
pct_above_200,21,D3_continuous,0,4,0.6078637578391675,0.19655818623965104,0.3154848604181403,0.922768921348618,450,0.6059459307628051,0.18097717144895786,0.38619102127598526,0.8234647205481993,0.6033855736944365,0.09930420080041868,161.71068493150685,0.2,0.6327355981591914,0.17325370011676022,0.27880463326866434,0.7222542867008575,589,0.67370308815447,0.1640009688832369,0.3203995183084185,0.6904896881961406,0.6830508850994024,0.0317645985047168,166.34592725409837,0.1729607250755287
pct_above_200,42,D1_four_bucket,0,4,0.7306506321307431,0.23184168992014742,0.33074479304688653,1.050353107158067,433,0.6558752014734901,0.21177280899615014,0.4332122690240551,0.8782001532065462,0.7061706046180883,0.17215295395152075,15.610684931506848,0.31411290322580643,0.7152671755725191,0.2155838406985966,0.36333901675146496,0.9054742204495979,517,0.7488232903509235,0.18110170036920037,0.3530691238329774,0.7139390685244603,0.7607073045873028,0.1915351519251376,15.062820184426231,0.27416918429003023
pct_above_200,42,D2_two_bucket,0,2,0.5969781066913352,0.16614141153408957,0.3301076723639249,0.6606949856780281,371,0.6381730016584591,0.17808583925803867,0.38174747587239344,0.8174525289079639,0.593860904468667,-0.15675754322993585,12.208356164383561,0.5076612903225807,0.586041439476554,0.2357001722587615,0.3441515239350106,1.0466308802021502,416,0.7175150407869281,0.15414618153623127,0.30118524492587595,0.6749031688271508,0.637917803285781,0.3717277113749994,12.068967725409838,0.48413897280966767
pct_above_200,42,D3_continuous,0,4,0.6145477290411684,0.19047998481953554,0.30298121195412697,0.9247164329762423,450,0.5514124252628958,0.18274711768810437,0.3888946878179286,0.8270626286117931,0.6092173633546472,0.09765380436444915,158.50849315068493,0.2,0.6173654694573482,0.1518899395690252,0.29194521911486715,0.6348283234208009,593,0.6204933509356937,0.16079020692120372,0.3141350726459702,0.6857313186928746,0.668258108982848,-0.05090299527207376,155.30609631147541,0.18693353474320243
pct_above_200,63,D1_four_bucket,0,4,0.7434474252235584,0.2598012536507237,0.30922481743135555,1.1937552573844217,377,0.6309267099786824,0.2143595899938746,0.43790380439893994,0.880905193325467,0.7165772322121553,0.31285006405895466,14.071271326362137,0.3442689347914135,0.7268266085059978,0.21373235475122954,0.3736711686733569,0.9036741784558983,484,0.7199135227511811,0.18293271462223815,0.3575191513223155,0.7157226898551537,0.7704100942909252,0.1879514886007445,11.226946721311476,0.3085347432024169
pct_above_200,63,D2_two_bucket,0,2,0.6413814369411039,0.23397247736648685,0.31879396607036536,1.0313585264448228,308,0.6016792618703298,0.18981194612820507,0.3995650718514757,0.8408332402358717,0.6325058288483255,0.19052528620895115,10.65396257567419,0.5354394491697043,0.6222464558342421,0.24250221521264392,0.37126312940210093,1.0859672354297785,398,0.6916509292164276,0.1618133199320324,0.31613075608519536,0.6872798315905183,0.6729623823210278,0.39868740383926016,8.420210040983607,0.5090634441087614
pct_above_200,63,D3_continuous,0,4,0.6483503569896333,0.2085776820333276,0.2987598230151348,0.9954784442432654,436,0.5469327831047281,0.19163611392028912,0.402289398508195,0.8442427786332904,0.6385221030110908,0.15123566560997492,157.59823885525591,0.20008100445524504,0.6279373521646413,0.18213184630833767,0.32367098503463343,0.8237109266076793,554,0.5890738054974886,0.1630020905922076,0.3184501400450517,0.6890409939530563,0.6784394306427428,0.13466993265462301,136.31384477459017,0.21185800604229607
pct_above_200,126,D1_four_bucket,0,4,0.7345050878815911,0.23326448081421214,0.3173132861274205,1.0258081521144082,381,0.6122183385582329,0.2125477426837119,0.4346216086293915,0.8791526136154695,0.7089896462222802,0.14665553849893875,11.255937234944868,0.38196176226101414,0.7121046892039259,0.1466780729700683,0.4404322810996695,0.5297689910448374,481,0.6957366212782103,0.1803911514401373,0.35184641970756403,0.7126712732919703,0.757820124675858,-0.1829022822471329,13.37877817622951,0.3357250755287009
