candidate,signal,shape,params,wf_cagr,wf_maxdd,wf_sharpe,ctl_sharpe,static_oos_sharpe,distinct_cells,chg_yr,cash,ctl_cagr,ctl_maxdd,static_oos_edge,g1,g2,g3
always on (control),-,-,0,0.20645968420753857,0.43056769699171127,0.7149587534643338,,,0,0.0,0.0,,,,,,
pct_above_200/D2_two_bucket,pct_above_200,D2_two_bucket,2,0.19299765720320483,0.37919528272211456,0.7972340825218546,0.7096551501553285,1.0859672354297785,3,10.119697380769592,0.5214910307548568,0.15859208608414188,0.28514896367941367,0.3986874038392601,0.08227532905752077,0.08757893236652603,0.2887331529079239
composite/D2_two_bucket,composite,D2_two_bucket,2,0.21821887342513913,0.2204404555470253,1.0162394211592052,0.7100806043123351,0.964921013370683,4,31.395661378510965,0.4943952056472146,0.17035785565496409,0.3297581617660389,0.2664586925141637,0.3012806676948714,0.3061588168468701,0.05131840778852215
pct_above_200/D1_four_bucket,pct_above_200,D1_four_bucket,4,0.16018339554443628,0.39142813129554166,0.6145893862760128,0.7318382237607913,0.905474220449598,3,13.631043231220264,0.2912187572251106,0.18328478437392692,0.3334398596345495,0.1915351519251376,-0.10036936718832101,-0.11724883748477855,0.29088483417358524
pct_above_50/D2_two_bucket,pct_above_50,D2_two_bucket,2,0.1437594643321407,0.39756881993319304,0.509334004254981,0.6708519829792466,0.8123006813974899,2,16.260343398395882,0.529368181841254,0.15089559932758645,0.2875559171807658,0.1483930726355685,-0.2056247492093528,-0.16151797872426565,0.3029666771425089
pct_above_200/D3_continuous,pct_above_200,D3_continuous,4,0.10769212784468851,0.34753928541688706,0.4168114481878948,0.6991034971199045,0.8237109266076793,8,97.46043006172113,0.33423089112100635,0.15680369423364793,0.2909829436428275,0.134669932654623,-0.298147305276439,-0.2822920489320097,0.4068994784197845
