date,signal_date,rank,symbol,score
2026-01-21,2026-01-21,1,HINDCOPPER,5.5482333745524635
2026-01-21,2026-01-21,2,NATIONALUM,4.949483805455577
2026-01-21,2026-01-21,3,ATHERENERG,4.306907178732544
2026-01-21,2026-01-21,4,NETWEB,3.4985736301509203
2026-01-21,2026-01-21,5,HINDZINC,3.2875900837585728
2026-01-21,2026-01-21,6,VEDL,3.1972027493526656
2026-01-21,2026-01-21,7,SHRIRAMFIN,3.021862945376763
2026-01-21,2026-01-21,8,MUTHOOTFIN,2.83854958967857
2026-01-21,2026-01-21,9,ASHOKLEY,2.8159456183492275
2026-01-21,2026-01-21,10,MCX,2.5313251914426824
