exit_buffer,window,start,end,yrs,cagr_pct,vol_pct,sharpe,sharpe_ar,sortino,max_dd_pct,calmar,n_trades,rt_per_year,hit_rate_pct,avg_hold_days,cost_pct_pv_yr,n_days
0,IS,2009-09-01,2016-12-31,7.32,23.2,19.91,1.17,1.04,1.38,-35.9,0.65,2933,198.3,44.8,43.7,8.95,2065
0,OOS_A,2017-01-01,2019-12-31,2.99,20.71,16.48,1.26,0.79,1.4,-37.11,0.56,1486,248.0,41.2,34.3,11.02,1211
0,OOS_B,2020-01-01,2022-12-31,3.0,66.43,28.48,2.33,1.95,2.74,-37.35,1.78,1078,180.0,49.5,50.0,7.18,748
0,OOS_C,2023-01-01,2026-05-08,3.35,28.24,25.63,1.1,1.12,1.29,-36.16,0.78,1294,193.4,47.1,45.2,8.65,829
0,OOS_FULL,2017-01-01,2026-05-08,9.34,36.71,23.05,1.59,1.26,1.77,-44.33,0.83,3858,206.3,45.5,42.3,8.93,2788
0,LIVE_2026,2026-05-09,2026-08-21,0.28,4.71,20.39,0.23,0.32,0.37,-8.91,0.53,122,218.4,37.7,43.1,9.83,73
0,FULL,2009-09-01,2026-08-21,16.96,30.17,21.74,1.39,1.16,1.58,-44.33,0.68,6913,202.9,45.1,42.9,8.94,4926
5,IS,2009-09-01,2016-12-31,7.32,25.61,19.84,1.29,1.13,1.52,-31.71,0.81,2276,153.7,46.2,56.4,6.96,2065
5,OOS_A,2017-01-01,2019-12-31,2.99,24.42,16.3,1.5,0.92,1.66,-33.43,0.73,1209,201.8,42.7,41.9,9.07,1211
5,OOS_B,2020-01-01,2022-12-31,3.0,64.28,28.56,2.25,1.9,2.63,-36.92,1.74,842,140.6,49.6,64.4,5.6,748
5,OOS_C,2023-01-01,2026-05-08,3.35,27.57,25.56,1.08,1.1,1.26,-36.61,0.75,1028,153.6,44.9,57.0,6.84,829
5,OOS_FULL,2017-01-01,2026-05-08,9.34,37.2,22.99,1.62,1.28,1.79,-40.85,0.91,3079,164.7,45.4,53.1,7.15,2788
5,LIVE_2026,2026-05-09,2026-08-21,0.28,16.72,20.29,0.82,0.85,1.26,-8.84,1.89,96,171.9,39.6,48.5,7.66,73
5,FULL,2009-09-01,2026-08-21,16.96,31.7,21.68,1.46,1.21,1.66,-40.85,0.78,5451,159.9,45.6,54.4,7.07,4926
10,IS,2009-09-01,2016-12-31,7.32,29.33,19.79,1.48,1.26,1.74,-31.01,0.95,1853,124.7,48.6,69.4,5.68,2065
10,OOS_A,2017-01-01,2019-12-31,2.99,27.78,16.26,1.71,1.02,1.88,-30.3,0.92,1008,168.4,41.9,50.1,7.55,1211
10,OOS_B,2020-01-01,2022-12-31,3.0,63.55,28.42,2.24,1.89,2.58,-38.37,1.66,678,113.2,50.7,80.0,4.59,748
10,OOS_C,2023-01-01,2026-05-08,3.35,29.87,25.51,1.17,1.17,1.36,-32.62,0.92,842,125.8,46.6,69.4,5.6,829
10,OOS_FULL,2017-01-01,2026-05-08,9.34,39.08,22.92,1.71,1.33,1.87,-40.81,0.96,2528,135.3,45.8,64.5,5.9,2788
10,LIVE_2026,2026-05-09,2026-08-21,0.28,15.97,19.58,0.82,0.84,1.32,-8.46,1.89,70,125.3,42.9,64.4,5.66,73
10,FULL,2009-09-01,2026-08-21,16.96,34.39,21.61,1.59,1.3,1.8,-40.81,0.84,4451,130.4,46.9,66.5,5.8,4926
15,IS,2009-09-01,2016-12-31,7.32,30.93,19.72,1.57,1.32,1.85,-31.12,0.99,1599,107.4,49.5,80.6,4.91,2065
15,OOS_A,2017-01-01,2019-12-31,2.99,30.21,16.53,1.83,1.08,2.01,-27.08,1.12,884,147.7,45.2,57.1,6.61,1211
15,OOS_B,2020-01-01,2022-12-31,3.0,62.41,27.96,2.23,1.9,2.59,-37.78,1.65,570,95.2,51.9,92.9,3.84,748
15,OOS_C,2023-01-01,2026-05-08,3.35,29.25,25.46,1.15,1.16,1.32,-31.55,0.93,728,108.8,45.6,82.2,4.88,829
15,OOS_FULL,2017-01-01,2026-05-08,9.34,39.38,22.83,1.73,1.34,1.9,-37.78,1.04,2182,116.8,47.1,74.8,5.09,2788
15,LIVE_2026,2026-05-09,2026-08-21,0.28,9.14,20.5,0.45,0.52,0.73,-9.24,0.99,64,114.6,46.9,72.5,5.11,73
15,FULL,2009-09-01,2026-08-21,16.96,35.11,21.54,1.63,1.32,1.85,-37.78,0.93,3845,112.6,48.1,77.1,5.01,4926
20,IS,2009-09-01,2016-12-31,7.32,31.54,19.68,1.6,1.34,1.88,-32.51,0.97,1445,97.0,51.4,89.2,4.44,2065
20,OOS_A,2017-01-01,2019-12-31,2.99,32.47,16.26,2.0,1.16,2.22,-26.03,1.25,796,133.0,46.5,63.2,5.97,1211
20,OOS_B,2020-01-01,2022-12-31,3.0,65.33,27.84,2.35,1.97,2.77,-37.4,1.75,506,84.5,53.0,104.5,3.35,748
20,OOS_C,2023-01-01,2026-05-08,3.35,29.87,25.33,1.18,1.18,1.37,-33.47,0.89,634,94.7,47.9,94.2,4.28,829
20,OOS_FULL,2017-01-01,2026-05-08,9.34,41.22,22.66,1.82,1.4,2.01,-37.4,1.1,1936,103.6,48.7,84.1,4.52,2788
20,LIVE_2026,2026-05-09,2026-08-21,0.28,16.72,19.84,0.84,0.86,1.4,-7.53,2.22,50,89.5,44.0,84.1,3.81,73
20,FULL,2009-09-01,2026-08-21,16.96,36.52,21.42,1.71,1.37,1.94,-37.4,0.98,3431,100.4,49.7,86.2,4.47,4926
