sym,ret,mfe,peak_day,hold,days_after_peak,giveback,imp,pk_bucket,lk
ANANDRATHI,-0.02,0.15879022234497997,41,86,45,0.17879022234497996,False,1-2m,-0.02
ANANTRAJ,4.263999999999999,7.634517766497462,500,514,14,3.3705177664974624,True,>6m,4.263999999999999
ANDHRSUGAR,-0.055,0.1894700381018357,34,46,12,0.2444700381018357,False,1-2m,-0.055
ANGELONE,-0.15,0.26337621933434874,18,27,9,0.41337621933434876,False,<1m,0.13168810966717437
ANGELONE,-0.055,0.0,0,4,4,0.0,False,<1m,-0.055
ANUP,-0.247,0.014620176129447993,1,31,30,0.261620176129448,False,<1m,-0.247
APARINDS,6.026,8.0853159923679,561,575,14,2.0593159923678996,True,>6m,6.026
APCOTEXIND,-0.083,0.0521783181357649,57,77,20,0.13517831813576492,False,2-3m,-0.083
APLAPOLLO,0.145,0.44134162426983226,113,140,27,0.29634162426983224,False,3-6m,0.22067081213491613
APOLLO,-0.099,0.0,0,7,7,0.0,False,<1m,-0.099
APOLLO,0.168,0.7438263779727192,77,133,56,0.5758263779727192,True,3-6m,0.3719131889863596
APOLLO,-0.239,0.12569832402234637,60,75,15,0.36469832402234637,True,2-3m,-0.239
APOLLOPIPE,-0.11900000000000001,0.05584688031951668,21,61,40,0.17484688031951667,False,<1m,-0.11900000000000001
ASHAPURMIN,0.191,0.6641158030610366,88,110,22,0.47311580306103657,True,3-6m,0.3320579015305183
ASHAPURMIN,0.122,0.5289036544850498,45,112,67,0.40690365448504984,True,2-3m,0.2644518272425249
ATGL,0.009000000000000001,0.6403934700711595,139,144,5,0.6313934700711595,False,>6m,0.32019673503557977
ATGL,0.447,0.763907734056988,151,199,48,0.31690773405698797,False,>6m,0.447
ATGL,0.551,2.1227519269197828,65,96,31,1.5717519269197826,True,3-6m,1.0613759634598914
ATULAUTO,-0.051,0.18904419031483854,28,84,56,0.24004419031483853,False,1-2m,-0.051
AVADHSUGAR,-0.226,0.14740824318046064,12,36,24,0.3734082431804606,False,<1m,-0.226
AVALON,-0.028999999999999998,0.019175342626904346,4,17,13,0.048175342626904344,True,<1m,-0.028999999999999998
AVANTIFEED,-0.17,0.22866949983654816,11,46,35,0.3986694998365482,False,<1m,0.11433474991827408
AVANTIFEED,0.0,0.28327035383029875,13,74,61,0.28327035383029875,False,<1m,0.14163517691514937
AXISCADES,-0.255,0.057815845824410905,4,45,41,0.3128158458244109,False,<1m,-0.255
BAJAJCON,0.231,0.7680031653917172,86,118,32,0.5370031653917172,False,3-6m,0.3840015826958586
BAJAJFINSV,0.028999999999999998,0.1449239890130809,33,108,75,0.1159239890130809,False,1-2m,0.028999999999999998
BAJAJHCARE,-0.226,0.0,0,19,19,0.0,False,<1m,-0.226
BAJAJHLDNG,0.051,0.20883968703179634,75,84,9,0.15783968703179635,False,3-6m,0.10441984351589817
BAJAJHLDNG,-0.062,0.07189467415347961,36,44,8,0.1338946741534796,False,1-2m,-0.062
BAJFINANCE,-0.003,0.1222958210910019,96,111,15,0.1252958210910019,False,3-6m,-0.003
BANKBARODA,0.036000000000000004,0.16966442953020122,185,202,17,0.13366442953020122,True,>6m,0.036000000000000004
BCG,-0.228,0.06461086637298075,4,17,13,0.2926108663729807,False,<1m,-0.228
BCG,-0.285,0.49125475285171083,12,66,54,0.7762547528517107,False,<1m,0.24562737642585541
BDL,-0.22399999999999998,0.0053681758330801355,27,52,25,0.2293681758330801,True,1-2m,-0.22399999999999998
BDL,-0.059000000000000004,0.0,0,8,8,0.0,False,<1m,-0.059000000000000004
BDL,-0.094,0.019901044529961442,1,6,5,0.11390104452996144,True,<1m,-0.094
BDL,0.011000000000000001,0.22414853067748686,108,141,33,0.21314853067748685,False,3-6m,0.11207426533874343
BECTORFOOD,0.307,0.7143314139475365,113,174,61,0.4073314139475365,True,3-6m,0.35716570697376826
BHARATWIRE,0.486,1.1504208525658428,155,196,41,0.6644208525658428,True,>6m,0.5752104262829214
BHARTIHEXA,-0.025,0.16610846700746218,42,105,63,0.19110846700746217,False,1-2m,-0.025
BHEL,0.061,0.3111330049261083,69,108,39,0.2501330049261083,False,3-6m,0.15556650246305415
BLACKBUCK,-0.159,0.04679194429886957,23,35,12,0.20579194429886957,True,1-2m,-0.159
BLS,0.7020000000000001,1.211777565241153,154,208,54,0.509777565241153,False,>6m,0.7020000000000001
BLUEJET,-0.094,0.20176064715679276,74,88,14,0.29576064715679273,False,3-6m,0.10088032357839638
BORORENEW,-0.095,0.004737582352505543,1,12,11,0.09973758235250554,False,<1m,-0.095
BORORENEW,0.988,1.740760203187949,322,335,13,0.752760203187949,True,>6m,0.988
BSE,0.127,0.525427838980115,118,176,58,0.398427838980115,True,3-6m,0.2627139194900575
BSE,0.16,0.6495060373216246,46,102,56,0.48950603732162457,False,2-3m,0.3247530186608123
BSE,0.33799999999999997,0.7888945168839852,120,167,47,0.4508945168839852,True,3-6m,0.3944472584419926
BSE,0.049,0.5899527712536441,48,97,49,0.540952771253644,False,2-3m,0.29497638562682205
CAMLINFINE,0.23399999999999999,0.9257408278457193,59,98,39,0.6917408278457193,False,2-3m,0.46287041392285966
CARTRADE,0.45899999999999996,0.9276824160915473,94,142,48,0.46868241609154737,True,3-6m,0.46384120804577367
CARTRADE,-0.1,0.027311578411117088,59,82,23,0.1273115784111171,False,2-3m,-0.1
CCL,0.012,0.13619144414672468,68,98,30,0.12419144414672469,False,3-6m,0.012
CGPOWER,0.636,1.025583982202447,274,305,31,0.38958398220244705,False,>6m,0.636
CHAMBLFERT,0.018000000000000002,0.3324470523517007,40,59,19,0.3144470523517007,False,1-2m,0.16622352617585034
CHAMBLFERT,0.005,0.0437659033078881,2,2,0,0.0387659033078881,False,<1m,0.005
CHEMPLASTS,-0.29100000000000004,0.029919447640966546,3,78,75,0.3209194476409666,False,<1m,-0.29100000000000004
CHENNPETRO,-0.17600000000000002,0.15062959076600202,10,48,38,0.32662959076600206,True,<1m,-0.17600000000000002
CHENNPETRO,0.37799999999999995,0.819537658463833,155,169,14,0.441537658463833,True,>6m,0.4097688292319165
CHENNPETRO,-0.19699999999999998,0.2878942014242116,6,81,75,0.4848942014242116,False,<1m,0.1439471007121058
CHOICEIN,0.034,0.18911235875204335,105,131,26,0.15511235875204335,True,3-6m,0.034
CHOICEIN,-0.031,0.0,0,2,2,0.0,False,<1m,-0.031
CHOLAHLDNG,-0.037000000000000005,0.19496855345911945,41,82,41,0.23196855345911946,False,1-2m,-0.037000000000000005
COCHINSHIP,0.892,1.9573479293607354,69,118,49,1.0653479293607355,False,3-6m,0.9786739646803677
COFFEEDAY,-0.31,0.0,0,60,60,0.0,False,<1m,-0.31
COFORGE,-0.071,0.0,0,2,2,0.0,False,<1m,-0.071
COROMANDEL,0.09,0.31348673775652114,83,123,40,0.22348673775652114,False,3-6m,0.15674336887826057
CRAFTSMAN,-0.051,0.13401773866890143,112,134,22,0.18501773866890142,True,3-6m,-0.051
CREDITACC,-0.09699999999999999,0.05266533637400217,39,67,28,0.14966533637400214,True,1-2m,-0.09699999999999999
CREDITACC,-0.081,0.039034462415810545,14,73,59,0.12003446241581055,False,<1m,-0.081
CUB,-0.139,0.051982378854625644,2,26,24,0.19098237885462566,False,<1m,-0.139
CUPID,1.0270000000000001,2.079661971830986,54,134,80,1.052661971830986,True,2-3m,1.039830985915493
DATAMATICS,-0.2,0.0,0,68,68,0.0,True,<1m,-0.2
DATAMATICS,-0.11,0.07878056142469059,61,78,17,0.18878056142469057,False,2-3m,-0.11
DATAPATTNS,0.304,0.8137622090034515,144,180,36,0.5097622090034515,True,>6m,0.40688110450172577
DBREALTY,0.154,0.6251796844063771,89,100,11,0.47117968440637703,True,3-6m,0.31258984220318853
DEEPAKFERT,-0.05,0.17788136738278615,21,94,73,0.22788136738278614,True,<1m,-0.05
DEEPAKFERT,-0.225,0.0406358487118581,4,52,48,0.2656358487118581,False,<1m,-0.225
DEEPAKFERT,0.247,0.7466767625778228,158,200,42,0.4996767625778228,False,>6m,0.3733383812889114
DHANI,-0.282,0.14641117933516856,2,32,30,0.42841117933516853,False,<1m,-0.282
DHANI,-0.134,0.2396298659859606,6,50,44,0.3736298659859606,True,<1m,0.1198149329929803
DIXON,-0.10300000000000001,0.1298176438656875,11,46,35,0.2328176438656875,False,<1m,-0.10300000000000001
DLINKINDIA,-0.27399999999999997,0.004016064257028162,4,41,37,0.27801606425702813,True,<1m,-0.27399999999999997
DOMS,-0.027999999999999997,0.002348775023487848,1,3,2,0.030348775023487845,False,<1m,-0.027999999999999997
DREDGECORP,-0.245,0.04219685628742531,3,36,33,0.2871968562874253,False,<1m,-0.245
DWARKESH,0.081,0.5665753424657534,25,73,48,0.48557534246575335,False,1-2m,0.2832876712328767
EASEMYTRIP,0.076,0.33184037015615964,34,121,87,0.2558403701561596,False,1-2m,0.16592018507807982
ECLERX,-0.1,0.06524547803617575,2,6,4,0.16524547803617576,False,<1m,-0.1
EIDPARRY,-0.157,0.0,0,66,66,0.0,True,<1m,-0.157
EKC,-0.209,0.06308127780024253,4,59,55,0.2720812778002425,False,<1m,-0.209
ELECON,0.925,1.5453283996299723,188,218,30,0.6203283996299722,False,>6m,0.925
ELECON,-0.033,0.0,0,2,2,0.0,False,<1m,-0.033
ELECON,0.40700000000000003,0.781160252728317,103,155,52,0.374160252728317,False,3-6m,0.40700000000000003
ELECON,0.20600000000000002,0.5367886915549114,99,152,53,0.33078869155491136,True,3-6m,0.2683943457774557
ELECTCAST,-0.135,0.08271205514137003,30,55,25,0.21771205514137004,True,1-2m,-0.135
ELECTCAST,0.307,0.8087649402390438,96,126,30,0.5017649402390438,True,3-6m,0.4043824701195219
ELGIEQUIP,-0.14,0.1367929318574186,6,79,73,0.2767929318574186,True,<1m,-0.14
EMIL,-0.02,0.3662212112595964,51,93,42,0.3862212112595964,True,2-3m,0.1831106056297982
FACT,0.773,1.5306035097731487,185,218,33,0.7576035097731487,False,>6m,0.773
FACT,-0.32299999999999995,0.0,0,39,39,0.0,True,<1m,-0.32299999999999995
FCL,0.41600000000000004,1.074682203389831,75,114,39,0.6586822033898309,False,3-6m,0.5373411016949154
FCL,0.242,0.7380216383307572,135,173,38,0.4960216383307572,False,>6m,0.3690108191653786
FILATEX,-0.076,0.15837320574162672,7,32,25,0.23437320574162673,False,<1m,-0.076
FINCABLES,0.128,0.4638790253459042,121,135,14,0.3358790253459042,False,3-6m,0.2319395126729521
FINEORG,-0.155,0.06638872763734227,7,53,46,0.22138872763734227,True,<1m,-0.155
FLUOROCHEM,0.17,0.4788117951595676,69,106,37,0.3088117951595676,False,3-6m,0.2394058975797838
FLUOROCHEM,-0.134,0.0,0,12,12,0.0,False,<1m,-0.134
FLUOROCHEM,0.344,0.8634865517038433,107,169,62,0.5194865517038433,False,3-6m,0.4317432758519216
FORCEMOT,0.57,1.2157654947133154,179,228,49,0.6457654947133155,True,>6m,0.6078827473566577
FORCEMOT,1.008,1.6755859138642748,73,167,94,0.6675859138642748,True,3-6m,1.008
GABRIEL,-0.051,0.3140462889066242,30,85,55,0.3650462889066242,True,1-2m,0.1570231444533121
GAEL,-0.281,0.027449777641465944,1,14,13,0.30844977764146597,False,<1m,-0.281
GANESHHOUC,-0.22899999999999998,0.07250000000000001,4,20,16,0.3015,False,<1m,-0.22899999999999998
GARUDA,-0.166,0.13209397916763987,3,47,44,0.2980939791676399,True,<1m,-0.166
GENUSPOWER,-0.102,0.23554327808471442,107,121,14,0.3375432780847144,True,3-6m,0.11777163904235721
GESHIP,-0.166,0.06869385951995288,13,52,39,0.2346938595199529,True,<1m,-0.166
GET&D,0.055999999999999994,0.27865595065096826,55,78,23,0.22265595065096827,True,2-3m,0.13932797532548413
GHCL,-0.085,0.047270808202653614,78,109,31,0.13227080820265363,False,3-6m,-0.085
GLOBUSSPR,-0.049,0.15322697606961566,17,36,19,0.20222697606961565,False,<1m,-0.049
GLOBUSSPR,0.21600000000000003,0.708480302051766,93,114,21,0.492480302051766,False,3-6m,0.354240151025883
GMDCLTD,0.037000000000000005,0.28683439600206806,9,48,39,0.24983439600206805,False,<1m,0.14341719800103403
GMDCLTD,-0.11599999999999999,0.015630035449564872,5,105,100,0.13163003544956486,True,<1m,-0.11599999999999999
GMDCLTD,-0.025,0.5894353369763206,26,75,49,0.6144353369763206,False,1-2m,0.2947176684881603
GMRP&UI,0.43799999999999994,1.3506869125090382,79,118,39,0.9126869125090382,False,3-6m,0.6753434562545191
GMRP&UI,-0.273,0.07926267281105992,26,52,26,0.35226267281105994,True,1-2m,-0.273
GNA,-0.303,0.1325199831720656,9,54,45,0.4355199831720656,False,<1m,-0.303
GNFC,0.003,0.5495580537200722,23,75,52,0.5465580537200722,False,1-2m,0.2747790268600361
GODFRYPHLP,0.08800000000000001,0.3280477058485569,78,129,51,0.2400477058485569,False,3-6m,0.16402385292427846
GODFRYPHLP,-0.20199999999999999,0.23346117793104915,10,77,67,0.4354611779310491,True,<1m,0.11673058896552457
GOKEX,-0.10099999999999999,0.24837185544630325,71,95,24,0.3493718554463032,False,3-6m,0.12418592772315162
GOLDIAM,-0.302,0.0423631123919308,2,20,18,0.3443631123919308,False,<1m,-0.302
GOLDIAM,-0.17800000000000002,0.07062000207705887,3,72,69,0.2486200020770589,False,<1m,-0.17800000000000002
GPIL,1.371,2.5521969772795514,120,194,74,1.1811969772795514,True,3-6m,1.371
GRAVITA,-0.163,0.03146172258509461,8,79,71,0.19446172258509462,True,<1m,-0.163
GRAVITA,0.373,0.9704370179948587,105,171,66,0.5974370179948587,False,3-6m,0.48521850899742935
GREAVESCOT,-0.20600000000000002,0.08798040693293152,5,30,25,0.29398040693293154,False,<1m,-0.20600000000000002
GREENPANEL,0.941,1.572823779193206,250,265,15,0.6318237791932061,False,>6m,0.941
GRMOVER,0.115,0.2073380073701805,43,137,94,0.09233800737018048,True,2-3m,0.115
GRSE,-0.14400000000000002,0.0,0,106,106,0.0,True,<1m,-0.14400000000000002
GRSE,-0.28300000000000003,0.1752221981357034,4,79,75,0.4582221981357034,True,<1m,-0.28300000000000003
GRSE,-0.098,0.19587402611653681,26,83,57,0.2938740261165368,True,1-2m,-0.098
GRWRHITECH,-0.171,0.3072022913014494,32,59,27,0.4782022913014494,False,1-2m,0.1536011456507247
GVT&D,0.271,0.7059748427672956,93,136,43,0.4349748427672956,False,3-6m,0.3529874213836478
GVT&D,-0.038,0.10761063183262887,62,111,49,0.14561063183262887,True,2-3m,-0.038
GVT&D,-0.14300000000000002,0.0,0,16,16,0.0,False,<1m,-0.14300000000000002
HAL,-0.033,0.06668529384371791,4,16,12,0.09968529384371791,False,<1m,-0.033
HAPPSTMNDS,-0.046,0.004373668274083364,6,12,6,0.050373668274083364,False,<1m,-0.046
HARIOMPIPE,0.193,0.3799883765982177,136,161,25,0.1869883765982177,False,>6m,0.193
HBLENGINE,-0.066,0.31703224259858565,25,73,48,0.38303224259858565,True,1-2m,0.15851612129929282
HBLPOWER,-0.135,0.11615245009074404,16,59,43,0.25115245009074405,True,<1m,-0.135
HBLPOWER,0.622,1.1644185198687569,109,187,78,0.5424185198687569,True,3-6m,0.622
HBLPOWER,-0.18899999999999997,0.009448818897637823,12,33,21,0.1984488188976378,False,<1m,-0.18899999999999997
HFCL,-0.035,0.032098765432098775,3,11,8,0.06709876543209878,False,<1m,-0.035
HFCL,0.084,0.44669669669669676,136,160,24,0.36269669669669674,True,>6m,0.22334834834834838
HGINFRA,-0.239,0.04751146255565164,4,42,38,0.28651146255565163,False,<1m,-0.239
HIKAL,-0.213,0.13783437449943947,9,54,45,0.35083437449943944,False,<1m,-0.213
HINDCOPPER,-0.055999999999999994,0.4542236678465512,18,116,98,0.5102236678465513,False,<1m,0.2271118339232756
HINDCOPPER,-0.245,0.01967045599693451,13,65,52,0.2646704559969345,False,<1m,-0.245
HINDCOPPER,-0.162,0.20216147488874747,45,111,66,0.3641614748887475,True,2-3m,0.10108073744437374
HITECH,-0.22,0.0,0,38,38,0.0,True,<1m,-0.22
HPL,1.163,2.0964548802946594,225,271,46,0.9334548802946594,True,>6m,1.163
HSCL,0.05,0.4645728173490373,31,72,41,0.41457281734903734,True,1-2m,0.23228640867451866
HSCL,-0.064,0.0,0,12,12,0.0,True,<1m,-0.064
HSCL,-0.131,0.10653628409675742,3,56,53,0.23753628409675742,True,<1m,-0.131
HUDCO,0.287,0.7602880658436213,88,131,43,0.4732880658436213,False,3-6m,0.38014403292181065
IEX,-0.12300000000000001,0.21343911042686337,7,53,46,0.33643911042686336,False,<1m,0.10671955521343168
IFBIND,-0.287,0.030594277329420327,3,55,52,0.3175942773294203,True,<1m,-0.287
IFCI,-0.044000000000000004,0.4062801932367148,122,174,52,0.4502801932367148,True,3-6m,0.2031400966183574
IIFLSEC,0.325,1.1843062106918238,46,104,58,0.8593062106918239,True,2-3m,0.5921531053459119
IMFA,0.011000000000000001,0.2579099482811076,15,55,40,0.24690994828110757,False,<1m,0.1289549741405538
IMFA,-0.207,0.003285944206008473,1,50,49,0.21028594420600846,False,<1m,-0.207
INDIAGLYCO,-0.07200000000000001,0.13995451690575678,97,133,36,0.21195451690575678,True,3-6m,-0.07200000000000001
INOXGREEN,-0.32299999999999995,0.0,0,48,48,0.0,True,<1m,-0.32299999999999995
INOXGREEN,-0.174,0.12595614482406936,9,39,30,0.29995614482406935,True,<1m,-0.174
INOXWIND,0.44799999999999995,0.9402299544409436,180,223,43,0.49222995444094364,True,>6m,0.4701149772204718
IONEXCHANG,0.488,0.9300754984074557,157,225,68,0.44207549840745575,False,>6m,0.488
IRCON,0.701,1.3036935704514367,193,231,38,0.6026935704514368,True,>6m,0.701
IRFC,1.156,1.838511749347259,193,235,42,0.682511749347259,True,>6m,1.156
ITDCEM,-0.14,0.028852531505637824,1,118,117,0.16885253150563784,True,<1m,-0.14
ITDCEM,2.037,2.922468835512314,334,368,34,0.8854688355123139,True,>6m,2.037
ITI,-0.059000000000000004,0.40624412262554066,52,93,41,0.46524412262554066,True,2-3m,0.20312206131277033
IXIGO,0.01,0.4549908941115255,51,86,35,0.4449908941115255,True,2-3m,0.22749544705576275
J&KBANK,1.265,1.599471830985916,273,349,76,0.33447183098591604,True,>6m,1.265
JAIBALAJI,0.565,1.300950843200574,83,144,61,0.7359508432005741,True,3-6m,0.650475421600287
JAYNECOIND,-0.24100000000000002,0.0,0,54,54,0.0,False,<1m,-0.24100000000000002
JAYNECOIND,0.061,0.3386816999132696,64,108,44,0.2776816999132696,True,3-6m,0.1693408499566348
JBMA,0.369,0.7106586224233284,158,271,113,0.34165862242332845,True,>6m,0.369
JBMA,-0.048,0.31951466127401407,14,88,74,0.36751466127401405,False,<1m,0.15975733063700703
JINDALSAW,0.643,1.1828699005480008,172,197,25,0.5398699005480008,True,>6m,0.643
JINDWORLD,-0.188,0.2890718819694631,31,59,28,0.4770718819694631,False,1-2m,0.14453594098473155
JISLJALEQS,-0.154,0.24444444444444446,26,49,23,0.3984444444444445,True,1-2m,0.12222222222222223
JKIL,-0.292,0.0,0,51,51,0.0,False,<1m,-0.292
JKPAPER,0.131,0.33368138424821003,52,142,90,0.20268138424821003,False,2-3m,0.16684069212410502
JKTYRE,-0.138,0.2114960945323452,8,26,18,0.3494960945323452,False,<1m,0.1057480472661726
JPASSOCIAT,0.228,1.1597222222222223,91,135,44,0.9317222222222223,True,3-6m,0.5798611111111112
JSL,1.59,2.1812631177256248,351,373,22,0.5912631177256247,True,>6m,1.59
JSL,-0.095,0.015876953609526012,9,18,9,0.11087695360952601,False,<1m,-0.095
JSL,0.15,0.3730684326710816,129,143,14,0.2230684326710816,True,>6m,0.1865342163355408
JSLHISAR,-0.125,0.021775117789379905,1,20,19,0.1467751177893799,False,<1m,-0.125
JSWENERGY,0.24100000000000002,0.637782340862423,50,150,100,0.39678234086242303,True,2-3m,0.3188911704312115
JUBLFOOD,-0.066,0.029573540967211764,1,16,15,0.09557354096721177,False,<1m,-0.066
JUBLFOOD,-0.094,0.0,0,9,9,0.0,False,<1m,-0.094
JUBLPHARMA,-0.193,0.07886866615397747,22,70,48,0.2718686661539775,True,1-2m,-0.193
JWL,0.35600000000000004,0.9170168067226889,65,125,60,0.5610168067226888,False,3-6m,0.45850840336134446
JWL,0.784,1.3107251171767302,139,176,37,0.5267251171767302,True,>6m,0.784
KALYANKJIL,1.328,2.209368635437882,331,338,7,0.8813686354378818,True,>6m,1.328
KAMDHENU,-0.203,0.0,0,74,74,0.0,True,<1m,-0.203
KARURVYSYA,0.534,0.812432154005365,267,315,48,0.2784321540053649,True,>6m,0.534
KARURVYSYA,-0.05,0.1438592481203007,33,107,74,0.1938592481203007,True,1-2m,-0.05
KAYNES,-0.271,0.0,0,16,16,0.0,False,<1m,-0.271
KAYNES,0.032,0.32059971246662555,66,88,22,0.2885997124666255,True,3-6m,0.16029985623331278
KELLTONTEC,-0.11900000000000001,0.13150867823765022,5,52,47,0.2505086782376502,True,<1m,-0.11900000000000001
KFINTECH,-0.302,0.0,0,25,25,0.0,False,<1m,-0.302
KIMS,0.031,0.19789058350405941,59,133,74,0.16689058350405941,False,2-3m,0.031
KIMS,-0.09300000000000001,0.0,0,5,5,0.0,False,<1m,-0.09300000000000001
KIMS,-0.121,0.05987199222231232,4,13,9,0.18087199222231232,False,<1m,-0.121
KIRIINDUS,-0.055,0.17736185383244196,77,88,11,0.23236185383244196,False,3-6m,-0.055
KIRLFER,0.092,0.22199146186685104,102,133,31,0.12999146186685104,False,3-6m,0.11099573093342552
KIRLOSBROS,-0.243,0.2285673832503481,8,59,51,0.4715673832503481,False,<1m,0.11428369162517404
KIRLOSENG,2.335,3.2155377302436126,391,458,67,0.8805377302436126,True,>6m,2.335
KITEX,-0.135,0.4200230588656546,28,80,52,0.5550230588656546,False,1-2m,0.2100115294328273
KITEX,-0.05,0.30645856482488365,29,73,44,0.35645856482488364,False,1-2m,0.15322928241244183
KKCL,0.044000000000000004,0.314788566028821,74,106,32,0.270788566028821,True,3-6m,0.1573942830144105
KOPRAN,-0.155,0.09051909051909046,22,83,61,0.24551909051909046,True,1-2m,-0.155
KPIGREEN,4.28,5.617947237708569,319,332,13,1.337947237708569,False,>6m,4.28
KPIGREEN,0.261,0.4239477233677533,130,154,24,0.16294772336775332,False,>6m,0.261
KPITTECH,0.7659999999999999,1.5187499999999998,110,190,80,0.7527499999999999,True,3-6m,0.7659999999999999
KPRMILL,0.11599999999999999,0.48571987480438183,33,109,76,0.36971987480438184,False,1-2m,0.24285993740219092
KTKBANK,-0.08900000000000001,0.1296073717948718,76,103,27,0.21860737179487183,True,3-6m,-0.08900000000000001
KTKBANK,-0.133,0.10505050505050506,8,96,88,0.23805050505050507,True,<1m,-0.133
LAURUSLABS,0.638,0.8947280053727333,230,277,47,0.2567280053727333,False,>6m,0.638
LIBERTSHOE,-0.341,0.0,0,41,41,0.0,True,<1m,-0.341
LINDEINDIA,0.001,0.13745460165365886,23,59,36,0.13645460165365886,False,1-2m,0.001
LLOYDSME,0.026000000000000002,0.24439049222696485,60,101,41,0.21839049222696486,False,2-3m,0.12219524611348243
LLOYDSME,-0.193,0.0,0,20,20,0.0,False,<1m,-0.193
LSIL,1.0270000000000001,1.7407583111338178,260,277,17,0.7137583111338177,True,>6m,1.0270000000000001
LTF,-0.128,0.03606663431990964,24,68,44,0.16406663431990964,True,1-2m,-0.128
LUMAXTECH,0.402,0.7235332524951033,143,193,50,0.32153325249510323,True,>6m,0.402
MAGMA,0.311,0.6816608996539795,94,139,45,0.37066089965397947,False,3-6m,0.34083044982698973
MAHINDCIE,0.12,0.37191011235955074,108,178,70,0.25191011235955074,True,3-6m,0.18595505617977537
MAHLIFE,0.013000000000000001,0.3020141329581907,48,73,25,0.2890141329581907,False,2-3m,0.15100706647909534
MAHSEAMLES,-0.12300000000000001,0.06309904153354617,2,104,102,0.18609904153354617,True,<1m,-0.12300000000000001
MAHSEAMLES,0.131,0.37844235776848434,72,114,42,0.24744235776848433,False,3-6m,0.18922117888424217
MANALIPETC,0.313,0.6765067650676508,107,199,92,0.36350676506765084,False,3-6m,0.3382533825338254
MANAPPURAM,-0.043,0.11716430941155909,66,83,17,0.16016430941155907,True,3-6m,-0.043
MANINDS,0.516,0.920459378987665,65,148,83,0.40445937898766493,True,3-6m,0.516
MANINFRA,0.35,0.7585499316005475,68,145,77,0.40854993160054753,False,3-6m,0.37927496580027376
MARKSANS,-0.135,0.21172638436482094,19,49,30,0.34672638436482095,False,<1m,0.10586319218241047
MAWANASUG,-0.309,0.0,0,30,30,0.0,False,<1m,-0.309
MAXHEALTH,-0.069,0.17808219178082196,83,109,26,0.24708219178082197,False,3-6m,-0.069
MAZDOCK,-0.204,0.015984635839858097,1,42,41,0.21998463583985808,True,<1m,-0.204
MAZDOCK,-0.092,0.0,0,2,2,0.0,False,<1m,-0.092
MAZDOCK,0.17,0.7633994351669942,27,114,87,0.5933994351669941,False,1-2m,0.3816997175834971
MAZDOCK,0.607,0.853308509813048,136,162,26,0.24630850981304797,True,>6m,0.607
MAZDOCK,0.049,0.43237737031813195,22,95,73,0.38337737031813196,True,1-2m,0.21618868515906597
