sym,ret,mfe,peak_day,hold,days_after_peak,giveback,imp,pk_bucket,lk
3IINFOTECH,0.015,0.41025641025641035,53,92,39,0.39525641025641034,False,2-3m,0.20512820512820518
63MOONS,-0.158,0.009000809061488813,10,41,31,0.16700080906148881,True,<1m,-0.158
63MOONS,-0.289,0.0,0,78,78,0.0,False,<1m,-0.289
AARTIPHARM,-0.09,0.12379891380030639,21,24,3,0.21379891380030638,False,<1m,-0.09
ABCAPITAL,0.11699999999999999,0.29994643813604704,68,133,65,0.18294643813604705,True,3-6m,0.14997321906802352
ABDL,-0.179,0.009390801830002182,3,27,24,0.18839080183000217,True,<1m,-0.179
ACE,2.12,2.8952473326867123,246,332,86,0.7752473326867122,False,>6m,2.12
ACE,-0.14400000000000002,0.08884540117416817,28,76,48,0.2328454011741682,True,1-2m,-0.14400000000000002
ADANIENT,-0.134,0.31926011200686655,53,81,28,0.45326011200686656,True,2-3m,0.15963005600343327
ADANIENT,-0.051,0.10895877759476846,33,61,28,0.15995877759476845,False,1-2m,-0.051
ADANIENT,0.662,0.9975925375204493,63,164,101,0.33559253752044926,True,2-3m,0.662
ADANIGREEN,-0.10800000000000001,0.03475413165443886,61,85,24,0.14275413165443887,False,2-3m,-0.10800000000000001
ADANIGREEN,-0.342,0.015704771494691627,3,22,19,0.35770477149469165,False,<1m,-0.342
ADANIPOWER,0.24100000000000002,0.6712852365026278,104,166,62,0.43028523650262784,True,3-6m,0.3356426182513139
ADANIPOWER,0.171,0.5427144640627786,77,143,66,0.3717144640627785,False,3-6m,0.2713572320313893
ADANITRANS,0.182,0.7101201757857245,51,97,46,0.5281201757857246,False,2-3m,0.35506008789286225
ADANITRANS,0.264,0.6970956857073995,167,181,14,0.43309568570739954,False,>6m,0.3485478428536998
ADANITRANS,-0.132,0.5033771106941838,28,60,32,0.6353771106941838,False,1-2m,0.2516885553470919
AEGISCHEM,-0.07200000000000001,0.1143442622950821,33,61,28,0.1863442622950821,False,1-2m,-0.07200000000000001
AFFLE,-0.132,0.12214746285393896,3,75,72,0.25414746285393897,True,<1m,-0.132
AGI,0.33299999999999996,0.8158611300204219,92,161,69,0.48286113002042197,True,3-6m,0.40793056501021097
AGIIL,0.092,0.45160173160173156,29,77,48,0.3596017316017316,False,1-2m,0.22580086580086578
AIIL,0.053,0.32382442625581764,70,99,29,0.27082442625581765,True,3-6m,0.16191221312790882
AMBER,-0.113,0.08328039639181806,58,66,8,0.19628039639181805,True,2-3m,-0.113
AMBER,-0.127,0.016934247152793347,1,19,18,0.14393424715279335,False,<1m,-0.127
AMIORG,-0.079,0.08552536419051537,3,87,84,0.1645253641905154,False,<1m,-0.079
