family,params,backstop,n,win,avgw,avgl,exp,alpha,medhold,meanhold,keep,n21,win21,exp21,openpct,2006-12,2013-19,2020-26,E1,E2,E3,E4,E5,E15,E6,ann
X2,A=15 m=5,True,1828,43.2,47.4,-14.5,12.25,8.1,70,85,27.6,485,44.7,12.01,2.4,6.86,11.77,17.97,False,False,False,False,False,False,False,40.86002660904802
X4,Y=5 N=42,False,1828,47.8,38.7,-12.7,11.83,8.0,43,71,23.9,490,45.3,7.28,2.2,7.29,11.9,16.15,False,False,False,True,False,False,False,48.71263107708204
X4,Y=5 N=42,True,1828,47.8,38.7,-12.7,11.83,8.0,43,71,23.9,490,45.3,7.28,2.2,7.29,11.9,16.15,False,False,False,True,False,False,False,48.71263107708204
X6,R=100,False,1828,37.0,44.1,-8.7,10.83,6.3,22,70,38.4,490,36.1,7.2,3.0,14.65,9.52,8.46,False,True,False,True,False,False,False,44.79927908814414
X5,—,False,1828,37.0,44.0,-8.7,10.82,6.28,22,70,38.4,490,36.1,7.2,3.0,14.58,9.58,8.46,False,True,False,True,False,False,False,44.7522506424608
X6,R=50,False,1828,37.4,42.9,-8.7,10.61,6.2,21,69,39.3,490,36.9,7.14,3.0,14.61,8.97,8.41,False,True,False,True,False,False,False,44.52558541062985
X4,Y=10 N=42,False,1828,49.9,34.0,-13.1,10.4,6.97,43,63,32.6,495,47.3,5.23,1.8,6.85,10.81,13.43,False,False,False,True,False,False,False,48.55124418560004
X4,Y=10 N=42,True,1828,49.9,34.0,-13.1,10.4,6.97,43,63,32.6,495,47.3,5.23,1.8,6.85,10.81,13.43,False,False,False,True,False,False,False,48.55124418560004
X1,A=15 k=50,True,1828,55.2,31.8,-16.0,10.35,6.99,50,66,43.2,495,57.4,9.44,1.9,7.36,8.72,14.93,False,True,False,True,False,False,False,45.65069502259844
X1,A=25 k=65,True,1828,47.2,36.1,-15.6,8.8,5.57,57,68,54.3,492,49.0,8.86,2.1,7.34,6.39,12.7,False,True,False,True,False,False,False,36.691773076397524
X2,A=25 m=3,True,1828,46.2,36.2,-15.4,8.46,5.25,63,70,44.6,491,48.5,9.38,2.1,6.75,6.76,11.87,False,True,False,True,False,False,False,33.95858774639508
X3,N=63,False,1828,46.9,33.7,-14.6,8.11,5.05,64,63,43.3,493,46.5,7.97,1.9,6.55,7.32,10.44,False,True,False,True,False,False,False,36.60401666153839
