symbol,entry_date,exit_date_x0,ret_x0,hold_x0,why_x0,peak_gain_x0,closed_x0,exit_date_win,ret_win,hold_win,why_win,peak_gain_win,closed_win,exit_date_winbs,ret_winbs,hold_winbs,why_winbs,peak_gain_winbs,closed_winbs,d_ret_win,d_ret_winbs,kept_x0,kept_win
ADANIENT,2021-03-01,2021-10-29,0.6619917756635829,164,ma150,1.0032213859845847,True,2023-02-02,1.2795070385073104,478,ratchet,3.9055046072222286,True,2021-10-29,0.6619917756635829,164,ma150_backstop,1.0032213859845847,True,0.6175152628437275,0.0,0.6598660922822024,0.3276163177841835
SAREGAMA,2021-03-31,2022-02-08,1.545947421878203,213,ma150,2.374442146506263,True,2023-01-24,1.0964107720967404,452,ratchet,2.374442146506263,True,2022-02-08,1.545947421878203,213,ma150_backstop,2.374442146506263,True,-0.44953664978146257,0.0,0.6510781592016882,0.4617551005443495
PRINCEPIPE,2021-04-01,2021-12-20,0.6095528682635896,177,ma150,1.0085144461910636,True,2022-02-25,0.4840676438304512,225,ratchet,1.0085144461910636,True,2021-12-20,0.6095528682635896,177,ma150_backstop,1.0085144461910636,True,-0.12548522443313836,0.0,0.6044066801082881,0.4799808725186514
3IINFOTECH,2021-04-01,2021-08-16,0.015161983724857997,92,ma150,0.4074415272020062,True,2021-07-19,0.1715863145503862,73,ratchet,0.4074415272020062,True,2021-07-19,0.1715863145503862,73,ratchet,0.4074415272020062,True,0.1564243308255282,0.1564243308255282,0.037212661725913886,0.42113113930410706
SUVENPHAR,2021-04-01,2021-06-28,-0.044061883846906014,58,ma150,0.11082976440134584,True,2022-05-11,0.06995395472317445,273,ratchet,0.25876476905572554,True,2021-06-28,-0.044061883846906014,58,ma150_backstop,0.11082976440134584,True,0.11401583857008046,0.0,-0.39756363360428615,0.27033801772338534
APLAPOLLO,2021-04-01,2021-10-26,0.1452553324270145,140,ma150,0.39136488307592865,True,2021-08-24,0.09701294011905115,97,ratchet,0.3092930539638832,True,2021-08-24,0.09701294011905115,97,ratchet,0.3092930539638832,True,-0.048242392307963344,-0.048242392307963344,0.3711506543085357,0.3136602612821029
MAGMA,2021-04-01,2021-10-25,0.3105541562377889,139,ma150,0.7108639863130881,True,2021-10-21,0.34491818831472854,137,ratchet,0.7108639863130881,True,2021-10-21,0.34491818831472854,137,ratchet,0.7108639863130881,True,0.03436403207693961,0.03436403207693961,0.4368686024572506,0.4852098220696963
SURYAROSNI,2021-05-03,2021-11-29,0.35883658479422076,143,ma150,0.9553885234099071,True,2021-08-26,0.16904400137690745,80,ratchet,0.3604057422531364,True,2021-08-26,0.16904400137690745,80,ratchet,0.3604057422531364,True,-0.1897925834173133,-0.1897925834173133,0.3755923124484329,0.46903803563200963
GREENPANEL,2021-05-03,2022-05-26,0.9413661120290904,265,ma150,1.570553669217174,True,2022-09-27,0.7467055367982351,350,ratchet,1.570553669217174,True,2022-05-26,0.9413661120290904,265,ma150_backstop,1.570553669217174,True,-0.19466057523085523,0.0,0.5993848732965009,0.4754409552717945
ADANITRANS,2021-05-03,2021-07-28,-0.13211119447622133,60,ma150,0.52396493340142,True,2021-06-18,0.1769407350140122,33,ratchet,0.52396493340142,True,2021-06-18,0.1769407350140122,33,ratchet,0.52396493340142,True,0.3090519294902335,0.3090519294902335,-0.25213747343471227,0.3376957573579726
MANALIPETC,2021-05-03,2022-02-16,0.3128776439704031,199,ma150,0.681433178143096,True,2021-12-21,0.31503217298406927,159,ratchet,0.681433178143096,True,2021-12-21,0.31503217298406927,159,ratchet,0.681433178143096,True,0.0021545290136661954,0.0021545290136661954,0.4591464783428861,0.4623082395878218
PRAJIND,2021-06-01,2021-10-26,-0.04540310060881825,101,ma150,0.20008991637551143,True,2022-02-15,0.05850039216040659,178,ratchet,0.31952657597463063,True,2021-10-26,-0.04540310060881825,101,ma150_backstop,0.20008991637551143,True,0.10390349276922484,0.0,-0.226913486852629,0.18308459001247937
