symbol,shares,avg_cost,entry_date,entry_rank,holding_days,last_price,pnl_pct,notional,contribution_pct
NETWEB,140.28790360057386,2886.9123,2025-09-05,7,147,3144.7,0.08929530003388053,441163.3704527246,0.041362818064575355
LTF,1590.9976364994552,254.21240999999998,2025-10-01,8,121,286.35,0.1264202247246704,455582.173211619,0.04271470345481779
ATHERENERG,610.0876402873706,645.1001249999999,2025-11-07,1,84,621.25,-0.03697119885072098,379016.946528529,0.035536062267731754
MUTHOOTFIN,110.9226607923851,3685.0053000000003,2025-11-14,22,77,3829.6,0.03923866812348953,424789.421770518,0.03982762111554991
NATIONALUM,1510.9843262476027,262.23592499999995,2025-11-28,21,63,385.45,0.4698596311699095,582408.9085521385,0.05460578855154866
HINDCOPPER,1089.7363676031885,366.99502500000006,2025-12-05,8,56,685.9,0.868962665093348,747450.1745390269,0.070079810910108
ASHOKLEY,2340.982756188587,162.77991,2025-12-12,19,49,196.69,0.20831864325272087,460447.8983147331,0.04317090656611828
SHRIRAMFIN,498.09696101779576,885.44235,2025-12-19,18,42,1020.0,0.1519665848375109,508058.90023815166,0.04763484292694891
HINDZINC,749.2651834665088,588.6249,2025-12-19,19,42,628.5,0.06774280191001081,470913.16780870076,0.04415211458806153
JKTYRE,765.526665152957,511.79654999999997,2025-12-24,13,37,519.7,0.015442562088392453,397844.2078799918,0.03730127814486953
VEDL,686.5417349644866,608.84025,2026-01-09,16,21,681.55,0.11942336269653664,467912.5194650458,0.0438707782853966
MCX,172.78084581768897,2367.225,2026-01-14,7,16,2528.0,0.06791707590110785,436789.97822711774,0.04095277534782132
HINDALCO,430.5738226779781,949.9210499999999,2026-01-14,10,16,962.6,0.013347372394790114,414470.36170982174,0.03886012147148383
BANKINDIA,2719.123023210033,150.42023999999998,2026-01-14,17,16,164.1,0.0909436123755687,446208.08810876636,0.04183580325004049
INDIANB,491.09089057301503,832.8624,2026-01-14,18,16,911.7,0.09465861347564752,447727.56493541785,0.04197826712565561
FEDERALBNK,1378.5778614269038,281.59957499999996,2026-01-23,15,7,287.75,0.02184103083252187,396685.7796255916,0.03719266564361303
CANBK,2519.023265101435,154.110105,2026-01-23,17,7,147.42,-0.04341120265929366,371354.4097412535,0.03481763427422009
M&MFIN,1069.4788329754344,362.987025,2026-01-23,18,7,375.55,0.03460998364886447,401642.7757239244,0.03765742618697306
AUBANK,393.4019503269753,986.7946499999999,2026-01-23,23,7,982.35,-0.00450412859453575,386458.4059037042,0.03623376237360054
GMDCLTD,672.303844894572,591.2301,2026-01-30,12,0,577.75,-0.022800090861409106,388423.54638783896,0.036418011007464196
KARURVYSYA,1314.2053459666793,302.4537,2026-01-30,14,0,301.4,-0.003483839014037704,396101.4912743571,0.03713788364132539
UNIONBANK,2211.5899184927366,179.72874000000002,2026-01-30,21,0,180.76,0.005737869191092981,399766.99366674706,0.0374815556656281
ECLERX,84.82415482878604,4686.003299999999,2026-01-30,22,0,4651.2,-0.007427075435478159,394534.1089396496,0.036990928216894745
GVT&D,125.04701047489779,3178.6947000000005,2026-01-30,23,0,3230.3,0.01623474566462768,403939.35793706233,0.037872750301835276
