symbol,rows,status,first,last,calendar_days,max_gap_days
NEOGEN,1154,OK,2019-05-08,2023-12-29,1696,5
NESCO,3673,OK,2009-03-05,2023-12-29,5412,6
NESTLEIND,3468,OK,2010-01-08,2023-12-29,5103,6
NETWEB,106,OK,2023-07-27,2023-12-29,155,4
NETWORK18,3673,OK,2009-03-05,2023-12-29,5412,6
NEULANDLAB,3652,OK,2009-03-05,2023-12-29,5412,6
NEWGEN,1466,OK,2018-01-29,2023-12-29,2160,5
NFL,3673,OK,2009-03-05,2023-12-29,5412,6
NHPC,3553,OK,2009-09-01,2023-12-29,5232,6
NH,1977,OK,2016-01-06,2023-12-29,2914,5
NIACL,1519,OK,2017-11-13,2023-12-29,2237,5
NIVABUPA,0,EMPTY-marker,,,0,0
NLCINDIA,3673,OK,2009-03-05,2023-12-29,5412,6
NMDC,3673,OK,2009-03-05,2023-12-29,5412,6
NSLNISP,212,OK,2023-02-20,2023-12-29,312,4
NTPCGREEN,0,EMPTY-marker,,,0,0
NTPC,3673,OK,2009-03-05,2023-12-29,5412,6
NUVAMA,65,OK,2023-09-26,2023-12-29,94,4
NUVOCO,585,OK,2021-08-23,2023-12-29,858,5
NYKAA,531,OK,2021-11-10,2023-12-29,779,5
OBEROIRLTY,3271,OK,2010-10-20,2023-12-29,4818,6
OFSS,3673,OK,2009-03-05,2023-12-29,5412,6
OIL,3534,OK,2009-09-30,2023-12-29,5203,6
OLAELEC,0,EMPTY-marker,,,0,0
OLECTRA,3667,OK,2009-03-05,2023-12-29,5412,6
ONESOURCE,0,EMPTY-marker,,,0,0
ONGC,3673,OK,2009-03-05,2023-12-29,5412,6
OPTIEMUS,1584,OK,2017-08-08,2023-12-29,2334,5
ORIENTCEM,2585,OK,2013-07-17,2023-12-29,3817,6
ORKLAINDIA,0,EMPTY-marker,,,0,0
OSWALPUMPS,0,EMPTY-marker,,,0,0
PAGEIND,3671,OK,2009-03-05,2023-12-29,5412,6
PARADEEP,396,OK,2022-05-27,2023-12-29,581,4
PARAS,557,OK,2021-10-01,2023-12-29,819,5
PARKHOSPS,0,EMPTY-marker,,,0,0
PATANJALI,975,OK,2020-01-27,2023-12-29,1432,5
PAYTM,525,OK,2021-11-18,2023-12-29,771,5
PCBL,3672,OK,2009-03-05,2023-12-29,5412,6
PCJEWELLER,2719,OK,2013-01-04,2023-12-29,4011,6
PERSISTENT,3410,OK,2010-04-06,2023-12-29,5015,6
PETRONET,3673,OK,2009-03-05,2023-12-29,5412,6
PFC,3673,OK,2009-03-05,2023-12-29,5412,6
PFIZER,3673,OK,2009-03-05,2023-12-29,5412,6
PFOCUS,3672,OK,2009-03-05,2023-12-29,5412,6
PGEL,3035,OK,2011-09-26,2023-12-29,4477,6
PGHH,3672,OK,2009-03-05,2023-12-29,5412,6
PGIL,3667,OK,2009-03-05,2023-12-29,5412,7
PHOENIXLTD,3673,OK,2009-03-05,2023-12-29,5412,6
PICCADIL,0,EMPTY-marker,,,0,0
PIDILITIND,3672,OK,2009-03-05,2023-12-29,5412,6
PIIND,3103,OK,2011-06-16,2023-12-29,4579,6
PINELABS,0,EMPTY-marker,,,0,0
PIRAMALFIN,0,EMPTY-marker,,,0,0
PNBHOUSING,1772,OK,2016-11-07,2023-12-29,2608,5
PNB,3673,OK,2009-03-05,2023-12-29,5412,6
PNCINFRA,2130,OK,2015-05-27,2023-12-29,3138,5
PNGJL,0,EMPTY-marker,,,0,0
POLICYBZR,528,OK,2021-11-15,2023-12-29,774,5
POLYCAB,1166,OK,2019-04-16,2023-12-29,1718,5
POLYMED,2986,OK,2011-12-09,2023-12-29,4403,6
POONAWALLA,3668,OK,2009-03-05,2023-12-29,5412,7
POWERGRID,3673,OK,2009-03-05,2023-12-29,5412,6
POWERINDIA,932,OK,2020-03-30,2023-12-29,1369,5
POWERMECH,2065,OK,2015-08-26,2023-12-29,3047,5
PPLPHARMA,297,OK,2022-10-19,2023-12-29,436,4
PRAJIND,3673,OK,2009-03-05,2023-12-29,5412,6
PREMIERENE,0,EMPTY-marker,,,0,0
PRESTIGE,3266,OK,2010-10-27,2023-12-29,4811,6
PRICOLLTD,1705,OK,2017-02-10,2023-12-29,2513,5
PRIVISCL,2142,OK,2015-05-11,2023-12-29,3154,5
PRSMJOHNSN,3672,OK,2009-03-05,2023-12-29,5412,6
PRUDENT,401,OK,2022-05-20,2023-12-29,588,4
PTCIL,139,OK,2023-06-09,2023-12-29,203,4
PTC,3648,OK,2009-03-05,2023-12-29,5412,38
PURVA,3673,OK,2009-03-05,2023-12-29,5412,6
PVRINOX,3673,OK,2009-03-05,2023-12-29,5412,6
PWL,0,EMPTY-marker,,,0,0
QPOWER,0,EMPTY-marker,,,0,0
QUESS,1851,OK,2016-07-12,2023-12-29,2726,5
RADICO,3673,OK,2009-03-05,2023-12-29,5412,6
RAILTEL,703,OK,2021-02-26,2023-12-29,1036,5
RAINBOW,409,OK,2022-05-10,2023-12-29,598,4
RAIN,3668,OK,2009-03-05,2023-12-29,5412,8
RALLIS,3673,OK,2009-03-05,2023-12-29,5412,6
RAMCOCEM,3672,OK,2009-03-05,2023-12-29,5412,6
RATEGAIN,505,OK,2021-12-17,2023-12-29,742,5
RATNAMANI,3671,OK,2009-03-05,2023-12-29,5412,6
RAYMONDLSL,0,EMPTY-marker,,,0,0
RBA,755,OK,2020-12-14,2023-12-29,1110,5
RBLBANK,1816,OK,2016-08-31,2023-12-29,2676,5
RCF,3673,OK,2009-03-05,2023-12-29,5412,6
RECLTD,3673,OK,2009-03-05,2023-12-29,5412,6
REDINGTON,3671,OK,2009-03-05,2023-12-29,5412,6
REDTAPE,95,OK,2023-08-11,2023-12-29,140,4
REFEX,3333,OK,2009-12-03,2023-12-29,5139,47
RELAXO,3102,OK,2011-06-20,2023-12-29,4575,6
RELIANCE,3673,OK,2009-03-05,2023-12-29,5412,6
RELIGARE,3673,OK,2009-03-05,2023-12-29,5412,6
RELINFRA,3673,OK,2009-03-05,2023-12-29,5412,6
RENUKA,3673,OK,2009-03-05,2023-12-29,5412,6
RHIM,2919,OK,2012-03-14,2023-12-29,4307,6
RITES,1361,OK,2018-07-02,2023-12-29,2006,5
RKFORGE,3615,OK,2009-03-09,2023-12-29,5408,7
ROUTE,813,OK,2020-09-21,2023-12-29,1194,5
RPOWER,3673,OK,2009-03-05,2023-12-29,5412,6
RRKABEL,69,OK,2023-09-20,2023-12-29,100,4
RTNINDIA,2794,OK,2012-07-31,2023-12-29,4168,8
RTNPOWER,3508,OK,2009-10-30,2023-12-29,5173,6
RUBICON,0,EMPTY-marker,,,0,0
RVNL,1169,OK,2019-04-11,2023-12-29,1723,5
SAATVIKGL,0,EMPTY-marker,,,0,0
SAFARI,1068,OK,2019-09-12,2023-12-29,1569,5
SAGILITY,0,EMPTY-marker,,,0,0
SAILIFE,0,EMPTY-marker,,,0,0
SAIL,3685,OK,2009-02-16,2023-12-29,5429,6
SAMHI,67,OK,2023-09-22,2023-12-29,98,4
SAMMAANCAP,0,EMPTY-marker,,,0,0
SANDUMA,77,OK,2023-09-07,2023-12-29,113,4
SANOFICONR,0,EMPTY-marker,,,0,0
SANSERA,562,OK,2021-09-24,2023-12-29,826,5
SAPPHIRE,525,OK,2021-11-18,2023-12-29,771,5
SARDAEN,3491,OK,2009-12-03,2023-12-29,5139,6
SAREGAMA,3673,OK,2009-03-05,2023-12-29,5412,6
SBFC,93,OK,2023-08-16,2023-12-29,135,4
SBICARD,942,OK,2020-03-16,2023-12-29,1383,5
SBILIFE,1547,OK,2017-10-03,2023-12-29,2278,5
SBIN,3673,OK,2009-03-05,2023-12-29,5412,6
SCHAEFFLER,3672,OK,2009-03-05,2023-12-29,5412,6
SCHNEIDER,2909,OK,2012-04-02,2023-12-29,4288,6
SCI,3673,OK,2009-03-05,2023-12-29,5412,6
SENCO,115,OK,2023-07-14,2023-12-29,168,4
SFL,1749,OK,2016-12-09,2023-12-29,2576,5
SHAILY,432,OK,2022-04-04,2023-12-29,634,5
SHAKTIPUMP,3012,OK,2011-10-31,2023-12-29,4442,6
SHARDACROP,2291,OK,2014-09-24,2023-12-29,3383,6
SHAREINDIA,813,OK,2020-09-21,2023-12-29,1194,5
SHILPAMED,3490,OK,2009-12-03,2023-12-29,5139,6
SHREECEM,3673,OK,2009-03-05,2023-12-29,5412,6
SHRIPISTON,1856,OK,2016-06-09,2023-12-29,2759,5
SHRIRAMFIN,3673,OK,2009-03-05,2023-12-29,5412,6
SHYAMMETL,625,OK,2021-06-24,2023-12-29,918,5
SIEMENS,3673,OK,2009-03-05,2023-12-29,5412,6
SIGNATURE,64,OK,2023-09-27,2023-12-29,93,4
SJVN,3379,OK,2010-05-20,2023-12-29,4971,6
SKFINDIA,3672,OK,2009-03-05,2023-12-29,5412,6
SKFINDUS,0,EMPTY-marker,,,0,0
SKIPPER,2129,OK,2015-05-28,2023-12-29,3137,5
SKYGOLD,242,OK,2023-01-06,2023-12-29,357,4
SMARTWORKS,0,EMPTY-marker,,,0,0
SMLMAH,0,EMPTY-marker,,,0,0
SOBHA,3673,OK,2009-03-05,2023-12-29,5412,6
SOLARINDS,3670,OK,2009-03-05,2023-12-29,5412,6
SONACOMS,625,OK,2021-06-24,2023-12-29,918,5
SONATSOFTW,3672,OK,2009-03-05,2023-12-29,5412,6
SOUTHBANK,3673,OK,2009-03-05,2023-12-29,5412,6
SPARC,3673,OK,2009-03-05,2023-12-29,5412,6
SPLPETRO,399,OK,2022-05-24,2023-12-29,584,4
SRF,3673,OK,2009-03-05,2023-12-29,5412,6
STARCEMENT,1620,OK,2017-06-16,2023-12-29,2387,5
STARHEALTH,510,OK,2021-12-10,2023-12-29,749,5
STAR,3672,OK,2009-03-05,2023-12-29,5412,6
STLTECH,3673,OK,2009-03-05,2023-12-29,5412,6
STYL,0,EMPTY-marker,,,0,0
STYRENIX,3668,OK,2009-03-05,2023-12-29,5412,6
SUBROS,3672,OK,2009-03-05,2023-12-29,5412,6
SUDARSCHEM,3621,OK,2009-03-05,2023-12-29,5412,7
SUDEEPPHRM,0,EMPTY-marker,,,0,0
SUMICHEM,975,OK,2020-01-27,2023-12-29,1432,5
SUNDARMFIN,3672,OK,2009-03-05,2023-12-29,5412,6
SUNDRMFAST,3673,OK,2009-03-05,2023-12-29,5412,6
SUNPHARMA,3673,OK,2009-03-05,2023-12-29,5412,6
SUNTECK,3505,OK,2009-11-13,2023-12-29,5159,6
SUNTV,3673,OK,2009-03-05,2023-12-29,5412,6
SUPREMEIND,3673,OK,2009-03-05,2023-12-29,5412,6
SUPRIYA,498,OK,2021-12-28,2023-12-29,731,5
SURYAROSNI,3672,OK,2009-03-05,2023-12-29,5412,6
SUZLON,3673,OK,2009-03-05,2023-12-29,5412,6
SWANCORP,0,EMPTY-marker,,,0,0
SWIGGY,0,EMPTY-marker,,,0,0
SWSOLAR,1083,OK,2019-08-20,2023-12-29,1592,5
SYNGENE,2076,OK,2015-08-11,2023-12-29,3062,5
SYRMA,333,OK,2022-08-26,2023-12-29,490,4
TANLA,3673,OK,2009-03-05,2023-12-29,5412,6
TARC,751,OK,2020-12-18,2023-12-29,1106,5
TARIL,0,EMPTY-marker,,,0,0
TATACAP,0,EMPTY-marker,,,0,0
TATACHEM,3673,OK,2009-03-05,2023-12-29,5412,6
TATACOMM,3673,OK,2009-03-05,2023-12-29,5412,6
TATACONSUM,3672,OK,2009-03-05,2023-12-29,5412,6
TATAELXSI,3673,OK,2009-03-05,2023-12-29,5412,6
TATAINVEST,3673,OK,2009-03-05,2023-12-29,5412,6
TATAPOWER,3673,OK,2009-03-05,2023-12-29,5412,6
TATASTEEL,3673,OK,2009-03-05,2023-12-29,5412,6
TATATECH,21,OK,2023-11-30,2023-12-29,29,4
TBOTEK,0,EMPTY-marker,,,0,0
TCS,3673,OK,2009-03-05,2023-12-29,5412,6
TDPOWERSYS,3040,OK,2011-09-12,2023-12-29,4491,6
TECHM,3673,OK,2009-03-05,2023-12-29,5412,6
TECHNOE,1258,OK,2018-12-04,2023-12-29,1851,5
TEGA,509,OK,2021-12-13,2023-12-29,746,5
TEJASNET,1614,OK,2017-06-27,2023-12-29,2376,5
TENNIND,0,EMPTY-marker,,,0,0
TEXRAIL,3179,OK,2011-03-03,2023-12-29,4684,6
THANGAMAYL,3434,OK,2010-02-19,2023-12-29,5061,6
THELEELA,0,EMPTY-marker,,,0,0
THERMAX,3673,OK,2009-03-05,2023-12-29,5412,6
THOMASCOOK,3673,OK,2009-03-05,2023-12-29,5412,6
THYROCARE,1896,OK,2016-05-09,2023-12-29,2790,5
TIINDIA,1526,OK,2017-11-02,2023-12-29,2248,5
TIMETECHNO,3673,OK,2009-03-05,2023-12-29,5412,6
TIMKEN,3672,OK,2009-03-05,2023-12-29,5412,6
TIPSMUSIC,0,EMPTY-marker,,,0,0
TITAGARH,3673,OK,2009-03-05,2023-12-29,5412,6
TITAN,3673,OK,2009-03-05,2023-12-29,5412,6
TI,3338,OK,2010-07-16,2023-12-29,4914,6
TMB,320,OK,2022-09-15,2023-12-29,470,4
TMCV,0,EMPTY-marker,,,0,0
TMPV,0,EMPTY-marker,,,0,0
TORNTPHARM,3672,OK,2009-03-05,2023-12-29,5412,6
TORNTPOWER,3673,OK,2009-03-05,2023-12-29,5412,6
TRANSRAILL,0,EMPTY-marker,,,0,0
TRAVELFOOD,0,EMPTY-marker,,,0,0
TRENT,3672,OK,2009-03-05,2023-12-29,5412,6
TRIDENT,3672,OK,2009-03-05,2023-12-29,5412,6
TRITURBINE,3015,OK,2011-10-31,2023-12-29,4442,6
TRIVENI,3673,OK,2009-03-05,2023-12-29,5412,6
TSFINV,0,EMPTY-marker,,,0,0
TTML,3673,OK,2009-03-05,2023-12-29,5412,6
TVSMOTOR,3673,OK,2009-03-05,2023-12-29,5412,6
TVSSCS,88,OK,2023-08-23,2023-12-29,128,4
UBL,3673,OK,2009-03-05,2023-12-29,5412,6
UCOBANK,3673,OK,2009-03-05,2023-12-29,5412,6
UJJIVANSFB,1007,OK,2019-12-12,2023-12-29,1478,5
ULTRACEMCO,3673,OK,2009-03-05,2023-12-29,5412,6
UNIONBANK,3673,OK,2009-03-05,2023-12-29,5412,6
UNITDSPR,0,EMPTY-marker,,,0,0
UNOMINDA,3653,OK,2009-03-05,2023-12-29,5412,6
UPL,3671,OK,2009-03-05,2023-12-29,5412,6
URBANCO,0,EMPTY-marker,,,0,0
USHAMART,3673,OK,2009-03-05,2023-12-29,5412,6
UTIAMC,799,OK,2020-10-12,2023-12-29,1173,5
UTLSOLAR,0,EMPTY-marker,,,0,0
V2RETAIL,3645,OK,2009-03-05,2023-12-29,5412,20
VAIBHAVGBL,3664,OK,2009-03-05,2023-12-29,5412,14
VARROC,1357,OK,2018-07-06,2023-12-29,2002,5
VBL,1771,OK,2016-11-08,2023-12-29,2607,5
VEDL,3664,OK,2009-03-05,2023-12-29,5412,13
VENTIVE,0,EMPTY-marker,,,0,0
VGUARD,3672,OK,2009-03-05,2023-12-29,5412,6
VIJAYA,570,OK,2021-09-14,2023-12-29,836,5
VIKRAMSOLR,0,EMPTY-marker,,,0,0
VIPIND,3672,OK,2009-03-05,2023-12-29,5412,6
VIYASH,0,EMPTY-marker,,,0,0
VMART,2679,OK,2013-02-27,2023-12-29,3957,6
VMM,0,EMPTY-marker,,,0,0
VOLTAMP,3673,OK,2009-03-05,2023-12-29,5412,6
VOLTAS,3673,OK,2009-03-05,2023-12-29,5412,6
VTL,3672,OK,2009-03-05,2023-12-29,5412,6
WAAREEENER,0,EMPTY-marker,,,0,0
WAAREERTL,0,EMPTY-marker,,,0,0
WABAG,3275,OK,2010-10-13,2023-12-29,4825,6
WAKEFIT,0,EMPTY-marker,,,0,0
WEBELSOLAR,3548,OK,2009-03-05,2023-12-29,5412,21
WELCORP,3673,OK,2009-03-05,2023-12-29,5412,6
WELENT,3669,OK,2009-03-05,2023-12-29,5412,6
WELSPUNLIV,3672,OK,2009-03-05,2023-12-29,5412,6
WESTLIFE,1083,OK,2019-08-20,2023-12-29,1592,5
WEWORK,0,EMPTY-marker,,,0,0
WHIRLPOOL,3468,OK,2010-01-08,2023-12-29,5103,6
WIPRO,3673,OK,2009-03-05,2023-12-29,5412,6
WOCKPHARMA,3673,OK,2009-03-05,2023-12-29,5412,6
YATHARTH,99,OK,2023-08-07,2023-12-29,144,4
YESBANK,3673,OK,2009-03-05,2023-12-29,5412,6
ZAGGLE,67,OK,2023-09-22,2023-12-29,98,4
ZEEL,3673,OK,2009-03-05,2023-12-29,5412,6
ZENSARTECH,3673,OK,2009-03-05,2023-12-29,5412,6
ZENTEC,2167,OK,2015-03-31,2023-12-29,3195,5
ZFCVINDIA,3670,OK,2009-03-06,2023-12-29,5411,6
ZYDUSLIFE,3672,OK,2009-03-05,2023-12-29,5412,6
ZYDUSWELL,3505,OK,2009-11-13,2023-12-29,5159,6
