symbol,status,merged_rows,kite_rows,gdf_rows_used,anchor_date,rescale_pct,boundary_pct,warn,gdf_rows
CMSINFO,gdf_only,,,,,,,,495.0
COALINDIA,stitched,3845.0,1579.0,2266.0,2023-12-29,-6.090425531914889,-0.5934593844094116,True,
COCHINSHIP,stitched,2166.0,1579.0,587.0,2023-12-29,0.004431510997537913,0.030318672012086267,False,
COFORGE,stitched,4258.0,1579.0,2679.0,2023-12-29,0.007968762451193712,-0.7940690069909051,False,
COHANCE,kite_only,,1531.0,,,,,,
COLPAL,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-0.12304327021670503,False,
CONCOR,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,0.19672131147541183,False,
CONCORDBIO,no_pre_history,,676.0,,,0.0,,,
COROMANDEL,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-0.6389776357827448,False,
CORONA,no_data,,,,,,,,
CPPLUS,no_data,,,,,,,,
CRAFTSMAN,no_pre_history,,1270.0,,,0.0,,,
CRAMC,no_data,,,,,,,,
CREDITACC,stitched,1910.0,1579.0,331.0,2023-12-29,0.0,-0.46226967901557003,False,
CRISIL,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,2.1099811281191094,False,
CRIZAC,no_data,,,,,,,,
CROMPTON,stitched,2477.0,1579.0,898.0,2023-12-29,0.0,1.1048572024181746,False,
CSBBANK,gdf_only,,,,,,,,1013.0
CUB,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-0.19234879247701508,False,
CUMMINSIND,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,0.23599891077425994,False,
CUPID,gdf_only,,,,,,,,1806.0
CYIENT,stitched,4254.0,1579.0,2675.0,2023-12-29,0.0,5.459419936631726,False,
DABUR,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,0.3054101221640515,False,
DALBHARAT,stitched,1809.0,1579.0,230.0,2023-12-29,0.0,0.5872797700862131,False,
DATAMATICS,gdf_only,,,,,,,,3657.0
DATAPATTNS,no_pre_history,,1085.0,,,0.0,,,
DBL,gdf_only,,,,,,,,1829.0
DBREALTY,stitched,4021.0,1579.0,2442.0,2023-12-29,0.0,-1.3698630136986134,False,
DCBBANK,gdf_only,,,,,,,,3667.0
DCMSHRIRAM,stitched,4256.0,1579.0,2677.0,2023-12-29,0.0,3.697138516080023,False,
DEEPAKFERT,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-0.462962962962965,False,
DEEPAKNTR,stitched,3777.0,1579.0,2198.0,2023-12-29,0.0,0.44224068614311385,False,
DELHIVERY,no_pre_history,,984.0,,,0.0,,,
DEVYANI,no_pre_history,,1174.0,,,0.0,,,
DIACABS,gdf_only,,,,,,,,68.0
DIVISLAB,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-1.4600715137067954,False,
DIXON,stitched,2142.0,1579.0,563.0,2023-12-29,0.0,-0.33690416655700606,False,
DLF,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-1.450844521437844,False,
DMART,stitched,2265.0,1579.0,686.0,2023-12-29,0.0,-0.5358065656702937,False,
DOMS,no_pre_history,,592.0,,,0.0,,,
DRREDDY,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,0.17394329448598977,False,
DUMMYALCAR,no_data,,,,,,,,
DUMMYVEDL1,no_data,,,,,,,,
DUMMYVEDL2,no_data,,,,,,,,
DUMMYVEDL3,no_data,,,,,,,,
DUMMYVEDL4,no_data,,,,,,,,
DYNAMATECH,gdf_only,,,,,,,,3587.0
ECLERX,stitched,4257.0,1579.0,2678.0,2023-12-29,100.0,12.202852614896976,True,
EDELWEISS,gdf_only,,,,,,,,3673.0
EICHERMOT,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-1.951117684419057,False,
EIDPARRY,stitched,4257.0,1579.0,2678.0,2023-12-29,0.0,3.3738526420243,False,
EIEL,no_data,,,,,,,,
EIHOTEL,stitched,4257.0,1579.0,2678.0,2023-12-29,0.0,0.6309148264984188,False,
ELECON,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-0.27247956403270157,False,
