index,status,hist_rows,kite_rows,merged_rows,hist_rows_used,anchor_date,rescale_pct,warn
NIFTY_ENERGY,stitched,,1579.0,3783.0,2204.0,2026-05-08,0.0,False
NIFTY_EV,hist_only,344.0,,,,,,
NIFTY_FINSEREXBNK,hist_only,344.0,,,,,,
NIFTY_FINSRV25_50,hist_only,1421.0,,,,,,
NIFTY_FIN_SERVICE,stitched,,1579.0,3516.0,1937.0,2026-05-08,0.0,False
NIFTY_FMCG,stitched,,1579.0,3556.0,1977.0,2026-05-08,0.0,False
NIFTY_FPI_150,hist_only,121.0,,,,,,
NIFTY_GROWSECT_15,hist_only,2578.0,,,,,,
NIFTY_GS_10YR,hist_only,2208.0,,,,,,
NIFTY_GS_10YR_CLN,hist_only,2208.0,,,,,,
NIFTY_GS_11_15YR,hist_only,2208.0,,,,,,
NIFTY_GS_15YRPLUS,hist_only,2208.0,,,,,,
NIFTY_GS_4_8YR,hist_only,2208.0,,,,,,
NIFTY_GS_8_13YR,hist_only,2208.0,,,,,,
NIFTY_GS_COMPSITE,hist_only,2208.0,,,,,,
NIFTY_HEALTHCARE,no_pre_history,,1567.0,,,,0.0,
NIFTY_HIGHBETA_50,hist_only,344.0,,,,,,
NIFTY_HOUSING,hist_only,344.0,,,,,,
NIFTY_INDIA_MFG,hist_only,1067.0,,,,,,
NIFTY_IND_DEFENCE,hist_only,367.0,,,,,,
NIFTY_IND_DIGITAL,hist_only,1067.0,,,,,,
NIFTY_IND_TOURISM,hist_only,367.0,,,,,,
NIFTY_INFRA,stitched,,1579.0,3802.0,2223.0,2026-05-08,0.0,False
NIFTY_INFRALOG,hist_only,121.0,,,,,,
NIFTY_INTERNET,hist_only,121.0,,,,,,
NIFTY_IPO,hist_only,344.0,,,,,,
NIFTY_IT,stitched,,1579.0,4053.0,2474.0,2026-05-08,0.0,False
NIFTY_LARGEMID250,no_pre_history,,1565.0,,,,0.0,
NIFTY_LOW_VOL_50,hist_only,344.0,,,,,,
