date,rank,symbol,score,score_6m,mom_6m,vol_6m
2020-07-09,1,ALKYLAMINE,4.100848568968948,4.100848568968948,1.1022105493543446,0.2
2020-07-09,2,LTFOODS,3.8193729443531295,3.8193729443531295,1.021978021978022,0.2
2020-07-09,3,GRANULES,3.318658527287263,3.318658527287263,0.879253112033195,0.2
2020-07-09,4,ADANIGREEN,3.259578397574153,3.259578397574153,0.8624127617148556,0.2
2020-07-09,5,ESCORTS,3.2506632403902374,3.2506632403902374,0.859871562654372,0.2
2020-07-09,6,AUROPHARMA,3.1561103093787803,3.1561103093787803,0.8329199549041713,0.2
2020-07-09,7,NAVINFLUOR,2.903654917524688,2.903654917524688,0.7609594284256187,0.2
2020-07-09,8,INDIACEM,2.6965407400505677,2.6965407400505677,0.7019230769230771,0.2
2020-07-09,9,TTML,2.650813572550596,2.650813572550596,0.6888888888888889,0.2
2020-07-09,10,IRB,2.5728525000916296,2.5728525000916296,0.6666666666666667,0.2
2020-07-09,11,APLLTD,2.5056838153764525,2.5056838153764525,0.647520734074466,0.2
2020-07-16,1,GRANULES,3.526514427228549,3.526514427228549,0.869912514263979,0.2
2020-07-16,2,ALKYLAMINE,3.349453775410323,3.349453775410323,0.8200521878763549,0.2
2020-07-16,3,AUROPHARMA,3.3389219002015387,3.3389219002015387,0.8170864090316978,0.2
2020-07-16,4,APLLTD,3.0484946317859407,3.0484946317859407,0.7353020134228188,0.2
2020-07-16,5,SUZLON,2.984891321236174,2.984891321236174,0.7173913043478264,0.2
2020-07-16,6,LTFOODS,2.9842585462846536,2.9842585462846536,0.7172131147540983,0.2
2020-07-16,7,ESCORTS,2.8440159509427505,2.8440159509427505,0.677720762809221,0.2
2020-07-16,8,ADANIGREEN,2.7886622374516237,2.7886622374516237,0.662133142448103,0.2
2020-07-16,9,TATACOMM,2.624594844502211,2.624594844502211,0.6159317211948792,0.2
2020-07-16,10,POLYMED,2.5273368786590713,2.5273368786590713,0.5885438522870332,0.2
2020-07-23,1,GRANULES,3.6002058281460676,3.6002058281460676,0.9065896739130435,0.2
2020-07-23,2,SUZLON,3.380204968693059,3.380204968693059,0.8444444444444446,0.2
2020-07-23,3,DIXON,3.289585859759191,3.289585859759191,0.8188466111771702,0.2
2020-07-23,4,ALKYLAMINE,3.2110432646837346,3.2110432646837346,0.7966601178781925,0.2
2020-07-23,5,LAURUSLABS,3.160058432144931,3.160058432144931,0.7822580645161292,0.2
2020-07-23,6,IDEA,3.1279773019340347,3.1279773019340347,0.7731958762886599,0.2
2020-07-23,7,LTFOODS,2.888117331677953,2.888117331677953,0.7054409005628519,0.2
2020-07-23,8,AUROPHARMA,2.8643478946338496,2.8643478946338496,0.6987265762501293,0.2
2020-07-23,9,MUTHOOTFIN,2.8218038770284837,2.8218038770284837,0.6867088607594936,0.2
2020-07-23,10,NAVINFLUOR,2.6561567333908296,2.6561567333908296,0.6399173174092787,0.2
2020-07-23,11,ESCORTS,2.6453589850208235,2.6453589850208235,0.6368671995512549,0.2
2020-07-23,12,ADANIGREEN,2.5759769884279993,2.5759769884279993,0.6172683665740974,0.2
2020-07-23,13,RPOWER,2.545628648708075,2.545628648708075,0.6086956521739133,0.2
2020-07-23,14,APLLTD,2.5347227108893873,2.5347227108893873,0.6056149732620322,0.2
2020-07-30,1,PATANJALI,19.58531775853398,19.58531775853398,38.63157894736842,0.2
2020-08-06,1,PATANJALI,19.400200565628246,19.400200565628246,31.77777777777778,0.2
2020-08-13,1,PATANJALI,19.138538450733083,19.138538450733083,23.197916666666668,0.2
