symbol,effective_from,effective_to,note
DRREDDY,2008-12-29,,Dr. Reddy's Laboratories Ltd. [current-list]
EICHERMOT,2015-02-02,,Eicher Motors Ltd. [current-list]
EMAMILTD,2016-04-01,2018-09-28,Emami Ltd. [current-list]
EMBDL,2009-10-22,2011-04-21,Indiabulls Real Estate Ltd. [manual-symbol]
ENRIN,2025-09-30,,Siemens Energy India Ltd. [press-release]
ESCORTS,2003-03-18,2004-03-01,Escorts Ltd. [survivor-rename]
ETERNAL,2022-03-31,,Zomato Ltd. [survivor-rename]
EXIDEIND,2010-10-07,2016-04-01,Exide Industries Ltd. [current-list]
FEDERALBNK,2009-10-22,2016-04-01,Federal Bank Ltd. [current-list]
FINCABLES,2003-03-18,2004-03-01,Finolex Cables Ltd. [current-list]
FSS,2005-01-03,2006-02-02,Flextronics Software Systems Ltd. [norm-exact]
GAIL,2003-05-02,,GAIL (India) Ltd. [current-list]
GESHIP,2003-03-18,2006-11-08,Great Eastern Shipping Co. Ltd. [current-list]
GICRE,2018-04-02,2021-03-31,General Insurance Corporation of India [press-release]
GILLETTE,2003-03-18,2003-04-02,Gillette India Ltd. [current-list]
GILLETTE,2004-03-01,2004-12-10,Gillette India Ltd. [current-list]
GLAND,2021-06-30,2023-03-31,Gland Pharma Ltd. [press-release]
GLAXO,2005-01-03,2008-03-14,Glaxo (India) Ltd. [namechange-master]
GLAXO,2009-03-27,2018-04-02,Glaxosmithkline Pharmaceuticals Ltd. [current-list]
GLENMARK,2009-01-12,2018-04-02,Glenmark Pharmaceuticals Ltd. [current-list]
GMRAIRPORT,2007-06-04,2013-04-01,GMR Infrastructure Ltd. [survivor-rename]
GODREJCP,2012-09-28,,Godrej Consumer Products Ltd. [current-list]
GRASIM,2003-03-18,2010-04-08,Grasim Industries Ltd. [current-list]
GRASIM,2010-10-01,2017-05-26,Grasim Industries Ltd. [current-list]
GRASIM,2018-04-02,,Grasim Industries Ltd. [current-list]
GSKCONS,2012-04-27,2018-04-02,GlaxoSmithkline Consumer Healthcare Ltd. [norm-exact]
GTL,2003-03-18,2004-03-01,GTL Ltd. [kite-dump]
HAL,2022-09-30,,Hindustan Aeronautics Ltd. [press-release]
HAVELLS,2016-11-15,2026-03-30,Havells India Ltd. [press-release]
HCLTECH,2003-03-18,,HCL Technologies Ltd. [current-list]
HDFC,2003-03-18,2023-07-13,Housing Development Finance Corporation Ltd. [press-release]
HDFCAMC,2019-03-29,2023-09-29,HDFC Asset Management Company Ltd. [press-release]
HDFCAMC,2026-03-30,,HDFC Asset Management Company Ltd. [press-release]
HDFCBANK,2003-03-18,,HDFC Bank Ltd. [current-list]
HDFCLIFE,2018-09-28,,HDFC Standard Life Insurance Company Ltd. [survivor-rename]
HDIL,2008-06-23,2012-04-27,Housing Development and Infrastructure Ltd. [backfill-map]
HEROMOTOCO,2003-03-18,2025-09-30,Hero Honda Motors Limited [survivor-rename]
HINDALCO,2003-03-18,,Hindalco Industries Ltd. [current-list]
HINDPETRO,2003-03-18,2007-12-12,Hindustan Petroleum Corporation Ltd. [current-list]
HINDPETRO,2009-06-17,2022-03-31,Hindustan Petroleum Corporation Ltd. [press-release]
HINDUNILVR,2003-03-18,,Hindustan Unilever Ltd. [current-list]
HINDZINC,2003-03-18,2003-04-01,Hindustan Zinc Ltd. [current-list]
HINDZINC,2016-04-01,2021-03-31,Hindustan Zinc Ltd. [press-release]
HINDZINC,2025-09-30,,Hindustan Zinc Ltd. [press-release]
HYUNDAI,2025-03-28,,Hyundai Motor India Ltd. [press-release]
IBP,2005-01-03,2007-06-01,IBP Co. Ltd. [norm-exact]
ICICIBANK,2003-03-18,,ICICI Bank Ltd. [current-list]
ICICIGI,2018-09-28,2026-03-30,ICICI Lombard General Insurance Company Ltd. [press-release]
ICICIPRULI,2017-03-31,2025-09-30,ICICI Prudential Life Insurance Company Ltd. [press-release]
IDBI,2003-04-01,2014-03-28,IDBI Bank Ltd. [current-list]
IDEA,2007-12-12,2010-10-01,Idea Cellular Ltd. [survivor-rename]
IDEA,2011-10-10,2020-06-26,Idea Cellular Ltd. [survivor-rename]
IDFC,2006-06-27,2015-05-29,IDFC Ltd. [norm-exact]
IFCI,2003-03-18,2012-04-27,IFCI Ltd. [current-list]
IGL,2020-06-26,2022-03-31,Indraprastha Gas Ltd. [press-release]
INDHOTEL,2003-03-18,2005-02-25,Indian Hotels Co. Ltd. [current-list]
INDHOTEL,2006-11-08,2013-09-27,Indian Hotels Co. Ltd. [current-list]
INDHOTEL,2025-03-28,,Indian Hotels Co. Ltd. [press-release]
INDIACEM,2003-03-18,2004-03-01,India Cements Ltd. [current-list]
INDIGO,2016-09-30,,InterGlobe Aviation Ltd. [current-list]
INDUSINDBK,2011-03-25,2025-09-30,IndusInd Bank Ltd. [press-release]
INDUSTOWER,2014-03-28,2023-09-29,Bharti Infratel Ltd. [survivor-rename]
INFY,2003-03-18,,Infosys Ltd. [current-list]
INGERRAND,2003-03-18,2007-12-12,Ingersoll Rand (India) Ltd. [kite-dump]
INGVYSYABK,2005-01-03,2005-08-12,ING Vysya Bank Ltd. [norm-exact]
INGVYSYABK,2005-08-16,2009-03-27,ING Vysya Bank Ltd. [norm-exact]
INGVYSYABK,2014-03-28,2015-02-02,ING Vysya Bank Ltd. [norm-exact]
IOB,2004-03-01,2012-04-27,Indian Overseas Bank [current-list]
IOC,2015-10-19,,Indian Oil Corporation Ltd. [current-list]
IPCL,2005-01-03,2007-10-04,Indian Petrochemicals Corporation Ltd. [norm-exact]
IRCTC,2022-09-30,2025-03-28,Indian Railway Catering and Tourism Corporation Ltd. [press-release]
IRFC,2024-03-28,,Indian Railway Finance Corporation Ltd. [press-release]
ITC,2003-03-18,,ITC Ltd. [current-list]
JETAIRWAYS,2005-09-26,2007-04-04,Jet Airways (India) Ltd. [norm-exact]
JINDALSTEL,2008-02-15,2015-03-27,Jindal Steel & Power Ltd. [survivor-rename]
JINDALSTEL,2021-09-30,2022-03-31,Jindal Steel & Power Ltd. [survivor-rename]
JINDALSTEL,2023-07-13,,Jindal Steel & Power Ltd. [survivor-rename]
JIOFIN,2024-03-28,,Jio Financial Services Ltd. [press-release]
JPASSOCIAT,2005-01-03,2014-03-28,Jaiprakash Associates Ltd. [norm-exact]
JSWDULUX,2003-03-18,2004-03-01,Akzo Nobel India Ltd. [survivor-rename]
JSWENERGY,2024-09-30,2026-03-30,JSW Energy Ltd. [press-release]
JSWSTEEL,2004-03-01,2005-02-21,JSW Steel Ltd. [current-list]
JSWSTEEL,2008-06-23,,JSW Steel Ltd. [current-list]
JUBLFOOD,2021-03-31,2022-09-30,Jubilant Foodworks Ltd. [press-release]
KOTAKBANK,2003-03-18,,Kotak Mahindra Bank Ltd. [current-list]
LICHSGFIN,2003-03-18,2019-03-29,LIC Housing Finance Ltd. [current-list]
LICI,2022-08-08,2026-03-30,Life Insurance Corporation of India [press-release]
LODHA,2024-09-30,,Lodha Developers Ltd. [press-release]
LT,2004-12-10,,Larsen & Toubro Ltd. [current-list]
LTF,2018-04-02,2020-06-26,L&T Finance Holdings Ltd. [survivor-rename]
LTM,2020-09-25,,Larsen & Toubro Infotech Ltd. [survivor-rename]
LUPIN,2004-12-10,2022-09-30,Lupin Ltd. [press-release]
M&M,2003-03-18,,Mahindra & Mahindra Ltd. [current-list]
M&MFIN,2013-09-27,2016-04-01,Mahindra & Mahindra Financial Services Ltd. [current-list]
MARICO,2015-09-28,2024-09-30,Marico Ltd. [press-release]
MARUTI,2004-03-01,,Maruti Suzuki India Ltd. [current-list]
MAXHEALTH,2025-09-30,,Max Healthcare Institute Ltd. [press-release]
MAZDOCK,2025-09-30,,Mazagoan Dock Shipbuilders Ltd. [press-release]
MINDTREE,2022-03-31,2022-09-30,MindTree Ltd. [press-release]
MOREPENLAB,2003-03-18,2004-03-01,Morepen Laboratories Ltd. [backfill-map]
MOSERBAER,2005-01-03,2010-04-08,Moser Baer India Ltd. [token-exact]
MOTHERSON,2014-09-19,2021-06-30,Motherson Sumi Systems Ltd. [press-release]
MOTHERSON,2022-09-30,,Samvardhana Motherson International Ltd. [press-release]
MPHASIS,2003-04-02,2014-09-19,MphasiS Ltd. [current-list]
MPHASIS,2022-09-30,2023-03-31,MphasiS Ltd. [press-release]
MRF,2015-05-29,2016-04-01,MRF Ltd. [current-list]
MRF,2017-09-29,2019-09-27,MRF Ltd. [current-list]
MRF,2021-03-31,2021-09-30,MRF Ltd. [press-release]
MRPL,2004-03-01,2004-12-10,Mangalore Refinery & Petrochemicals Ltd. [current-list]
MRPL,2009-03-27,2011-03-25,Mangalore Refinery & Petrochemicals Ltd. [current-list]
MTNL,2003-03-18,2007-12-12,Mahanagar Telephone Nigam Ltd. [kite-dump]
MUTHOOTFIN,2020-06-26,2024-03-28,Muthoot Finance Ltd. [press-release]
MUTHOOTFIN,2026-03-30,,Muthoot Finance Ltd. [press-release]
NATIONALUM,2003-05-02,2009-10-22,National Aluminium Co. Ltd. [current-list]
NAUKRI,2020-06-26,2026-03-30,Info Edge (India) Ltd. [press-release]
NESTLEIND,2003-03-18,2003-08-04,Nestle India Ltd. [current-list]
NESTLEIND,2019-09-27,,Nestle India Ltd. [current-list]
NHPC,2016-04-01,2020-09-25,NHPC Ltd. [press-release]
NHPC,2024-09-30,2025-03-28,NHPC Ltd. [press-release]
NIACL,2018-09-28,2020-06-26,The New India Assurance Company Ltd. [current-list]
NIRMA,2005-01-03,2009-03-27,Nirma Ltd. [norm-exact]
NMDC,2013-04-01,2022-08-08,NMDC Ltd. [press-release]
NOVARTIND,2003-03-18,2003-05-02,Novartis India Ltd [kite-dump]
NTPC,2007-09-24,,NTPC Ltd. [current-list]
NYKAA,2022-03-31,2023-09-29,FSN E-Commerce Ventures Ltd. [press-release]
OFSS,2003-04-01,2021-03-31,Oracle Financial Services Software Ltd. [press-release]
OIL,2013-09-27,2019-03-29,Oil India Ltd. [current-list]
ONGC,2004-04-12,,Oil & Natural Gas Corporation Ltd. [current-list]
ORIENTBANK,2005-01-03,2007-04-04,Oriental Bank of Commerce [norm-exact]
PAGEIND,2019-03-29,2020-09-25,Page Industries Ltd. [press-release]
PAGEIND,2023-03-31,2023-09-29,Page Industries Ltd. [press-release]
PATNI,2005-01-03,2011-10-10,Patni Computer Systems Ltd. [norm-exact]
PAYTM,2022-03-31,2023-03-31,One 97 Communications Ltd. [press-release]
PEL,2005-01-03,2008-02-15,Piramal Healthcare Ltd. [manual-symbol]
PEL,2016-09-30,2022-08-08,Piramal Enterprises Ltd. [survivor-rename] [line-override<2025-11-07]
PETRONET,2012-04-27,2016-04-01,Petronet LNG Ltd. [current-list]
PETRONET,2017-03-31,2021-09-30,Petronet LNG Ltd. [press-release]
PFC,2007-12-12,2018-09-28,Power Finance Corporation Ltd. [current-list]
PFC,2019-09-27,2021-03-31,Power Finance Corporation Ltd. [press-release]
PFC,2024-03-28,,Power Finance Corporation Ltd. [press-release]
PFIZER,2003-03-18,2008-06-23,Pfizer Ltd. [current-list]
PGHH,2016-04-01,2024-03-28,Procter & Gamble Hygiene & Health Care Ltd. [survivor-rename]
PIDILITIND,2016-04-01,,Pidilite Industries Ltd. [current-list]
PIIND,2021-09-30,2024-03-28,PI Industries Ltd. [press-release]
PNB,2003-04-01,2018-09-28,Punjab National Bank [current-list]
PNB,2019-09-27,2022-09-30,Punjab National Bank [press-release]
PNB,2023-09-29,,Punjab National Bank [press-release]
POLARIS,2005-01-03,2007-12-12,Polaris Software Lab Ltd. [manual-isin]
POWERGRID,2008-03-14,,Power Grid Corporation of India Ltd. [current-list]
PUNJABTRAC,2005-01-03,2008-03-14,Punjab Tractors Ltd. [norm-exact]
PUNJLLOYD,2010-04-08,2011-10-10,Punj Lloyd Ltd. [norm-exact]
RANBAXY,2005-01-03,2014-11-28,Ranbaxy Laboratories Ltd. [norm-exact]
RAYMOND,2003-03-18,2009-10-22,Raymond Ltd. [kite-dump]
RCOM,2006-09-01,2016-09-30,Reliance Communications Ltd. [backfill-map]
RECLTD,2010-10-01,2016-09-30,Rural Electrification Corporation Ltd. [survivor-rename]
RECLTD,2017-03-31,2018-09-28,Rural Electrification Corporation Ltd. [survivor-rename]
RECLTD,2024-03-28,,REC Ltd. [press-release]
RELCAPITAL,2006-03-02,2016-04-01,Reliance Capital Ltd. [norm-exact]
RELIANCE,2003-03-18,,Reliance Industries Ltd. [current-list]
RELINFRA,2003-03-18,2013-09-27,Reliance Infrastructure Ltd. [backfill-map]
RELINFRA,2014-11-28,2016-04-01,Reliance Infrastructure Ltd. [backfill-map]
RNRL,2008-03-14,2010-10-07,Reliance Natural Resources Ltd. [norm-exact]
RPL,2006-09-22,2009-06-17,Reliance Petroleum Ltd. [norm-exact]
RPOWER,2008-09-10,2015-09-28,Reliance Power Ltd. [current-list]
SAIL,2003-03-19,2019-09-27,Steel Authority of India Ltd. [current-list]
SAIL,2021-09-30,2022-09-30,Steel Authority of India Ltd. [press-release]
SAMMAANCAP,2015-03-27,2020-06-26,Indiabulls Housing Finance Ltd. [survivor-rename]
SANOFI,2005-01-03,2009-03-27,Aventis Pharma Ltd. [manual-symbol]
SATYAMCOMP,2005-01-03,2009-01-12,Satyam Computer Services Ltd. [norm-exact]
SBICARD,2020-07-31,2024-09-30,SBI Cards and Payment Services Ltd. [press-release]
SBILIFE,2018-04-02,,SBI Life Insurance Company Ltd. [current-list]
SBIN,2003-03-18,,State Bank of India [current-list]
SCI,2003-03-18,2006-06-27,Shipping Corporation of India Ltd. [current-list]
SHREECEM,2016-04-01,,Shree Cement Ltd. [current-list]
SHRIRAMFIN,2010-10-01,2020-09-25,Shriram Transport Finance Co. Ltd. [survivor-rename]
SHRIRAMFIN,2023-09-29,,Shriram Finance Ltd. [press-release]
SIEMENS,2003-03-18,,Siemens Ltd. [current-list]
SOLARINDS,2025-09-30,,Solar Industries India Ltd. [press-release]
SRF,2022-03-31,2024-09-30,SRF Ltd. [press-release]
STER,2005-02-21,2011-06-21,Sterlite Industries (India) Ltd. [norm-exact]
SUNDARMFIN,2015-09-28,2016-04-01,Sundaram Finance Ltd. [current-list]
SUNPHARMA,2003-03-18,,Sun Pharmaceutical Industries Ltd. [current-list]
SUNTV,2017-05-26,2019-03-29,Sun TV Network Ltd. [current-list]
SUZLON,2006-06-27,2011-03-25,Suzlon Energy Ltd. [current-list]
SWIGGY,2025-03-28,2025-09-30,Swiggy Ltd. [press-release]
SYNDIBANK,2005-01-03,2011-10-10,Syndicate Bank [norm-exact]
TATACAP,2026-03-30,,Tata Capital Ltd. [press-release]
TATACHEM,2003-03-18,2006-06-27,Tata Chemicals Ltd. [current-list]
TATACHEM,2010-10-07,2016-04-01,Tata Chemicals Ltd. [current-list]
TATACOMM,2005-01-03,2008-02-22,Videsh Sanchar Nigam Ltd. [manual-isin]
TATACOMM,2008-02-25,2009-10-22,Videsh Sanchar Nigam Ltd. [manual-isin]
TATACONSUM,2003-03-18,2006-09-01,Tata Global Beverages Ltd. [survivor-rename]
TATACONSUM,2013-04-01,2016-04-01,Tata Global Beverages Ltd. [survivor-rename]
TATACONSUM,2020-09-25,,Tata Consumer Products Ltd. [press-release]
TATAMTRDVR,2016-04-01,2020-06-26,Tata Motors Ltd DVR [manual-isin+symbol-chain]
TATAMTRDVR,2023-09-29,2024-08-30,Tata Motors Ltd. DVR [press-release]
TATAPOWER,2003-03-18,2018-04-02,Tata Power Co. Ltd. [current-list]
TATAPOWER,2022-08-08,,Tata Power Co. Ltd. [press-release]
TATASTEEL,2003-03-18,,Tata Steel Ltd. [current-list]
TCS,2005-02-25,,Tata Consultancy Services Ltd. [current-list]
TECHM,2007-04-04,,Tech Mahindra Ltd. [current-list]
THOMASCOOK,2003-03-18,2004-03-01,Thomas Cook (India) Ltd. [kite-dump]
TITAN,2003-03-18,2004-03-01,Titan Industries Ltd. [survivor-rename]
TITAN,2011-03-25,,Titan Industries Ltd. [survivor-rename]
TMCV,2026-03-30,,Tata Motors Ltd. [press-release]
TMPV,2003-03-18,,Tata Motors Passenger Vehicles Ltd. [current-list]
TORNTPHARM,2016-04-01,2018-04-02,Torrent Pharmaceuticals Ltd. [current-list]
TORNTPHARM,2020-06-26,,Torrent Pharmaceuticals Ltd. [current-list]
TORNTPOWER,2010-04-08,2013-04-01,Torrent Power Ltd. [current-list]
TRENT,2023-09-29,,Trent Ltd. [press-release]
