symbol,effective_from,effective_to,note
ABB,1996-09-18,2010-10-01,ABB India Ltd. [current-list]
ACC,1996-09-17,2017-09-29,ACC Ltd. [current-list]
ADANIENT,2022-09-30,,Adani Enterprises Ltd. [press-release]
ADANIPORTS,2015-09-28,,Adani Ports and Special Economic Zone Ltd. [current-list]
AMBUJACEM,1996-09-17,2018-04-02,Ambuja Cements Ltd. [current-list]
APOLLOHOSP,2022-03-31,,Apollo Hospitals Enterprise Ltd. [press-release]
APOLLOTYRE,1996-09-17,1996-09-18,Apollo Tyres Ltd. [current-list]
ASHOKLEY,1996-09-17,1998-10-07,Ashok Leyland Ltd. [current-list]
ASIANPAINT,1996-09-18,2002-10-28,Asian Paints Ltd. [current-list]
ASIANPAINT,2012-04-27,,Asian Paints Ltd. [current-list]
AUROPHARMA,2016-04-01,2018-04-02,Aurobindo Pharma Ltd. [current-list]
AXISBANK,2009-03-27,,Axis Bank Ltd. [current-list]
BAJAJ-AUTO,2010-10-01,,Bajaj Auto Ltd. [current-list]
BAJAJFINSV,2018-04-02,,Bajaj Finserv Ltd. [current-list]
BAJAJHLDNG,1996-09-17,2008-03-14,Bajaj Auto Ltd [current-list] [line-override<2008-05-26]
BAJFINANCE,2017-09-29,,Bajaj Finance Ltd. [current-list]
BANKBARODA,2012-04-27,2017-09-29,Bank of Baroda [current-list]
BANKINDIA,1998-10-07,2000-09-01,Bank of India [current-list]
BEL,2024-09-30,,Bharat Electronics Ltd. [press-release]
BHARTIARTL,2004-03-01,,Bharti Airtel Ltd. [current-list]
BHEL,1997-05-14,2017-03-31,Bharat Heavy Electricals Ltd. [current-list]
BOSCHLTD,2015-05-29,2018-04-02,Bosch Ltd. [current-list]
BPCL,1997-12-24,1998-10-07,Bharat Petroleum Corporation Ltd. [current-list]
BPCL,2002-10-28,2025-03-28,Bharat Petroleum Corporation Ltd. [press-release]
BRITANNIA,1999-09-08,2004-12-10,Britannia Industries Ltd. [current-list]
BRITANNIA,2019-03-29,2025-03-28,Britannia Industries Ltd. [press-release]
CAIRN,2007-12-12,2016-04-01,Cairn India Ltd. [norm-exact]
CASTROLIND,1996-09-17,2003-05-02,Castrol (India) Ltd. [current-list]
CHAMBLFERT,1996-09-17,1996-09-18,Chambal Fertilizers & Chemicals Ltd. [current-list]
