date,signal_date,rank,symbol,score
2026-01-30,2026-01-29,1,HINDCOPPER,8.646069277480061
2026-01-30,2026-01-29,2,NATIONALUM,5.512240317091378
2026-01-30,2026-01-29,3,ATHERENERG,3.703532236324882
2026-01-30,2026-01-29,4,VEDL,3.671071902574172
2026-01-30,2026-01-29,5,MCX,3.144595935452027
2026-01-30,2026-01-29,6,SHRIRAMFIN,3.102800470890762
2026-01-30,2026-01-29,7,HINDZINC,2.96189190537766
2026-01-30,2026-01-29,8,NETWEB,2.8039044214349156
2026-01-30,2026-01-29,9,ASHOKLEY,2.800404728106622
2026-01-30,2026-01-29,10,MUTHOOTFIN,2.567919401635334
2026-01-30,2026-01-29,11,M&MFIN,2.30257515226412
2026-01-30,2026-01-29,12,HINDALCO,2.301847217554459
2026-01-30,2026-01-29,13,JKTYRE,2.2352745402802716
2026-01-30,2026-01-29,14,BANKINDIA,2.21841276409883
2026-01-30,2026-01-29,15,INDIANB,2.0834176206699917
2026-01-30,2026-01-29,16,GMDCLTD,2.069939227471583
2026-01-30,2026-01-29,17,LTF,2.0161919918611915
2026-01-30,2026-01-29,18,IDEA,1.9497213395443411
2026-01-30,2026-01-29,19,CUB,1.9467899695951925
2026-01-30,2026-01-29,20,KARURVYSYA,1.9365903564272278
2026-01-30,2026-01-29,21,FEDERALBNK,1.8884856777711971
2026-01-30,2026-01-29,22,GPIL,1.8071967539055889
2026-01-30,2026-01-29,23,CANBK,1.7814569986021895
2026-01-30,2026-01-29,24,AUBANK,1.7372646898266548
