config,entry_threshold,exit_threshold,hysteresis_gap,output_dir,cagr,total_return,max_drawdown,max_dd_duration,avg_turnover,total_trades,hit_rate,avg_holding_days
entry25_exit15,2.5,1.5,1.0,entry25_exit15,0.6017192767208313,12.517503765858963,-0.2859557404307147,381,0.2731446144742052,2247,0.4685816876122082,40.75673249551167
entry25_exit10,2.5,1.0,1.5,entry25_exit10,0.5914813110395922,12.046757028092076,-0.2925259541947017,381,0.2784721787576564,2233,0.4760614272809395,41.03794037940379
entry25_exit05,2.5,0.5,2.0,entry25_exit05,0.5914813110395922,12.046757028092076,-0.2925259541947017,381,0.2784721787576564,2233,0.4760614272809395,41.03794037940379
entry25_exit00,2.5,0.0,2.5,entry25_exit00,0.5914813110395922,12.046757028092076,-0.2925259541947017,381,0.2784721787576564,2233,0.4760614272809395,41.03794037940379
entry15_exit00,1.5,0.0,1.5,entry15_exit00,0.565726572113922,10.921619071874687,-0.2740199458343849,258,0.2956683007386638,2331,0.4792027729636048,40.32582322357019
entry15_exit05,1.5,0.5,1.0,entry15_exit05,0.565726572113922,10.921619071874687,-0.2740199458343849,258,0.2956683007386638,2331,0.4792027729636048,40.32582322357019
entry15_exit10,1.5,1.0,0.5,entry15_exit10,0.565726572113922,10.921619071874687,-0.2740199458343849,258,0.2956683007386638,2331,0.4792027729636048,40.32582322357019
entry10_exit00,1.0,0.0,1.0,entry10_exit00,0.5618945698585074,10.7612261628144,-0.2711112406747274,258,0.2963622072194871,2334,0.4779220779220779,40.31688311688312
entry10_exit05,1.0,0.5,0.5,entry10_exit05,0.5618945698585074,10.7612261628144,-0.2711112406747274,258,0.2963622072194871,2334,0.4779220779220779,40.31688311688312
entry10_exit10,1.0,1.0,0.0,entry10_exit10,0.5618945698585074,10.7612261628144,-0.2711112406747274,258,0.2963622072194871,2334,0.4779220779220779,40.31688311688312
entry20_exit10,2.0,1.0,1.0,entry20_exit10,0.5563042816572377,10.530411834528456,-0.2763206880709374,258,0.2821697134419706,2260,0.4839285714285714,40.84107142857143
entry20_exit05,2.0,0.5,1.5,entry20_exit05,0.5563042816572377,10.530411834528456,-0.2763206880709374,258,0.2821697134419706,2260,0.4839285714285714,40.84107142857143
entry20_exit00,2.0,0.0,2.0,entry20_exit00,0.5563042816572377,10.530411834528456,-0.2763206880709374,258,0.2821697134419706,2260,0.4839285714285714,40.84107142857143
entry15_exit15,1.5,1.5,0.0,entry15_exit15,0.5506210881029192,10.29957818077748,-0.2782796978794579,259,0.296119111313075,2327,0.4704861111111111,40.24131944444444
entry30_exit10,3.0,1.0,2.0,entry30_exit10,0.5498115835876682,10.267008863489764,-0.2951083170404297,381,0.287153280628964,2263,0.4768270944741533,40.59269162210339
entry30_exit00,3.0,0.0,3.0,entry30_exit00,0.5498115835876682,10.267008863489764,-0.2951083170404297,381,0.287153280628964,2263,0.4768270944741533,40.59269162210339
entry30_exit05,3.0,0.5,2.5,entry30_exit05,0.5498115835876682,10.267008863489764,-0.2951083170404297,381,0.287153280628964,2263,0.4768270944741533,40.59269162210339
entry30_exit15,3.0,1.5,1.5,entry30_exit15,0.5403721476836725,9.892867905072649,-0.2915365088073086,381,0.2854922025677027,2251,0.471326164874552,40.6505376344086
entry20_exit15,2.0,1.5,0.5,entry20_exit15,0.5320103088027317,9.5699972177068,-0.2792357103661751,258,0.2790747774567342,2252,0.4722222222222222,40.93996415770609
entry30_exit20,3.0,2.0,1.0,entry30_exit20,0.5166310465913504,8.996634351606897,-0.3071496647345131,381,0.298712783034782,2343,0.4742268041237113,38.39003436426117
entry25_exit20,2.5,2.0,0.5,entry25_exit20,0.4953918863079483,8.246916754717077,-0.3090779834695932,381,0.296927274734855,2351,0.4674657534246575,38.278253424657535
entry20_exit20,2.0,2.0,0.0,entry20_exit20,0.4913676930858213,8.110200119829162,-0.3019973387894649,258,0.2966634111417753,2369,0.4744897959183674,38.30527210884354
