date,open,high,low,close,volume
2017-07-14,146.62,152.28,146.62,148.09,227330
2017-07-17,150.6,151.8,146.73,148.27,425890
2017-07-18,149.59,152.84,148.25,150.98,152400
2017-07-19,148.5,153.99,148.5,152.72,120480
2017-07-20,155.2,155.2,151.2,153.63,64455
2017-07-21,153.09,154.0,152.0,153.44,26170
2017-07-24,152.6,153.4,151.17,152.78,44350
2017-07-25,152.99,157.09,152.2,152.87,108500
2017-07-26,154.51,155.54,152.8,153.04,30075
2017-07-27,153.99,153.99,151.53,152.71,44085
2017-07-28,153.23,154.6,151.06,152.1,95475
2017-07-31,152.0,153.0,149.92,151.75,66130
2017-08-01,153.76,153.76,151.0,151.8,21150
2017-08-02,151.99,152.68,149.6,151.39,57345
2017-08-03,151.48,153.8,148.0,149.6,121740
2017-08-04,149.61,153.0,149.11,151.0,40350
2017-08-07,148.66,152.38,148.22,151.64,51695
2017-08-08,151.1,161.6,151.07,154.83,368920
2017-08-09,155.3,162.85,153.04,157.52,340735
2017-08-10,157.8,158.02,142.2,149.64,128585
2017-08-11,152.0,157.8,149.99,154.53,2281885
2017-08-14,154.53,155.96,151.51,152.8,95785
2017-08-16,153.0,156.8,153.0,155.57,218265
2017-08-17,154.61,157.7,154.0,154.47,112725
2017-08-18,154.2,156.0,151.21,154.0,313510
2017-08-21,154.46,155.6,153.0,153.32,159685
2017-08-22,154.71,154.71,152.3,154.21,91715
2017-08-23,154.49,161.95,154.49,158.69,463225
2017-08-24,159.0,160.4,156.11,157.63,98170
2017-08-28,158.21,160.4,157.1,157.89,76045
2017-08-29,158.6,159.64,155.47,156.02,167880
2017-08-30,156.72,160.0,154.0,154.21,478950
2017-08-31,155.51,157.87,154.2,155.8,86755
2017-09-01,154.99,159.2,154.99,158.26,92775
2017-09-04,159.2,161.0,157.01,159.96,109275
2017-09-05,160.39,167.2,160.39,165.13,733080
2017-09-06,165.7,165.8,162.0,162.74,107805
2017-09-07,161.06,168.88,161.06,165.8,408075
2017-09-08,167.29,167.8,164.0,166.23,100800
2017-09-11,167.0,167.0,164.17,164.84,73920
2017-09-12,165.0,170.75,164.2,169.72,242425
2017-09-13,170.8,173.86,162.89,164.91,725335
2017-09-14,165.59,168.89,164.94,167.14,574325
2017-09-15,166.6,168.95,164.12,167.78,215190
2017-09-18,168.41,169.58,166.64,167.56,86175
2017-09-19,171.0,178.0,167.37,168.95,759325
2017-09-20,169.99,172.8,166.0,167.04,356360
2017-09-21,168.0,169.52,163.03,167.99,325550
2017-09-22,166.26,169.8,163.6,167.65,247265
2017-09-25,167.67,168.8,162.24,163.12,182415
2017-09-26,163.0,165.89,162.0,164.99,95155
2017-09-27,165.99,166.8,159.77,161.91,131815
2017-09-28,163.2,163.6,159.28,161.0,102280
2017-09-29,162.34,168.8,161.32,167.51,400185
2017-10-03,169.2,174.57,166.57,172.0,406180
2017-10-04,172.0,175.41,172.0,173.64,284710
2017-10-05,173.41,184.6,173.4,181.29,1064705
2017-10-06,183.16,185.0,179.0,182.0,511300
2017-10-09,180.22,182.37,174.6,177.19,138680
2017-10-10,175.6,178.78,172.0,176.73,230040
2017-10-11,177.6,182.0,174.72,175.46,149355
2017-10-12,176.0,180.0,176.0,177.55,119235
2017-10-13,177.55,178.88,174.24,177.16,316665
2017-10-16,181.96,189.0,180.01,186.5,897660
2017-10-17,187.94,187.94,183.01,183.94,426310
2017-10-18,183.0,184.44,181.2,183.4,239530
2017-10-19,184.98,185.0,183.01,183.53,58870
2017-10-23,184.2,184.54,180.41,181.83,122845
2017-10-24,182.2,184.09,178.0,180.57,246950
2017-10-25,179.82,182.34,177.23,179.33,510775
2017-10-26,179.56,180.75,176.99,179.91,164560
2017-10-27,179.43,184.29,178.8,180.71,215300
2017-10-30,181.55,183.6,180.81,182.05,147630
2017-10-31,180.03,184.0,180.03,182.49,204905
2017-11-01,183.8,184.0,179.1,182.77,214700
2017-11-02,182.72,188.0,182.0,184.48,336270
2017-11-03,185.8,195.6,179.75,192.83,511905
2017-11-06,193.23,194.78,187.0,192.05,470360
2017-11-07,188.0,188.0,180.1,182.54,588740
2017-11-08,182.0,183.0,178.22,179.67,505955
2017-11-09,181.2,181.6,172.77,177.81,337645
2017-11-10,178.0,178.79,176.01,176.54,566735
2017-11-13,178.4,179.2,174.28,175.15,212055
2017-11-14,174.0,178.36,174.0,175.79,205685
2017-11-15,176.0,177.11,171.53,173.11,193440
2017-11-16,173.8,173.81,170.01,170.58,151645
2017-11-17,173.01,175.2,167.6,168.69,200900
2017-11-20,168.6,168.96,162.36,166.78,372420
2017-11-21,164.0,171.99,164.0,169.26,334250
2017-11-22,170.95,171.4,167.2,167.72,91935
2017-11-23,168.48,170.78,168.0,170.12,79175
2017-11-24,170.01,171.8,168.0,169.68,62260
2017-11-27,170.0,170.0,168.6,169.05,43190
2017-11-28,173.0,175.79,172.2,172.8,821305
2017-11-29,173.02,174.4,170.31,173.17,487810
2017-11-30,173.8,177.8,171.01,175.82,560005
2017-12-01,176.0,176.8,170.36,171.69,217920
2017-12-04,173.4,173.4,170.01,171.97,631930
2017-12-05,171.93,174.6,167.6,169.21,170450
2017-12-06,170.9,172.35,168.2,170.81,186100
2017-12-07,171.33,173.4,168.0,168.84,177055
2017-12-08,169.99,170.2,168.42,169.64,249070
2017-12-11,169.86,170.24,167.0,167.28,111725
2017-12-12,167.82,168.82,165.4,166.14,197295
2017-12-13,166.12,167.4,163.77,165.51,65180
2017-12-14,166.0,166.54,164.75,165.33,242260
2017-12-15,169.1,169.1,165.0,166.6,404585
2017-12-18,165.0,172.58,163.97,167.35,694730
2017-12-19,169.59,169.6,167.2,167.5,396735
2017-12-20,168.8,168.8,166.1,166.5,462100
