start,end,years,cagr_pct,vol_pct,sharpe,sortino,max_dd_pct,calmar,n_buys,buys_per_year,win_rate_pct,avg_win_pct,avg_loss_pct,median_hold_days,exit_mix,pct_gt_100,basis,window,variant,top_n,exit_buffer,stop,weight_mode,sector_cap,peak_name_wt_pct,peak_sector_wt_pct,peak_sector,mean_invested_pct,pct_days_under_50_invested,mean_holdings,pct_days_full_book,bench_cagr_pct,alpha_cagr_pp
2009-09-07,2016-12-30,7.31,25.46,18.97,1.34,1.67,-37.4,0.68,2064,282.2,39.8,12.72,-5.26,14,{'rank': 2021},0.0,snapshot,IS,E_rs_unext,20,10,0.0,drift,0,11.0,40.9,Engineering Capital Goods,96.5,2.3,19.1,0.0,,
2017-01-09,2026-08-21,9.61,26.5,21.5,1.23,1.42,-43.14,0.61,3192,332.1,41.8,12.11,-5.74,14,{'rank': 3152},0.06,snapshot,OOS,E_rs_unext,20,10,0.0,drift,0,9.9,51.4,Healthcare,97.6,1.5,19.7,0.0,13.95,12.54
2009-09-07,2016-12-30,7.31,15.41,18.92,0.81,1.03,-45.32,0.34,1939,265.2,37.3,12.25,-5.19,14,{'rank': 1899},0.05,survivorship_free,IS,E_rs_unext,20,10,0.0,drift,0,10.8,39.4,Financial Services,95.9,2.5,18.8,0.0,,
2017-01-09,2026-08-21,9.61,13.83,20.87,0.66,0.76,-42.47,0.33,3097,322.2,40.6,10.8,-5.64,14,{'rank': 3036},0.07,survivorship_free,OOS,E_rs_unext,20,10,0.0,drift,0,10.7,52.2,Healthcare,97.7,1.5,19.6,0.0,13.95,-0.12
