,S2_D_s2_mech,S2_B_s2_mech,TL25v3_s2_mech,L6like_s2_mech,TL25v3_native,L6like_native
S2_D_s2_mech,1.0,0.9168683128864861,0.8760881475308345,0.8776279901197773,0.8842171313992754,0.8651304614654677
S2_B_s2_mech,0.9168683128864861,1.0,0.8455097414706501,0.828865985266437,0.850460336187585,0.8151132587718217
TL25v3_s2_mech,0.8760881475308345,0.8455097414706501,1.0,0.9153155048400957,0.9694482970968566,0.905192634234792
L6like_s2_mech,0.8776279901197773,0.828865985266437,0.9153155048400957,1.0,0.9192884595495409,0.9640661857629179
TL25v3_native,0.8842171313992754,0.850460336187585,0.9694482970968566,0.9192884595495409,1.0,0.909423506518453
L6like_native,0.8651304614654677,0.8151132587718217,0.905192634234792,0.9640661857629179,0.909423506518453,1.0
