basis,book,IS_start,IS_end,IS_years,IS_cagr_pct,IS_vol_pct,IS_sharpe,IS_sortino,IS_max_dd_pct,IS_calmar,IS_n_buys,IS_buys_per_year,IS_win_rate_pct,IS_avg_win_pct,IS_avg_loss_pct,IS_median_hold_days,IS_pct_gt_100,OOS_start,OOS_end,OOS_years,OOS_cagr_pct,OOS_vol_pct,OOS_sharpe,OOS_sortino,OOS_max_dd_pct,OOS_calmar,OOS_n_buys,OOS_buys_per_year,OOS_win_rate_pct,OOS_avg_win_pct,OOS_avg_loss_pct,OOS_median_hold_days,OOS_pct_gt_100,OOS_bench_cagr_pct,OOS_alpha_cagr_pp,median_hold,turnover_x
snapshot,OM25v3,2010-01-18,2016-12-30,6.95,26.93,16.68,1.62,2.0,-27.1,0.99,520,74.8,53.0,29.74,-8.76,84,2.85,2017-01-09,2026-08-21,9.61,35.44,20.72,1.71,2.05,-35.01,1.01,726,75.5,50.5,44.96,-10.5,84,4.86,13.95,21.48,84.0,3.0
snapshot,TL25v3,2010-01-18,2016-12-30,6.95,28.45,17.3,1.64,2.03,-24.55,1.16,879,126.5,47.5,22.47,-7.3,56,1.42,2017-01-09,2026-08-21,9.61,33.33,21.6,1.54,1.77,-40.55,0.82,1470,152.9,47.4,23.11,-8.13,42,2.1,13.95,19.37,42.0,6.1
snapshot,L6v2,2010-01-08,2016-12-30,6.98,27.34,21.42,1.28,1.57,-31.38,0.87,1310,187.8,46.1,17.84,-6.83,21,0.78,2017-01-06,2026-08-21,9.62,45.45,25.09,1.81,2.21,-37.16,1.22,1821,189.3,47.6,24.56,-7.68,21,2.01,13.95,31.5,21.0,7.9
snapshot,COMBO,2010-01-18,2016-12-30,6.95,28.23,15.33,1.84,2.07,-22.64,1.25,699,100.6,32.6,16.04,-29.83,28,0.43,2017-01-09,2026-08-21,9.61,33.19,18.64,1.78,2.07,-31.26,1.06,1191,123.9,31.3,21.41,-26.38,28,1.58,13.95,19.23,28.0,5.2
snapshot,S2v2,2010-01-11,2016-12-30,6.97,25.61,17.28,1.48,1.91,-23.34,1.1,451,64.7,57.9,22.09,-11.54,91,0.68,2017-01-09,2026-08-21,9.61,32.04,20.48,1.56,1.87,-35.5,0.9,699,72.7,57.4,24.59,-13.46,77,0.89,13.95,18.08,77.0,3.6
