start,end,years,cagr_pct,vol_pct,sharpe,sortino,max_dd_pct,calmar,n_buys,buys_per_year,win_rate_pct,avg_win_pct,avg_loss_pct,median_hold_days,exit_mix,pct_gt_100,variant,weight_mode,sector_cap,window,peak_name_wt_pct,peak_sector_wt_pct,peak_sector,bench_cagr_pct,alpha_cagr_pp
2009-09-07,2016-12-30,7.31,19.45,16.06,1.21,1.5,-23.9,0.81,1447,197.9,44.9,11.37,-5.44,21,{'rank': 1422},0.07,B_quality,drift,0,IS,10.8,45.7,Financial Services,,
2017-01-09,2026-08-21,9.61,15.06,18.66,0.81,0.92,-37.44,0.4,2488,258.8,43.2,10.37,-5.74,21,{'rank': 2442},0.0,B_quality,drift,0,OOS,9.4,50.8,Engineering Capital Goods,13.95,1.11
2009-09-07,2016-12-30,7.31,18.57,16.01,1.16,1.44,-23.69,0.78,1429,195.4,44.3,11.4,-5.48,21,{'rank': 1410},0.07,B_quality,drift,4,IS,10.8,31.4,Software Services,,
2017-01-09,2026-08-21,9.61,16.23,18.45,0.88,1.01,-32.44,0.5,2473,257.3,43.0,10.35,-5.71,21,{'rank': 2421},0.0,B_quality,drift,4,OOS,10.6,31.3,Engineering Capital Goods,13.95,2.28
2009-09-07,2016-12-30,7.31,19.02,15.74,1.21,1.5,-23.98,0.79,1441,197.1,44.9,11.35,-5.45,21,{'rank': 1422},0.07,B_quality,trim,0,IS,8.3,45.7,Financial Services,,
2017-01-09,2026-08-21,9.61,15.25,18.6,0.82,0.93,-37.36,0.41,2479,257.9,43.2,10.33,-5.74,21,{'rank': 2442},0.0,B_quality,trim,0,OOS,8.6,50.0,Engineering Capital Goods,13.95,1.29
2009-09-07,2016-12-30,7.31,18.19,15.67,1.16,1.44,-23.75,0.77,1426,195.0,44.4,11.38,-5.49,21,{'rank': 1410},0.07,B_quality,trim,4,IS,8.4,28.8,Software Services,,
2017-01-09,2026-08-21,9.61,15.94,18.35,0.87,0.99,-32.83,0.49,2474,257.4,42.9,10.33,-5.71,21,{'rank': 2421},0.0,B_quality,trim,4,OOS,8.6,30.6,Financial Services,13.95,1.99
2009-09-07,2016-12-30,7.31,18.66,15.92,1.17,1.46,-23.96,0.78,1723,235.6,44.7,10.93,-5.39,21,{'rank': 1422},0.0,B_quality,equal,0,IS,8.3,45.7,Financial Services,,
2017-01-09,2026-08-21,9.61,15.52,18.96,0.82,0.93,-39.38,0.39,2898,301.5,43.1,10.08,-5.67,21,{'rank': 2443},0.0,B_quality,equal,0,OOS,8.6,51.8,Engineering Capital Goods,13.95,1.57
2009-09-07,2016-12-30,7.31,17.8,15.92,1.12,1.39,-23.75,0.75,1752,239.6,44.1,10.86,-5.42,21,{'rank': 1410},0.0,B_quality,equal,4,IS,8.3,30.0,Healthcare,,
2017-01-09,2026-08-21,9.61,15.02,18.73,0.8,0.91,-36.34,0.41,2921,303.9,42.7,10.08,-5.63,21,{'rank': 2423},0.0,B_quality,equal,4,OOS,8.6,31.9,Healthcare,13.95,1.07
2009-09-07,2016-12-30,7.31,18.56,16.76,1.11,1.32,-25.24,0.74,975,133.3,42.9,15.97,-6.1,28,{'rank': 954},0.94,A_rs,trim,4,IS,8.4,29.3,Software Services,,
2017-01-09,2026-08-21,9.61,19.13,20.02,0.96,1.09,-32.46,0.59,1629,169.5,42.1,15.18,-6.67,28,{'rank': 1568},0.77,A_rs,trim,4,OOS,8.4,30.3,Engineering Capital Goods,13.95,5.18
2009-09-07,2016-12-30,7.31,18.79,15.47,1.21,1.5,-22.9,0.82,1386,189.5,43.8,11.84,-5.34,21,{'rank': 1370},0.15,C_nofresh,trim,4,IS,8.3,28.7,Software Services,,
2017-01-09,2026-08-21,9.61,16.86,17.93,0.94,1.09,-30.17,0.56,2426,252.4,42.3,10.74,-5.62,21,{'rank': 2372},0.04,C_nofresh,trim,4,OOS,8.6,31.5,Healthcare,13.95,2.91
2009-09-07,2016-12-30,7.31,17.68,16.52,1.07,1.28,-25.44,0.7,1029,140.7,42.1,15.11,-5.93,28,{'rank': 1008},0.6,D_blend,trim,4,IS,8.3,28.8,Software Services,,
2017-01-09,2026-08-21,9.61,20.05,19.99,1.0,1.14,-30.69,0.65,1756,182.7,42.0,14.65,-6.34,28,{'rank': 1708},0.59,D_blend,trim,4,OOS,8.7,30.3,Financial Services,13.95,6.09
