basis,config,stage_age,IS_start,IS_end,IS_years,IS_cagr_pct,IS_vol_pct,IS_sharpe,IS_sortino,IS_max_dd_pct,IS_calmar,IS_n_buys,IS_buys_per_year,IS_win_rate_pct,IS_avg_win_pct,IS_avg_loss_pct,IS_median_hold_days,IS_pct_gt_100,OOS_start,OOS_end,OOS_years,OOS_cagr_pct,OOS_vol_pct,OOS_sharpe,OOS_sortino,OOS_max_dd_pct,OOS_calmar,OOS_n_buys,OOS_buys_per_year,OOS_win_rate_pct,OOS_avg_win_pct,OOS_avg_loss_pct,OOS_median_hold_days,OOS_pct_gt_100,OOS_bench_cagr_pct,OOS_alpha_cagr_pp,OOS_peak_name_wt_pct,OOS_peak_sector_wt_pct,OOS_peak_sector,OOS_mean_invested_pct,OOS_pct_days_under_50_invested,OOS_mean_holdings,OOS_pct_days_full_book
survivorship_free,E as specified,0,2009-09-07,2016-12-30,7.31,15.41,18.92,0.81,1.03,-45.32,0.34,1939,265.2,37.3,12.25,-5.19,14,0.05,2017-01-09,2026-08-21,9.61,13.83,20.87,0.66,0.76,-42.47,0.33,3097,322.2,40.6,10.8,-5.64,14,0.07,13.95,-0.12,10.7,52.2,Healthcare,97.7,1.5,19.6,0.0
survivorship_free,E + stage-age 21 restored,21,2009-09-07,2016-12-30,7.31,25.48,16.82,1.51,1.83,-24.19,1.05,1139,155.8,45.4,13.63,-5.28,21,0.45,2017-01-09,2026-08-21,9.61,16.33,19.72,0.83,0.95,-38.17,0.43,2042,212.4,42.5,11.86,-5.82,21,0.2,13.95,2.38,10.1,53.7,Engineering Capital Goods,90.0,7.6,17.3,0.0
survivorship_free,E + stage-age 21 + sector cap 4,21,2009-09-07,2016-12-30,7.31,23.69,16.72,1.42,1.72,-23.38,1.01,1153,157.7,45.1,13.34,-5.45,21,0.44,2017-01-09,2026-08-21,9.61,16.72,19.46,0.86,0.98,-34.23,0.49,2034,211.6,43.1,11.39,-5.82,21,0.15,13.95,2.76,10.9,31.4,Engineering Capital Goods,89.5,7.8,17.0,0.0
survivorship_free,D_blend baseline (reference),21,2009-09-07,2016-12-30,7.31,17.68,16.52,1.07,1.28,-25.44,0.7,1029,140.7,42.1,15.11,-5.93,28,0.6,2017-01-09,2026-08-21,9.61,20.05,19.99,1.0,1.14,-30.69,0.65,1756,182.7,42.0,14.65,-6.34,28,0.59,13.95,6.09,8.7,30.3,Financial Services,88.4,8.5,18.2,61.1
snapshot,E as specified,0,2009-09-07,2016-12-30,7.31,25.46,18.97,1.34,1.67,-37.4,0.68,2064,282.2,39.8,12.72,-5.26,14,0.0,2017-01-09,2026-08-21,9.61,26.5,21.5,1.23,1.42,-43.14,0.61,3192,332.1,41.8,12.11,-5.74,14,0.06,13.95,12.54,9.9,51.4,Healthcare,97.6,1.5,19.7,0.0
snapshot,E + stage-age 21 restored,21,2009-09-07,2016-12-30,7.31,29.53,17.27,1.71,2.07,-21.07,1.4,1195,163.4,44.9,14.61,-5.39,21,0.59,2017-01-09,2026-08-21,9.61,28.06,20.72,1.35,1.54,-32.87,0.85,2116,220.1,44.9,13.02,-5.91,21,0.29,13.95,14.1,10.4,48.0,Software Services,91.0,6.3,17.5,0.0
snapshot,E + stage-age 21 + sector cap 4,21,2009-09-07,2016-12-30,7.31,29.47,17.1,1.72,2.09,-20.79,1.42,1205,164.8,44.8,14.49,-5.38,21,0.59,2017-01-09,2026-08-21,9.61,26.37,20.54,1.28,1.46,-31.28,0.84,2107,219.2,43.9,12.67,-5.83,21,0.29,13.95,12.42,13.1,30.8,Engineering Capital Goods,90.3,6.3,17.0,0.0
snapshot,D_blend baseline (reference),21,2009-09-07,2016-12-30,7.31,25.34,17.07,1.48,1.81,-21.24,1.19,1019,139.3,42.9,18.54,-6.09,28,0.8,2017-01-09,2026-08-21,9.61,35.29,21.12,1.67,1.91,-27.51,1.28,1704,177.3,43.7,18.31,-6.39,28,1.32,13.95,21.34,9.3,30.6,Engineering Capital Goods,89.2,6.5,18.3,61.2
