start,end,years,cagr_pct,vol_pct,sharpe,sortino,max_dd_pct,calmar,n_buys,buys_per_year,win_rate_pct,avg_win_pct,avg_loss_pct,median_hold_days,exit_mix,pct_gt_100,variant,stop,window,top_n,test,mean_invested_pct,pct_days_under_50_invested,mean_holdings,pct_days_full_book,bench_cagr_pct,alpha_cagr_pp,sector_cap
2009-09-07,2016-12-30,7.31,18.79,15.47,1.21,1.5,-22.9,0.82,1386,189.5,43.8,11.84,-5.34,21,{'rank': 1370},0.15,C_nofresh,0.0,IS,22,stop_ladder,78.0,17.9,15.4,44.6,,,
2017-01-09,2026-08-21,9.61,16.86,17.93,0.94,1.09,-30.17,0.56,2426,252.4,42.3,10.74,-5.62,21,{'rank': 2372},0.04,C_nofresh,0.0,OOS,22,stop_ladder,88.4,8.5,18.2,60.7,13.95,2.91,
2009-09-07,2016-12-30,7.31,18.79,15.47,1.21,1.5,-22.9,0.82,1386,189.5,43.8,11.84,-5.34,21,"{'rank': 1360, 'stop': 10}",0.15,C_nofresh,0.2,IS,22,stop_ladder,78.0,17.9,15.4,44.6,,,
2017-01-09,2026-08-21,9.61,16.87,17.94,0.94,1.09,-30.18,0.56,2432,253.0,42.2,10.75,-5.6,21,"{'rank': 2349, 'stop': 28}",0.04,C_nofresh,0.2,OOS,22,stop_ladder,88.4,8.5,18.2,60.3,13.95,2.91,
2009-09-07,2016-12-30,7.31,18.79,15.47,1.21,1.5,-22.9,0.82,1386,189.5,43.8,11.84,-5.34,21,"{'rank': 1368, 'stop': 2}",0.15,C_nofresh,0.25,IS,22,stop_ladder,78.0,17.9,15.4,44.6,,,
2017-01-09,2026-08-21,9.61,16.86,17.93,0.94,1.09,-30.17,0.56,2426,252.4,42.3,10.74,-5.62,21,"{'rank': 2362, 'stop': 10}",0.04,C_nofresh,0.25,OOS,22,stop_ladder,88.4,8.5,18.2,60.7,13.95,2.91,
2009-09-07,2016-12-30,7.31,17.68,16.52,1.07,1.28,-25.44,0.7,1029,140.7,42.1,15.11,-5.93,28,{'rank': 1008},0.6,D_blend,0.0,IS,22,stop_ladder,78.1,17.9,15.4,44.3,,,
2017-01-09,2026-08-21,9.61,20.05,19.99,1.0,1.14,-30.69,0.65,1756,182.7,42.0,14.65,-6.34,28,{'rank': 1708},0.59,D_blend,0.0,OOS,22,stop_ladder,88.4,8.5,18.2,61.1,13.95,6.09,
2009-09-07,2016-12-30,7.31,17.68,16.52,1.07,1.28,-25.44,0.69,1031,141.0,42.1,15.06,-5.92,28,"{'rank': 985, 'stop': 25}",0.59,D_blend,0.2,IS,22,stop_ladder,78.1,17.9,15.4,44.3,,,
2017-01-09,2026-08-21,9.61,19.9,19.97,1.0,1.13,-30.78,0.65,1769,184.0,41.9,14.6,-6.31,28,"{'rank': 1643, 'stop': 76}",0.58,D_blend,0.2,OOS,22,stop_ladder,88.4,8.5,18.2,61.1,13.95,5.95,
2009-09-07,2016-12-30,7.31,17.68,16.52,1.07,1.28,-25.44,0.7,1029,140.7,42.1,15.11,-5.93,28,"{'rank': 1002, 'stop': 6}",0.6,D_blend,0.25,IS,22,stop_ladder,78.1,17.9,15.4,44.3,,,
2017-01-09,2026-08-21,9.61,20.05,19.99,1.0,1.14,-30.69,0.65,1756,182.7,42.0,14.65,-6.34,28,"{'rank': 1687, 'stop': 21}",0.59,D_blend,0.25,OOS,22,stop_ladder,88.4,8.5,18.2,61.1,13.95,6.09,
2009-09-07,2016-12-30,7.31,19.04,15.54,1.22,1.52,-22.69,0.84,1340,183.2,43.5,11.65,-5.24,21,{'rank': 1328},0.15,C_nofresh,0.0,IS,20,size,78.6,17.1,14.5,0.0,,,
2017-01-09,2026-08-21,9.61,16.36,18.15,0.9,1.04,-33.29,0.49,2354,244.9,42.2,10.53,-5.52,21,{'rank': 2300},0.04,C_nofresh,0.0,OOS,20,size,89.0,8.0,17.0,0.0,13.95,2.41,
2009-09-07,2016-12-30,7.31,18.79,15.47,1.21,1.5,-22.9,0.82,1386,189.5,43.8,11.84,-5.34,21,{'rank': 1370},0.15,C_nofresh,0.0,IS,22,size,78.0,17.9,15.4,44.6,,,
2017-01-09,2026-08-21,9.61,16.86,17.93,0.94,1.09,-30.17,0.56,2426,252.4,42.3,10.74,-5.62,21,{'rank': 2372},0.04,C_nofresh,0.0,OOS,22,size,88.4,8.5,18.2,60.7,13.95,2.91,
2009-09-07,2016-12-30,7.31,18.61,15.4,1.21,1.47,-22.71,0.82,1438,196.6,44.2,12.15,-5.47,21,{'rank': 1411},0.28,C_nofresh,0.0,IS,25,size,77.4,18.3,16.6,44.6,,,
2017-01-09,2026-08-21,9.61,17.23,17.91,0.96,1.09,-31.16,0.55,2559,266.2,42.6,11.04,-5.78,21,{'rank': 2479},0.08,C_nofresh,0.0,OOS,25,size,87.7,8.5,19.9,61.5,13.95,3.27,
2009-09-07,2016-12-30,7.31,19.01,16.89,1.13,1.36,-25.96,0.73,967,132.2,43.7,14.63,-5.96,28,{'rank': 947},0.63,D_blend,0.0,IS,20,size,78.7,17.1,14.5,0.0,,,
2017-01-09,2026-08-21,9.61,20.12,20.51,0.98,1.11,-34.25,0.59,1624,168.9,42.1,14.67,-6.38,28,{'rank': 1579},0.63,D_blend,0.0,OOS,20,size,89.1,8.4,17.0,0.0,13.95,6.17,
2009-09-07,2016-12-30,7.31,17.68,16.52,1.07,1.28,-25.44,0.7,1029,140.7,42.1,15.11,-5.93,28,{'rank': 1008},0.6,D_blend,0.0,IS,22,size,78.1,17.9,15.4,44.3,,,
2017-01-09,2026-08-21,9.61,20.05,19.99,1.0,1.14,-30.69,0.65,1756,182.7,42.0,14.65,-6.34,28,{'rank': 1708},0.59,D_blend,0.0,OOS,22,size,88.4,8.5,18.2,61.1,13.95,6.09,
2009-09-07,2016-12-30,7.31,18.05,16.23,1.11,1.34,-24.36,0.74,1122,153.4,41.8,15.28,-5.73,28,{'rank': 1095},0.91,D_blend,0.0,IS,25,size,77.4,18.5,16.6,44.6,,,
