,OM25v3,TL25v3,L6v2,COMBO,S2v2
OM25v3,1.0,0.8653570826280353,0.8428418112841056,0.7209806804487993,0.7923476886267099
TL25v3,0.8653570826280353,1.0,0.9021457987462564,0.669052691957755,0.8017117578501664
L6v2,0.8428418112841056,0.9021457987462564,1.0,0.7314603105696107,0.8532213450161339
COMBO,0.7209806804487993,0.669052691957755,0.7314603105696107,1.0,0.590244510829088
S2v2,0.7923476886267099,0.8017117578501664,0.8532213450161339,0.590244510829088,1.0
