,OM25v3,TL25v3,L6v2,COMBO,S2v2
OM25v3,1.0,0.212,0.152,0.354,0.123
TL25v3,0.212,1.0,0.292,0.231,0.099
L6v2,0.152,0.292,1.0,0.356,0.186
COMBO,0.354,0.231,0.356,1.0,0.139
S2v2,0.123,0.099,0.186,0.139,1.0
