,OM25v3,TL25v3,L6v2,COMBO,S2v2
OM25v3,1.0,0.8606869788219879,0.8366739176117736,0.792790948372381,0.8164900024995599
TL25v3,0.8606869788219879,1.0,0.9022686185143295,0.7921143430524449,0.8070051000573419
L6v2,0.8366739176117736,0.9022686185143295,1.0,0.8190188497504576,0.8339904552077789
COMBO,0.792790948372381,0.7921143430524449,0.8190188497504576,1.0,0.6877651588222787
S2v2,0.8164900024995599,0.8070051000573419,0.8339904552077789,0.6877651588222787,1.0
