date,signal_date,rank,symbol,score
2026-02-05,2026-02-05,1,HINDCOPPER,7.101595084006285
2026-02-05,2026-02-05,2,NATIONALUM,4.539327938418745
2026-02-05,2026-02-05,3,ATHERENERG,3.882172952871275
2026-02-05,2026-02-05,4,ASHOKLEY,3.1252356681541813
2026-02-05,2026-02-05,5,IDEA,3.1239122556154237
2026-02-05,2026-02-05,6,JKTYRE,3.0235682250266738
2026-02-05,2026-02-05,7,SHRIRAMFIN,2.8614140456596906
2026-02-05,2026-02-05,8,VEDL,2.8010690392128326
2026-02-05,2026-02-05,9,MCX,2.4984822299870952
2026-02-05,2026-02-05,10,GMDCLTD,2.46195869103818
2026-02-05,2026-02-05,11,FEDERALBNK,2.2804528476627137
2026-02-05,2026-02-05,12,BANKINDIA,2.27858998393517
2026-02-05,2026-02-05,13,M&MFIN,2.2249969327959733
2026-02-05,2026-02-05,14,HINDZINC,2.209235081443052
2026-02-05,2026-02-05,15,MRPL,2.161000539065437
2026-02-05,2026-02-05,16,KARURVYSYA,2.1220660837263496
2026-02-05,2026-02-05,17,LTF,1.9285558344686748
2026-02-05,2026-02-05,18,UNIONBANK,1.8802035361932703
2026-02-05,2026-02-05,19,INDIANB,1.8774071635001373
2026-02-05,2026-02-05,20,CHENNPETRO,1.8760211242622773
2026-02-05,2026-02-05,21,CANBK,1.8681840458736545
2026-02-05,2026-02-05,22,APLAPOLLO,1.864718234797582
2026-02-05,2026-02-05,23,GESHIP,1.7949424810232568
2026-02-05,2026-02-05,24,HINDALCO,1.793026327061524
