date,signal_date,rank,symbol,score
2026-01-21,2026-01-21,1,HINDCOPPER,5.5482333745524635
2026-01-21,2026-01-21,2,NATIONALUM,4.949483805455577
2026-01-21,2026-01-21,3,ATHERENERG,4.306907178732544
2026-01-21,2026-01-21,4,NETWEB,3.4985736301509203
2026-01-21,2026-01-21,5,HINDZINC,3.2875900837585728
2026-01-21,2026-01-21,6,VEDL,3.1972027493526656
2026-01-21,2026-01-21,7,SHRIRAMFIN,3.021862945376763
2026-01-21,2026-01-21,8,MUTHOOTFIN,2.83854958967857
2026-01-21,2026-01-21,9,ASHOKLEY,2.8159456183492275
2026-01-21,2026-01-21,10,MCX,2.5313251914426824
2026-01-21,2026-01-21,11,LTF,2.4254280899840532
2026-01-21,2026-01-21,12,HINDALCO,2.3275366757606535
2026-01-21,2026-01-21,13,BANKINDIA,2.3057298340591617
2026-01-21,2026-01-21,14,JKTYRE,2.2496990776104413
2026-01-21,2026-01-21,15,M&MFIN,2.11408832581076
2026-01-21,2026-01-21,16,INDIANB,2.100817475192263
2026-01-21,2026-01-21,17,CANBK,2.0310107118746363
2026-01-21,2026-01-21,18,ABCAPITAL,2.0207608875690477
2026-01-21,2026-01-21,19,IDEA,2.003970769043164
2026-01-21,2026-01-21,20,INDIACEM,1.97770940441475
2026-01-21,2026-01-21,21,FEDERALBNK,1.8615348560010305
2026-01-21,2026-01-21,22,CUB,1.8018839164318896
2026-01-21,2026-01-21,23,HEROMOTOCO,1.7452220568206138
2026-01-21,2026-01-21,24,MARUTI,1.727098842414931
