window,start,end,n_days,yrs,cagr_pct,vol_pct,sharpe,sharpe_ar,sortino,max_dd_pct,calmar,n_trades,rt_per_year,hit_rate_pct,avg_hold_days,cost_pct_pv_yr,portfolio,variant
COVID,2020-01-01,2020-12-31,252,1.0,72.11,18.78,3.84,3.0,4.16,-12.89,5.6,386,193.1,51.8,34.1,2.94,l6,roc31_N500_exposure_00
POST2021,2021-01-01,2026-08-21,1398,5.63,25.51,20.16,1.27,1.25,1.18,-25.19,1.01,2060,182.8,47.2,30.5,2.88,l6,roc31_N500_exposure_00
EVAL,2015-07-01,2026-08-21,3479,11.13,29.12,17.01,1.71,1.3,1.47,-29.53,0.99,4408,196.7,46.8,28.8,3.1,l6,roc31_N500_exposure_00
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-5.7,9.82,-0.58,-0.38,-0.55,-25.12,-0.23,1010,173.2,21.8,38.0,2.79,l6,roc31_N500_exposure_25
COVID,2020-01-01,2020-12-31,252,1.0,46.97,17.4,2.7,2.31,3.17,-11.7,4.02,432,160.1,35.6,45.9,2.62,l6,roc31_N500_exposure_25
POST2021,2021-01-01,2026-08-21,1398,5.63,26.2,18.33,1.43,1.38,1.53,-21.68,1.21,2558,146.6,28.9,51.5,2.37,l6,roc31_N500_exposure_25
EVAL,2015-07-01,2026-08-21,3479,11.13,27.75,15.77,1.76,1.33,1.74,-25.12,1.1,5390,165.2,31.4,44.4,2.66,l6,roc31_N500_exposure_25
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-6.65,11.23,-0.59,-0.38,-0.58,-25.75,-0.26,1032,173.2,22.1,38.0,2.8,l6,roc31_N500_exposure_50
COVID,2020-01-01,2020-12-31,252,1.0,63.14,19.26,3.28,2.65,3.95,-14.56,4.34,440,160.1,36.2,45.9,2.53,l6,roc31_N500_exposure_50
POST2021,2021-01-01,2026-08-21,1398,5.63,30.49,19.79,1.54,1.47,1.7,-22.65,1.35,2578,146.6,30.3,51.5,2.36,l6,roc31_N500_exposure_50
EVAL,2015-07-01,2026-08-21,3479,11.13,31.38,16.96,1.85,1.38,1.88,-25.75,1.22,5432,165.2,32.1,44.4,2.64,l6,roc31_N500_exposure_50
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-7.08,12.75,-0.56,-0.34,-0.57,-26.56,-0.27,1024,173.2,22.7,38.0,2.77,l6,roc31_N500_exposure_75
COVID,2020-01-01,2020-12-31,252,1.0,78.91,21.84,3.61,2.78,4.33,-21.18,3.73,433,160.1,40.6,45.9,2.31,l6,roc31_N500_exposure_75
POST2021,2021-01-01,2026-08-21,1398,5.63,34.43,21.48,1.6,1.51,1.83,-25.51,1.35,2581,146.6,33.5,51.5,2.32,l6,roc31_N500_exposure_75
EVAL,2015-07-01,2026-08-21,3479,11.13,34.69,18.43,1.88,1.4,1.96,-26.56,1.31,5398,165.2,34.5,44.4,2.59,l6,roc31_N500_exposure_75
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-7.11,14.25,-0.5,-0.3,-0.52,-27.17,-0.26,683,173.2,37.8,38.0,2.67,l6,roc31_N500_entry_gate
COVID,2020-01-01,2020-12-31,252,1.0,99.09,25.69,3.86,2.82,4.5,-27.66,3.58,322,160.1,48.8,45.9,1.93,l6,roc31_N500_entry_gate
POST2021,2021-01-01,2026-08-21,1398,5.63,36.41,23.14,1.57,1.48,1.85,-28.13,1.29,1679,146.6,47.8,51.5,2.18,l6,roc31_N500_entry_gate
EVAL,2015-07-01,2026-08-21,3479,11.13,37.13,20.09,1.85,1.37,1.95,-30.47,1.22,3750,165.2,46.2,44.4,2.46,l6,roc31_N500_entry_gate
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-7.84,11.22,-0.7,-0.46,-0.74,-26.7,-0.29,2571,242.6,24.2,35.0,3.13,l6,roc31_N500_scaled_50
COVID,2020-01-01,2020-12-31,252,1.0,51.89,20.52,2.53,2.15,2.9,-20.7,2.51,803,191.1,35.1,44.8,2.67,l6,roc31_N500_scaled_50
POST2021,2021-01-01,2026-08-21,1398,5.63,33.39,19.69,1.7,1.59,1.94,-20.71,1.61,6283,187.4,30.1,47.6,2.52,l6,roc31_N500_scaled_50
EVAL,2015-07-01,2026-08-21,3479,11.13,31.25,17.06,1.83,1.37,1.92,-26.7,1.17,12122,208.4,31.6,41.6,2.83,l6,roc31_N500_scaled_50
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-3.23,13.03,-0.25,-0.11,-0.29,-24.35,-0.13,348,88.4,38.2,97.3,1.31,om25,production
COVID,2020-01-01,2020-12-31,252,1.0,39.26,27.26,1.44,1.36,1.49,-34.78,1.13,141,70.0,45.7,126.8,1.02,om25,production
POST2021,2021-01-01,2026-08-21,1398,5.63,43.16,21.77,1.98,1.79,2.41,-25.32,1.7,867,76.5,49.4,119.3,1.05,om25,production
EVAL,2015-07-01,2026-08-21,3473,11.11,29.61,18.45,1.6,1.23,1.7,-34.78,0.85,1792,78.5,45.8,111.7,1.13,om25,production
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-13.97,9.77,-1.43,-1.04,-1.22,-30.83,-0.45,508,129.8,29.9,42.7,2.02,om25,ma_N100_exposure_00
COVID,2020-01-01,2020-12-31,252,1.0,48.31,16.17,2.99,2.53,2.99,-9.85,4.91,100,50.0,56.0,81.0,0.74,om25,ma_N100_exposure_00
POST2021,2021-01-01,2026-08-21,1398,5.63,34.36,18.45,1.86,1.72,1.82,-19.0,1.81,930,82.5,53.5,76.6,1.25,om25,ma_N100_exposure_00
EVAL,2015-07-01,2026-08-21,3473,11.11,23.58,14.62,1.61,1.24,1.4,-30.89,0.76,1894,83.8,47.2,67.6,1.29,om25,ma_N100_exposure_00
