slots,cagr,maxdd,sharpe,taken,cagr_p10,cagr_p90,dd_p10,dd_p90,exposure,avg_open
3,0.14523478942092993,0.329910413440749,0.5303061848160785,168.0,0.1352454900338327,0.1563128760967085,0.31710628999449564,0.3533459721968237,0.5945149195694943,2.28051872074883
5,0.16708329620424123,0.39353181036069435,0.5888070989910302,267.0,0.1580869391530745,0.17068273266803197,0.3864755433543079,0.41159442791422607,0.7385461417147177,3.658346333853354
8,0.16581233406396556,0.32744866119963423,0.6302582956741739,405.0,0.16261881409859186,0.1687795531025848,0.30577177342403755,0.35897949882406466,0.7113533946729406,5.482546801872075
10,0.16009820193818025,0.3049599931218308,0.6352366178972446,480.0,0.15576908277493515,0.16724589509705884,0.2856929052377648,0.3238325244766274,0.6868936644142947,6.491029641185648
15,0.14864805179691898,0.2729648799054928,0.6204625498854172,659.0,0.14662870070716955,0.15029242320653488,0.2726328207630716,0.2748209135420269,0.6275805869510602,8.520183307332292
20,0.12966324487444592,0.27274648374608584,0.5588811619514147,804.5,0.12687315797099166,0.13268578833370914,0.2720038480329382,0.28461208518051107,0.576469721142338,10.00633775351014
