date,buf0_r12,buf0_dd,buf10_r12,buf10_dd,buf15_r12,buf15_dd,buf20_r12,buf20_dd,nifty100_r12
2017-01-02 00:00:00,24.942831764892183,0.0,33.37155522417363,0.0,33.28203628932751,0.0,35.17455578432593,0.0,
2017-01-02 09:15:00,24.744151194877205,0.0,33.16474714585485,0.0,33.075870100606394,0.0,34.96196031444523,0.0,
2017-01-03 00:00:00,22.88204151668589,0.0,31.673568659683472,0.0,31.58716071748817,0.0,33.64411949558601,0.0,
2017-01-03 09:15:00,22.80134378761851,0.0,31.58911556125257,0.0,31.502981341572966,0.0,33.55719997196602,0.0,
2017-01-04 00:00:00,22.415554472554522,0.0,31.084985161023717,0.0,31.270521478556823,0.0,33.21782617415951,0.0,
2017-01-04 09:15:00,22.25641981643294,0.0,30.917913799415796,0.0,31.103683745016642,0.0,33.04572078528671,0.0,
2017-01-05 00:00:00,19.856360042316567,0.0,28.433238813448014,0.0,28.623248078293017,0.0,30.559325711085904,0.0,
2017-01-05 09:15:00,19.841032035676843,0.0,28.417138910358,0.0,28.60716893531019,0.0,30.542741590347045,0.0,
2017-01-06 00:00:00,21.258775177876977,-0.6845390505277993,29.94800790198715,-0.5934843397158773,30.3568433899688,-0.6024138986332139,32.249490904536856,-0.5486840363605028,
2017-01-06 09:15:00,21.21195053998082,-0.646173109911119,29.89886536331028,-0.5558774789715004,30.307678072468992,-0.5649110135256263,32.19883583641796,-0.5105769444729069,
2017-01-09 00:00:00,19.94177469218328,0.0,28.12802478796945,0.0,28.423078899406896,0.0,30.276179685451954,0.0,
2017-01-09 09:15:00,19.94177469218328,0.0,28.12802478796945,0.0,28.423078899406896,0.0,30.276179685451954,0.0,
2017-01-10 00:00:00,17.33424448666463,0.0,25.1422667468145,0.0,25.845112679963343,0.0,27.798947647410778,0.0,
2017-01-10 09:15:00,17.245387513209387,0.0,25.049607935935427,0.0,25.75205670812433,0.0,27.702863956507517,0.0,
2017-01-11 00:00:00,16.594453119235574,0.0,23.4291891600648,0.0,23.87036273048404,0.0,25.78779260794313,0.0,
2017-01-11 09:56:00,16.521598620408717,0.0,23.354344856679177,0.0,23.79539078433577,0.0,25.71043402984077,0.0,
2017-01-12 00:00:00,15.812064400241322,-0.07938632661513845,22.575961929910182,-0.12708044041825906,22.94199980204743,-0.04787989596175546,24.790212532146615,-0.06020993058433177,
2017-01-12 09:15:00,15.855534579236519,-0.11687756065473787,22.620631104370382,-0.16346290581154,22.986683458626334,-0.08419460974592452,24.836304335828462,-0.09710949444430295,
2017-01-13 00:00:00,17.45321542125655,-0.3324733758969245,24.24801707325748,-0.4028705532565846,24.426950403142868,-0.1860356074767311,26.180132167946656,-0.18228691718024104,
2017-01-13 09:15:00,17.291439529779563,-0.19500551775175623,24.08181942014995,-0.26946818014788043,24.261183342774117,-0.05288165693484448,26.009332210605084,-0.04698851636033563,
