symbol,shares,avg_cost,entry_date,entry_rank,holding_days,last_price,pnl_pct,notional,contribution_pct
LTF,2100.5207586959846,223.55872499999998,2025-08-22,20,154,288.0,0.2882521136224947,604949.9785044435,0.04949913364773038
NETWEB,165.9556167863739,2886.9123000000004,2025-09-05,12,140,3100.1,0.07384626820842444,514479.00759943767,0.042096480801725
ATHERENERG,704.2965003208434,645.100125,2025-11-07,2,77,621.2,-0.037048706198902104,437508.98599930794,0.035798523083844805
NATIONALUM,1726.6826785287317,263.93431499999997,2025-11-14,13,70,370.65,0.4043266787799078,639994.9347966744,0.05236663515500626
MUTHOOTFIN,123.67168372318105,3685.0053,2025-11-14,21,70,3802.8,0.031965951310843455,470298.6788625129,0.03848149101007954
IDEA,42308.94582740064,10.7715,2025-11-14,22,70,9.93,-0.07812282411920346,420127.83206608833,0.03437633597406232
HINDCOPPER,1246.4393461785282,366.99502500000006,2025-12-05,14,49,535.9,0.4602377784276501,667966.8456170732,0.0546553952199364
ASHOKLEY,2859.3079500769113,162.77991000000003,2025-12-12,21,42,192.98,0.18552713292444967,551789.2482058423,0.04514933583408836
M&MFIN,1446.7739293358634,371.31615000000005,2025-12-19,17,35,360.65,-0.02872525205273213,521779.0176149791,0.04269379328082016
JKTYRE,1006.3951622337261,511.79654999999997,2025-12-24,15,30,508.05,-0.007320389322671206,511299.06217284454,0.04183628648937448
SHRIRAMFIN,530.8426591520953,970.2866999999999,2025-12-24,17,30,1003.55,0.03428192924833451,532727.1505920852,0.04358960800382691
HINDZINC,824.5442338532002,624.6718500000001,2025-12-24,18,30,698.7,0.11850726105234277,576109.056193231,0.04713926800803595
GPIL,2013.5984840078008,255.79557,2025-12-24,22,30,241.85,-0.054518418751348996,486988.7933572866,0.03984713484399639
VEDL,804.3328397841368,608.84025,2026-01-09,18,14,684.15,0.1236937768158397,550284.3123383172,0.04502619669153966
INDIACEM,1049.2611797736868,466.719075,2026-01-09,20,14,431.5,-0.07546097189192447,452756.19907234586,0.037046103651619276
MCX,209.409358632898,2367.225,2026-01-14,10,9,2282.0,-0.03600206993420563,477872.15640027326,0.03910117956308431
HINDALCO,521.8529150288458,949.92105,2026-01-14,16,9,950.3,0.0003989278898492987,495916.82515191217,0.040577657787572476
CANBK,3243.384205396935,152.84007000000003,2026-01-14,20,9,151.81,-0.0067395284495749275,492378.15622130875,0.040288111457206385
INDIANB,595.1992417832308,832.8624000000001,2026-01-14,23,9,876.45,0.0523346953830548,521662.3754609127,0.042684249209775864
BANKINDIA,3295.5609497083697,150.42024,2026-01-14,24,9,159.65,0.061359827640216524,526136.3056209412,0.043050321901388064
CUB,1619.0389304429827,279.7584,2026-01-23,19,0,275.45,-0.01540043122923207,445964.2733905196,0.036490364418631266
AUBANK,459.00100970190726,986.7946499999999,2026-01-23,21,0,966.1,-0.020971587148349347,443440.8754730126,0.03628389113124662
FEDERALBNK,1608.4532113318717,281.59957499999996,2026-01-23,22,0,278.55,-0.010829473020333769,448034.6420164929,0.03665976925697918
ABCAPITAL,1287.5757868822366,351.77715,2026-01-23,23,0,347.45,-0.012300827384609914,447368.2071522331,0.03660523921385883
