symbol,shares,avg_cost,entry_date,entry_rank,holding_days,last_price,pnl_pct,notional,contribution_pct
LTF,1951.782793183274,217.82728499999996,2025-08-29,19,164,294.35,0.35129995307979933,574507.2651734967,0.047448115028324585
ATHERENERG,665.9240056646022,645.100125,2025-11-07,2,94,725.3,0.12432159271399912,482994.6813085359,0.03989016081437295
NATIONALUM,1705.9106317847059,263.93431499999997,2025-11-14,13,87,364.35,0.38045710350319584,621548.5386907576,0.051333217780248575
IDEA,42944.96639169607,10.115189999999998,2025-11-21,15,80,11.59,0.1458015123789076,497732.16047975747,0.04110731793201616
HINDCOPPER,1201.4744021466913,366.99502500000006,2025-12-05,14,66,598.55,0.6309485394250232,719142.5034049021,0.05939342858093977
ASHOKLEY,2733.089823490373,162.77991000000003,2025-12-12,21,59,205.67,0.2634851561227669,562114.583997265,0.04642461298125888
M&MFIN,1401.5139062708092,371.31615000000005,2025-12-19,17,52,383.05,0.031600699296273405,536849.9017970335,0.04433802222800073
JKTYRE,895.6957778165191,503.818125,2025-12-26,15,45,567.95,0.1272917186137359,508710.41701089207,0.04201400373091972
SHRIRAMFIN,465.225161891271,969.998625,2025-12-26,17,45,1044.0,0.0762901854628919,485695.0690144869,0.04011318376684048
HINDZINC,703.0531087218664,641.868675,2025-12-26,18,45,622.8,-0.02970806294605377,437861.47611197835,0.036162643963708704
VEDL,747.6522652556439,603.57975,2025-12-26,21,45,677.05,0.1217241797790598,506197.96619133366,0.041806502341962676
MCX,199.77731862758586,2459.409,2026-01-16,10,24,2426.3,-0.013462177295439637,484719.7081861116,0.040032629463032154
HINDALCO,516.480906425194,951.311325,2026-01-16,16,24,961.7,0.01092037351705022,496699.6877091091,0.04102204679663628
CANBK,3149.8534033814644,155.98635,2026-01-16,20,24,147.74,-0.05286584371004244,465359.3418155776,0.03843367163216436
INDIANB,576.3862866882082,852.4389749999999,2026-01-16,23,24,902.25,0.058433537720398165,520044.5271644358,0.04295007920795767
BANKINDIA,3154.0574626298726,155.778435,2026-01-16,24,24,168.73,0.0831409366771465,532184.1156695384,0.043952678525152875
FEDERALBNK,1521.3448522619005,281.59957499999996,2026-01-23,22,17,287.6,0.021308359574051527,437538.7795105226,0.036135992698540634
GMDCLTD,780.2879482164046,591.2300999999999,2026-01-30,16,10,626.85,0.06024710176291803,489123.5003394533,0.04039633528421004
MRPL,2416.5233668338046,184.771305,2026-02-06,15,3,193.58,0.047673501034156684,467790.59335168794,0.03863446683449016
KARURVYSYA,1412.682227549263,316.068375,2026-02-06,16,3,320.95,0.01544483847838296,453400.36093193595,0.03744598856010224
UNIONBANK,2514.4974404478717,177.571935,2026-02-06,18,3,180.21,0.01485631724405101,453137.583743111,0.037424285993332404
CHENNPETRO,496.2075082082549,899.8335749999999,2026-02-06,20,3,922.0,0.024633916332806427,457503.32256801106,0.03778484901925849
APLAPOLLO,203.65757188024526,2192.4261,2026-02-06,22,3,2238.3,0.020923806736290906,455846.743139553,0.03764803339299953
GESHIP,349.55518524676046,1277.3496,2026-02-06,23,3,1320.0,0.03338976267734384,461412.84452572383,0.03810773344352996
