date,signal_date,rank,symbol,score
2026-01-30,2026-01-29,1,HINDCOPPER,8.477418385186356
2026-01-30,2026-01-29,2,NATIONALUM,5.586839569228883
2026-01-30,2026-01-29,3,VEDL,3.7937999212193074
2026-01-30,2026-01-29,4,ATHERENERG,3.3650972086548503
2026-01-30,2026-01-29,5,MCX,3.239961023117976
2026-01-30,2026-01-29,6,HINDZINC,3.2344511059809937
2026-01-30,2026-01-29,7,SHRIRAMFIN,2.8258758976261853
2026-01-30,2026-01-29,8,MUTHOOTFIN,2.539241940231607
2026-01-30,2026-01-29,9,NETWEB,2.5352991766510486
2026-01-30,2026-01-29,10,ASHOKLEY,2.5320711321326717
2026-01-30,2026-01-29,11,HINDALCO,2.5318074682025773
2026-01-30,2026-01-29,12,GMDCLTD,2.3143972179699097
2026-01-30,2026-01-29,13,BANKINDIA,2.3051404525678425
2026-01-30,2026-01-29,14,KARURVYSYA,2.1781089965360727
2026-01-30,2026-01-29,15,CANBK,2.0882592637600528
2026-01-30,2026-01-29,16,M&MFIN,2.072883459775163
2026-01-30,2026-01-29,17,JKTYRE,2.0108067715575144
2026-01-30,2026-01-29,18,FEDERALBNK,1.9571330622832022
2026-01-30,2026-01-29,19,INDIANB,1.937417376851873
2026-01-30,2026-01-29,20,AUBANK,1.9011360625143987
2026-01-30,2026-01-29,21,UNIONBANK,1.884736979369668
2026-01-30,2026-01-29,22,ECLERX,1.8520565808933662
2026-01-30,2026-01-29,23,GVT&D,1.8378324658697747
2026-01-30,2026-01-29,24,LTF,1.8087295741703198
