symbol,shares,avg_cost,entry_date,entry_rank,holding_days,last_price,pnl_pct,notional,contribution_pct
LTF,2256.144206856201,223.558725,2025-08-22,,150,299.15,0.33812715204919863,674925.5394810325,0.04992974673220997
NETWEB,171.07261277563558,2886.9123,2025-09-05,,136,3449.9,0.19501378687534077,590183.4068146652,0.04366068003659715
ATHERENERG,791.8622948429359,645.100125,2025-11-07,,73,618.8,-0.04076905891159155,490004.3880488087,0.03624962097561299
NATIONALUM,1960.2356239584813,263.93431499999997,2025-11-14,,66,365.8,0.3859508946383121,717054.1912440124,0.053046346697166805
PAYTM,396.3695972655064,1305.28035,2025-11-14,,66,1311.4,0.004688379779868912,519799.0898539851,0.038453778068613303
MUTHOOTFIN,140.3996479050055,3685.0053000000003,2025-11-14,,66,3956.6,0.07370266197446163,555505.2469009447,0.04109525371866212
IDEA,48031.69908072964,10.7715,2025-11-14,,66,10.61,-0.014993269275402676,509616.32724654145,0.03770047606967751
HINDCOPPER,1356.5920021432173,366.99502500000006,2025-12-05,,45,546.9,0.49021093678313465,741920.1659721255,0.054885885650425084
ASHOKLEY,3127.4821569645324,162.77991,2025-12-12,,38,187.47,0.1516777469652122,586309.0799661409,0.04337406448126735
HBLENGINE,626.5956882403318,812.4716999999999,2025-12-12,,38,763.35,-0.06045958277685237,478311.8186182573,0.03538462625224675
M&MFIN,1578.182674013265,371.31615000000005,2025-12-19,,31,361.9,-0.02535884851763137,571144.3097254005,0.04225220274529788
SHRIRAMFIN,551.4467705855259,1018.8586499999999,2026-01-02,,17,1009.0,-0.009676170487436964,556409.7915207957,0.041162170261503074
JKTYRE,1086.6497662374986,517.044525,2026-01-02,,17,505.5,-0.02232791266864309,549301.4568330556,0.040636308770293915
GPIL,2078.009403810172,270.377175,2026-01-02,,17,250.8,-0.07240690712890252,521164.75847559114,0.03855480771471226
GMDCLTD,916.4042696639465,613.09875,2026-01-02,,17,540.4,-0.1185759227204427,495224.86732639663,0.036635822405108674
HEROMOTOCO,94.4876018958403,5946.24375,2026-01-02,,17,5746.0,-0.03367567130089477,542925.7604934984,0.04016464651297239
HINDZINC,901.4688008691581,623.256525,2026-01-02,,17,651.45,0.04523574783272433,587261.8503262132,0.04344454867543334
VEDL,886.9925452894532,608.84025,2026-01-09,,10,675.8,0.10997917762500098,599429.5621066125,0.04434469355359725
INDIACEM,1157.0916895182975,466.71907500000003,2026-01-09,,10,470.65,0.008422464841403743,544585.2036717867,0.04028740905900397
