symbol,shares,avg_cost,entry_date,entry_rank,holding_days,last_price,pnl_pct,notional,contribution_pct
LTF,2117.9671869056215,223.558725,2025-08-22,20,159,287.9,0.28780480386081986,609762.7531101283,0.04769560702652739
NETWEB,167.33557325336912,2886.9123000000004,2025-09-05,12,145,3155.2,0.09293240393897628,527977.2007290302,0.04129834588369762
ATHERENERG,710.1486713538278,645.100125,2025-11-07,2,82,608.1,-0.05735563142233158,431841.40705026273,0.033778609702537876
NATIONALUM,1741.0242126219134,263.93431499999997,2025-11-14,13,75,405.15,0.5350410195809514,705375.9597437682,0.05517446647946059
MUTHOOTFIN,124.69887979720924,3685.0053000000003,2025-11-14,21,75,3937.8,0.06860090540439656,491039.24886545056,0.038409061440749875
IDEA,42660.356770809914,10.7715,2025-11-14,22,75,10.0,-0.071624193473518,426603.56770809914,0.033368906214324326
HINDCOPPER,1256.7942748853836,366.99502500000006,2025-12-05,14,54,625.9,0.7054727104270688,786627.5366507616,0.06152996009181264
ASHOKLEY,2883.0667676478224,162.77991,2025-12-12,21,47,191.67,0.17747945677080157,552597.4073550581,0.04322413701173468
M&MFIN,1458.7981337844292,371.31615000000005,2025-12-19,17,40,369.9,-0.00381386589298649,539609.4296868603,0.04220821815514326
JKTYRE,1014.7595177031491,511.79655,2025-12-24,15,35,501.65,-0.019825358338191323,509054.11205578473,0.03981818299004144
SHRIRAMFIN,535.2546007691702,970.2867,2025-12-24,17,35,1009.35,0.04025954390594033,540259.2312863619,0.042259045598402066
HINDZINC,831.3971891644157,624.6718500000001,2025-12-24,18,35,727.4,0.16445138355442124,604758.315398196,0.04730416020023371
GPIL,2030.3339117254282,255.79557,2025-12-24,22,35,256.6,0.0031448159950542287,520983.6817487449,0.04075131323646736
VEDL,811.0169907720804,608.84025,2026-01-09,18,19,736.9,0.21033390942862273,597638.420499946,0.04674724243606228
INDIACEM,1057.9807294482682,466.71907500000003,2026-01-09,20,19,439.15,-0.0590699555187455,464612.23733720696,0.036341942138516985
MCX,211.1494389305846,2367.225,2026-01-14,10,14,2548.0,0.07636578694462925,538008.7703951296,0.04208301467859053
HINDALCO,526.1892349605824,949.92105,2026-01-14,16,14,1001.6,0.05440341594704101,527031.1377365193,0.04122434489153635
CANBK,3270.3350016291743,152.84007,2026-01-14,20,14,155.1,0.014786240283716223,507228.95875268494,0.03967541960499733
INDIANB,600.1450306466627,832.8624,2026-01-14,23,14,884.15,0.06157992004441559,530618.2288462468,0.04150492694917314
BANKINDIA,3322.945306911172,150.42024,2026-01-14,24,14,166.18,0.1047715387237782,552207.0511024985,0.04319360336839968
CUB,1632.4919337211077,279.75839999999994,2026-01-23,19,5,285.85,0.021774502570790055,466647.81925417867,0.03650116523747963
AUBANK,462.81496498863584,986.7946499999999,2026-01-23,21,5,960.3,-0.026849203124479804,444441.210878587,0.03476416562398746
FEDERALBNK,1621.8182551970228,281.59957499999996,2026-01-23,22,5,283.8,0.007814021026132822,460272.0208249151,0.036002450655764955
ABCAPITAL,1298.274579206532,351.77714999999995,2026-01-23,23,5,346.05,-0.016280619704832855,449267.9181344204,0.03514171038435878
