date,signal_date,rank,symbol,score
2026-05-08,2026-05-07,1,HFCL,4.660617197400903
2026-05-08,2026-05-07,2,POWERINDIA,4.594185727179369
2026-05-08,2026-05-07,3,KIRLOSENG,3.409829668833001
2026-05-08,2026-05-07,4,NATIONALUM,3.3862600534868217
2026-05-08,2026-05-07,5,MCX,3.274857147356922
2026-05-08,2026-05-07,6,HINDCOPPER,3.085123551572593
2026-05-08,2026-05-07,7,BSE,3.0371002001979166
2026-05-08,2026-05-07,8,SCHNEIDER,2.8196384251586633
2026-05-08,2026-05-07,9,DATAPATTNS,2.780448719833513
2026-05-08,2026-05-07,10,VEDL,2.7509041878783242
2026-05-08,2026-05-07,11,GVT&D,2.717345385114053
2026-05-08,2026-05-07,12,BHEL,2.7132231450437927
2026-05-08,2026-05-07,13,BHARATFORG,2.507483955472167
2026-05-08,2026-05-07,14,MAHABANK,2.2516008454267022
2026-05-08,2026-05-07,15,ADANIENSOL,2.137560780763823
2026-05-08,2026-05-07,16,GESHIP,2.118828313910327
2026-05-08,2026-05-07,17,NAVINFLUOR,2.07552255898529
2026-05-08,2026-05-07,18,ADANIPOWER,2.038493521228285
2026-05-08,2026-05-07,19,CCL,2.0212873357627683
2026-05-08,2026-05-07,20,WELCORP,1.9749515801981705
2026-05-08,2026-05-07,21,ABSLAMC,1.9685913079721888
2026-05-08,2026-05-07,22,NATCOPHARM,1.8952010687665946
2026-05-08,2026-05-07,23,APARINDS,1.8825001095759482
2026-05-08,2026-05-07,24,FINCABLES,1.8570284795211298
