date,rank,symbol,score,score_6m,mom_6m,vol_6m
2020-07-09,1,ALKYLAMINE,4.15950060392388,4.15950060392388,1.1022105493543446,0.05
2020-07-09,2,LTFOODS,3.8734697379469107,3.8734697379469107,1.021978021978022,0.05
2020-07-09,3,GRANULES,3.364652043640409,3.364652043640409,0.879253112033195,0.05
2020-07-09,4,ADANIGREEN,3.3046157947220975,3.3046157947220975,0.8624127617148556,0.05
2020-07-09,5,ESCORTS,3.2955563597066617,3.2955563597066617,0.859871562654372,0.05
2020-07-09,6,AUROPHARMA,3.194735426766072,3.194735426766072,0.8329199549041713,0.050079905292233724
2020-07-09,7,NAVINFLUOR,2.9429322515768,2.9429322515768,0.7609594284256187,0.05
2020-07-09,8,INDIACEM,2.7324662560935766,2.7324662560935766,0.7019230769230771,0.05
2020-07-09,9,TTML,2.6859990661315947,2.6859990661315947,0.6888888888888889,0.05
2020-07-09,10,APLLTD,2.5385206115399894,2.5385206115399894,0.647520734074466,0.05
2020-07-09,11,SUZLON,2.5262108074571064,2.5262108074571064,0.6440677966101693,0.05
2020-07-09,12,IRB,2.504771387870454,2.504771387870454,0.6666666666666667,0.05224218432738716
2020-07-09,13,JBCHEPHARM,2.50209105781479,2.50209105781479,0.6373021335168618,0.05
2020-07-09,14,BAYERCROP,2.30525762048984,2.30525762048984,0.5820897560176399,0.05
2020-07-09,15,DIXON,2.2661890242159544,2.2661890242159544,0.5711308960030308,0.05
2020-07-09,16,TARIL,2.2111915494099215,2.2111915494099215,0.6249999999999998,0.05623498037612607
2020-07-09,17,IRCTC,2.1849782753985623,2.1849782753985623,0.548351034097261,0.05
2020-07-09,18,TATACOMM,2.027818858131802,2.027818858131802,0.5042673398244983,0.05
2020-07-09,19,LAURUSLABS,2.0172841991532313,2.0172841991532313,0.5013123359580052,0.05
2020-07-09,20,AJANTPHARM,1.9403953928565436,1.9403953928565436,0.47974479206703036,0.05
2020-07-09,21,POLYMED,1.9382458384380339,1.9382458384380339,0.47914183551847445,0.05
2020-07-09,22,DEEPAKNTR,1.8225843424509662,1.8225843424509662,0.44669843430905365,0.05
2020-07-09,23,IPCALAB,1.8137846531234942,1.8137846531234942,0.44423009470361263,0.05
2020-07-09,24,MUTHOOTFIN,1.7954791939355956,1.7954791939355956,0.43909535775691033,0.05
2020-07-16,1,GRANULES,3.554908544322354,3.554908544322354,0.869912514263979,0.05
2020-07-16,2,ALKYLAMINE,3.3757559327027877,3.3757559327027877,0.8200521878763549,0.05
2020-07-16,3,AUROPHARMA,3.3546873709476004,3.3546873709476004,0.8170864090316978,0.05017795971577486
2020-07-16,4,APLLTD,3.0712409768533693,3.0712409768533693,0.7353020134228188,0.05
2020-07-16,5,SUZLON,3.006886197428187,3.006886197428187,0.7173913043478264,0.05
2020-07-16,6,LTFOODS,3.0062459462827844,3.0062459462827844,0.7172131147540983,0.05
2020-07-16,7,ESCORTS,2.864346394023135,2.864346394023135,0.677720762809221,0.05
2020-07-16,8,ADANIGREEN,2.80833868009606,2.80833868009606,0.662133142448103,0.05
2020-07-16,9,TATACOMM,2.6423328418329297,2.6423328418329297,0.6159317211948792,0.05
2020-07-16,10,POLYMED,2.543925779604937,2.543925779604937,0.5885438522870332,0.05
2020-07-16,11,NAVINFLUOR,2.5045656464290604,2.5045656464290604,0.5775894538606403,0.05
