window,start,end,n_days,yrs,cagr_pct,vol_pct,sharpe,sharpe_ar,sortino,max_dd_pct,calmar,n_trades,rt_per_year,hit_rate_pct,avg_hold_days,cost_pct_pv_yr,arm,bear_pct,lookback,confirm
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-4.35,9.56,-0.45,-0.28,-0.49,-19.19,-0.23,1105,88.9,8.6,87.9,1.48,roc21_c3,34.7,21,3
COVID,2020-01-01,2020-12-31,252,1.0,32.49,16.66,1.95,1.78,2.17,-13.09,2.48,310,65.0,7.7,103.6,1.05,roc21_c3,34.7,21,3
POST2021,2021-01-01,2026-08-21,1398,5.63,24.57,16.82,1.46,1.41,1.71,-21.33,1.15,2038,65.8,14.8,122.0,1.11,roc21_c3,34.7,21,3
EVAL,2015-07-01,2026-08-21,3473,11.11,21.94,13.96,1.57,1.22,1.65,-21.33,1.03,4761,73.6,13.1,104.0,1.25,roc21_c3,34.7,21,3
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-3.25,10.31,-0.32,-0.18,-0.34,-21.41,-0.15,876,87.9,11.0,87.3,1.42,roc21_c5,34.9,21,5
COVID,2020-01-01,2020-12-31,252,1.0,54.23,18.68,2.9,2.42,3.68,-13.57,4.0,176,64.0,20.3,102.2,1.05,roc21_c5,34.9,21,5
POST2021,2021-01-01,2026-08-21,1398,5.63,26.69,16.79,1.59,1.52,1.9,-18.95,1.41,1820,66.2,16.6,121.8,1.11,roc21_c5,34.9,21,5
EVAL,2015-07-01,2026-08-21,3473,11.11,26.21,14.44,1.81,1.37,1.97,-21.41,1.22,4135,73.6,17.5,103.2,1.24,roc21_c5,34.9,21,5
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-5.23,10.23,-0.51,-0.32,-0.53,-20.06,-0.26,895,86.8,16.5,87.1,1.4,roc31_c3,31.3,31,3
COVID,2020-01-01,2020-12-31,252,1.0,44.88,18.61,2.41,2.09,2.88,-16.99,2.64,267,65.0,18.5,103.0,1.08,roc31_c3,31.3,31,3
POST2021,2021-01-01,2026-08-21,1398,5.63,26.31,17.16,1.53,1.47,1.8,-16.54,1.59,1654,63.2,14.6,125.4,1.06,roc31_c3,31.3,31,3
EVAL,2015-07-01,2026-08-21,3473,11.11,29.29,15.27,1.92,1.43,2.02,-20.06,1.46,3642,71.9,22.7,105.1,1.2,roc31_c3,31.3,31,3
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-6.7,11.47,-0.58,-0.37,-0.58,-23.52,-0.29,689,78.2,11.8,92.8,1.28,roc31_c5,30.6,31,5
COVID,2020-01-01,2020-12-31,252,1.0,59.82,21.67,2.76,2.28,3.37,-20.76,2.88,152,64.0,28.1,100.0,0.92,roc31_c5,30.6,31,5
POST2021,2021-01-01,2026-08-21,1398,5.63,28.12,18.33,1.53,1.47,1.77,-18.78,1.5,1698,64.2,22.9,125.5,1.06,roc31_c5,30.6,31,5
EVAL,2015-07-01,2026-08-21,3473,11.11,31.47,16.39,1.92,1.43,1.99,-23.52,1.34,3256,70.9,26.8,106.7,1.16,roc31_c5,30.6,31,5
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-8.58,11.71,-0.73,-0.49,-0.73,-26.74,-0.32,702,85.8,10.1,86.1,1.41,roc42_c3,31.4,42,3
COVID,2020-01-01,2020-12-31,252,1.0,64.39,21.03,3.06,2.48,3.84,-18.71,3.44,152,64.0,28.1,100.5,0.92,roc42_c3,31.4,42,3
POST2021,2021-01-01,2026-08-21,1398,5.63,28.68,18.3,1.57,1.49,1.78,-18.27,1.57,1597,60.2,25.7,129.4,0.98,roc42_c3,31.4,42,3
EVAL,2015-07-01,2026-08-21,3473,11.11,29.32,16.08,1.82,1.37,1.87,-26.74,1.1,3251,69.5,25.5,106.2,1.14,roc42_c3,31.4,42,3
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-8.05,11.8,-0.68,-0.45,-0.69,-26.45,-0.3,757,87.4,12.3,86.8,1.44,roc42_c5,31.5,42,5
COVID,2020-01-01,2020-12-31,252,1.0,61.64,21.65,2.85,2.34,3.44,-20.69,2.98,152,64.0,28.1,100.5,0.92,roc42_c5,31.5,42,5
POST2021,2021-01-01,2026-08-21,1398,5.63,25.83,18.36,1.41,1.37,1.59,-21.36,1.21,1293,57.9,22.7,131.7,0.94,roc42_c5,31.5,42,5
EVAL,2015-07-01,2026-08-21,3473,11.11,27.43,16.2,1.69,1.29,1.73,-26.45,1.04,2929,68.5,24.6,106.7,1.12,roc42_c5,31.5,42,5
