arm,lookback,confirm,bear_pct,max_dd_pct,avg_dd_pct,pct_days_underwater,pct_days_dd_gt_10,pct_days_dd_gt_20,longest_uw_days,median_uw_days,n_uw_episodes,ulcer_index,pct_12m_negative,median_12m
roc21_c3,21,3,34.7,-21.3,-6.9,87.8,31.6,0.1,922,5,105,8.8,27.3,15.3
roc21_c5,21,5,34.9,-21.4,-6.6,87.1,27.1,1.5,751,4,116,8.76,20.1,16.4
roc31_c3,31,3,31.3,-20.1,-6.6,86.7,27.9,0.1,927,5,107,8.48,21.2,23.5
roc31_c5,31,5,30.6,-23.5,-7.6,86.2,33.6,3.8,937,5,117,9.91,21.0,20.7
roc42_c3,42,3,31.4,-26.7,-8.0,86.4,32.8,9.6,937,5,126,10.7,20.4,18.2
roc42_c5,42,5,31.5,-26.5,-8.7,86.7,43.0,9.5,937,4,124,11.28,22.7,15.8
