arm,bear_pct,max_dd_pct,avg_dd_pct,pct_days_underwater,pct_days_dd_gt_10,pct_days_dd_gt_20,longest_uw_days,median_uw_days,n_uw_episodes,ulcer_index,pct_12m_negative,median_12m
ma_NIFTY_100,30.0,-30.9,-9.2,86.8,38.0,14.9,1033,4,108,12.41,23.4,18.2
roc21_NIFTY_500,34.7,-21.3,-6.9,87.8,31.6,0.1,922,5,105,8.8,27.3,15.3
roc42_NIFTY_500,31.4,-26.7,-8.0,86.4,32.8,9.6,937,5,126,10.7,20.4,18.2
