window,start,end,n_days,yrs,cagr_pct,vol_pct,sharpe,sharpe_ar,sortino,max_dd_pct,calmar,n_trades,rt_per_year,hit_rate_pct,avg_hold_days,cost_pct_pv_yr,arm,bear_pct
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-12.9,11.96,-1.08,-0.76,-1.08,-30.86,-0.42,923,85.3,14.4,86.0,1.42,ma_NIFTY_100,30.0
COVID,2020-01-01,2020-12-31,252,1.0,48.22,19.81,2.43,2.09,2.91,-18.09,2.67,142,59.0,22.0,101.7,0.87,ma_NIFTY_100,30.0
POST2021,2021-01-01,2026-08-21,1398,5.63,31.18,18.75,1.66,1.57,1.9,-16.7,1.87,1308,58.7,26.6,130.5,0.93,ma_NIFTY_100,30.0
EVAL,2015-07-01,2026-08-21,3473,11.11,28.79,16.2,1.78,1.34,1.82,-30.86,0.93,2895,66.2,28.3,107.4,1.07,ma_NIFTY_100,30.0
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-4.35,9.56,-0.45,-0.28,-0.49,-19.19,-0.23,1105,88.9,8.6,87.9,1.48,roc21_NIFTY_500,34.7
COVID,2020-01-01,2020-12-31,252,1.0,32.49,16.66,1.95,1.78,2.17,-13.09,2.48,310,65.0,7.7,103.6,1.05,roc21_NIFTY_500,34.7
POST2021,2021-01-01,2026-08-21,1398,5.63,24.57,16.82,1.46,1.41,1.71,-21.33,1.15,2038,65.8,14.8,122.0,1.11,roc21_NIFTY_500,34.7
EVAL,2015-07-01,2026-08-21,3473,11.11,21.94,13.96,1.57,1.22,1.65,-21.33,1.03,4761,73.6,13.1,104.0,1.25,roc21_NIFTY_500,34.7
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-8.58,11.71,-0.73,-0.49,-0.73,-26.74,-0.32,702,85.8,10.1,86.1,1.41,roc42_NIFTY_500,31.4
COVID,2020-01-01,2020-12-31,252,1.0,64.39,21.03,3.06,2.48,3.84,-18.71,3.44,152,64.0,28.1,100.5,0.92,roc42_NIFTY_500,31.4
POST2021,2021-01-01,2026-08-21,1398,5.63,28.68,18.3,1.57,1.49,1.78,-18.27,1.57,1597,60.2,25.7,129.4,0.98,roc42_NIFTY_500,31.4
EVAL,2015-07-01,2026-08-21,3473,11.11,29.32,16.08,1.82,1.37,1.87,-26.74,1.1,3251,69.5,25.5,106.2,1.14,roc42_NIFTY_500,31.4
