ext,slope,above_low,near_high,spread,lead,avoid,ext_n,lead_n,mono,era_min,ext_minus_lead
0.1,21,0.2,0.2,0.06745055299983686,0.039977500221867975,-0.027473052777968892,17414,25217,True,0.0184865269221536,0.026177987163758812
0.1,21,0.2,0.25,0.0654999247292715,0.03802687195130262,-0.027473052777968892,17717,26231,True,0.016688395984958547,0.026841796572375717
0.1,21,0.2,0.3,0.06474538579774573,0.037272333019776845,-0.027473052777968892,17850,26582,True,0.016532510903810044,0.02601029773875379
0.1,21,0.3,0.2,0.06833480158647774,0.04086174880850885,-0.027473052777968892,17394,24281,True,0.02012851191853471,0.02480378109547924
0.1,21,0.3,0.25,0.06630821043449943,0.03883515765653054,-0.027473052777968892,17697,25288,True,0.01825767062753601,0.025606661818715227
0.1,21,0.3,0.3,0.06548101149847965,0.03800795872051076,-0.027473052777968892,17830,25632,True,0.018130423638592623,0.024886833226368914
0.1,21,0.4,0.2,0.0707188489806453,0.043245796202676406,-0.027473052777968892,17242,22310,True,0.023717098820469316,0.022404920302511573
0.1,21,0.4,0.25,0.0684967744793045,0.04102372170133561,-0.027473052777968892,17545,23283,True,0.021624170180463028,0.023539570564225103
0.1,21,0.4,0.3,0.06762299773164833,0.040149944953679434,-0.027473052777968892,17678,23619,True,0.02147581530941509,0.02285043089119058
0.1,42,0.2,0.2,0.0678412811872073,0.0403682284092384,-0.027473052777968892,17122,25002,True,0.019155190312266337,0.02580982757132168
0.1,42,0.2,0.25,0.06618902246109452,0.03871596968312563,-0.027473052777968892,17383,25980,True,0.0178113758164425,0.026570418508559648
0.1,42,0.2,0.3,0.06540704761453042,0.03793399483656153,-0.027473052777968892,17483,26299,True,0.017661550758797863,0.025937730793082255
0.1,42,0.3,0.2,0.06867007672596445,0.041197023947995556,-0.027473052777968892,17105,24119,True,0.020703171901191097,0.02469321010871506
0.1,42,0.3,0.25,0.0669482801446813,0.0394752273667124,-0.027473052777968892,17366,25092,True,0.01925774442812561,0.025578342718768344
0.1,42,0.3,0.3,0.06616237587766566,0.03868932309969676,-0.027473052777968892,17466,25407,True,0.019111704757976758,0.02494219294550751
0.1,42,0.4,0.2,0.07093954322902236,0.043466490451053476,-0.027473052777968892,16968,22223,True,0.024068426593097405,0.022419927617376025
0.1,42,0.4,0.25,0.06901907071206839,0.0415460179340995,-0.027473052777968892,17229,23172,True,0.022399198245999882,0.023649008641199613
0.1,42,0.4,0.3,0.06820812733201648,0.04073507455404758,-0.027473052777968892,17329,23480,True,0.02227400141797363,0.023015139621028885
0.1,63,0.2,0.2,0.0683510852270443,0.04087803244907541,-0.027473052777968892,16772,24687,True,0.0193357290349421,0.02674554120452392
0.1,63,0.2,0.25,0.06673052891011942,0.039257476132150526,-0.027473052777968892,17011,25622,True,0.018024155931496446,0.027418624682396718
0.1,63,0.2,0.3,0.0660231012248027,0.038550048446833816,-0.027473052777968892,17094,25920,True,0.01788725603221973,0.026879540410429028
0.1,63,0.3,0.2,0.06912114555901813,0.04164809278104924,-0.027473052777968892,16758,23851,True,0.020814557659262673,0.02577052706921581
0.1,63,0.3,0.25,0.0674397676377993,0.0399667148598304,-0.027473052777968892,16997,24783,True,0.019405617447601598,0.02654934516816033
0.1,63,0.3,0.3,0.06671650642577738,0.039243453647808485,-0.027473052777968892,17080,25079,True,0.01925096180910774,0.02602776372077748
0.1,63,0.4,0.2,0.07133472025748257,0.04386166747951367,-0.027473052777968892,16629,22021,True,0.024177287926381567,0.023586171938413704
0.1,63,0.4,0.25,0.06944878084365828,0.04197572806568939,-0.027473052777968892,16868,22931,True,0.022522170489577383,0.02471410631957663
0.1,63,0.4,0.3,0.06870074911034589,0.041227696332377,-0.027473052777968892,16951,23223,True,0.02237488139535451,0.02420020351780285
0.15,21,0.2,0.2,0.06745055299983686,0.039977500221867975,-0.027473052777968892,10064,32567,True,0.0184865269221536,0.03491710323415429
0.15,21,0.2,0.25,0.0654999247292715,0.03802687195130262,-0.027473052777968892,10229,33719,True,0.016688395984958547,0.03471123412423342
0.15,21,0.2,0.3,0.06474538579774573,0.037272333019776845,-0.027473052777968892,10300,34132,True,0.016532510903810044,0.033801849622867655
0.15,21,0.3,0.2,0.06833480158647774,0.04086174880850885,-0.027473052777968892,10064,31611,True,0.02012851191853471,0.033990086309971496
0.15,21,0.3,0.25,0.06630821043449943,0.03883515765653054,-0.027473052777968892,10229,32756,True,0.01825767062753601,0.03387800654169392
0.15,21,0.3,0.3,0.06548101149847965,0.03800795872051076,-0.027473052777968892,10300,33162,True,0.018130423638592623,0.033057336692197806
0.15,21,0.4,0.2,0.0707188489806453,0.043245796202676406,-0.027473052777968892,10048,29504,True,0.023717098820469316,0.031669979183037926
0.15,21,0.4,0.25,0.0684967744793045,0.04102372170133561,-0.027473052777968892,10213,30615,True,0.021624170180463028,0.0318026082127299
