date,rank,symbol,score,score_base,rv_z,volume_boost,rel_dvol,score_6m,mom_6m,vol_6m
2020-07-09,1,ALKYLAMINE,4.222436149014977,4.161183554266159,1.0564867327539096,1.0564867327539096,2.034236914678567,4.161183554266159,1.1022105493543446,0.05
2020-07-09,2,LTFOODS,3.8567549505702803,3.8752003222573266,0.726961027614344,0.726961027614344,1.5652591486875913,3.8752003222573266,1.021978021978022,0.05
2020-07-09,3,GRANULES,3.7097374781699206,3.3664673635815596,1.9070028761832984,1.9070028761832984,4.000942650825821,3.3664673635815596,0.879253112033195,0.05
2020-07-09,4,ADANIGREEN,3.4789201869778323,3.306441112761734,1.2973874235551093,1.2973874235551093,2.463806013117816,3.306441112761734,0.8624127617148556,0.05
2020-07-09,5,ESCORTS,3.2805183436320813,3.29738318645354,0.6315903708378958,0.6315903708378958,1.4509286783004163,3.29738318645354,0.859871562654372,0.05
2020-07-09,6,AUROPHARMA,3.0046890727526554,3.1965790436628203,-0.011587228600632226,0.0,0.8699577854195049,3.1965790436628203,0.8329199549041713,0.050079905292233724
2020-07-09,7,SUZLON,2.939681819251541,2.5281657566756524,2.751443329009484,2.0,13.469618171742699,2.5281657566756524,0.6440677966101693,0.05
2020-07-09,8,IRB,2.9193131782543045,2.5067299074890896,2.6561917823391576,2.0,7.259815520743349,2.5067299074890896,0.6666666666666667,0.05224218432738716
2020-07-09,9,NAVINFLUOR,2.7654620518594353,2.9448178023549945,-1.139290433036431,0.0,0.35481290798900683,2.9448178023549945,0.7609594284256187,0.05
2020-07-09,10,TTML,2.6280015542678803,2.6879274051142263,0.37409234156603616,0.37409234156603616,1.1822477886082547,2.6879274051142263,0.6888888888888889,0.05
2020-07-09,11,INDIACEM,2.565507650724773,2.734386856692316,-0.7808024711538966,0.0,0.4718652549185274,2.734386856692316,0.7019230769230771,0.05
2020-07-09,12,JBCHEPHARM,2.3893178352853064,2.504050023800485,0.1497187016992725,0.1497187016992725,0.9890353823984022,2.504050023800485,0.6373021335168618,0.05
2020-07-09,13,APLLTD,2.3812485017807816,2.540473510753151,-0.24843994147446194,0.0,0.7205951508385838,2.540473510753151,0.647520734074466,0.05
2020-07-09,14,DIXON,2.2807693126765205,2.2681872759966053,0.5551415728846016,0.5551415728846016,1.365341598939745,2.2681872759966053,0.5711308960030308,0.05
2020-07-09,15,BAYERCROP,2.1596356869637168,2.3072493660066873,-0.41179904530975137,0.0,0.6328030119764385,2.3072493660066873,0.5820897560176399,0.05
2020-07-09,16,BSOFT,2.090920524935457,1.759686939827516,1.5841565200913017,1.5841565200913017,3.0949528309629613,1.759686939827516,0.42847124824684424,0.05
2020-07-09,17,TARIL,2.0702676877926818,2.21319896016002,-0.2601973217752652,0.0,0.7138885880001451,2.21319896016002,0.6249999999999998,0.05623498037612607
2020-07-09,18,IRCTC,2.0453636195859106,2.186990051559557,-1.4312578632881292,0.0,0.28129138314723584,2.186990051559557,0.548351034097261,0.05
2020-07-09,19,TATACOMM,1.896053432493229,2.029856806736281,-2.1188459983386205,0.0,0.16280567317740077,2.029856806736281,0.5042673398244983,0.05
2020-07-09,20,LAURUSLABS,1.8860449205605458,2.019323902140436,-0.2589664144393778,0.0,0.7145877782311132,2.019323902140436,0.5013123359580052,0.05
