symbol,shares,avg_cost,entry_date,entry_rank,holding_days,last_price,pnl_pct,notional,contribution_pct
LTF,1956.9138503672755,223.558725,2025-08-22,20,154,287.0,0.2837790160057496,561634.275055408,0.0489684209046056
NETWEB,155.1584831163895,2886.9123,2025-09-05,12,140,3079.0,0.066537421313422,477732.9695153633,0.04165313651651247
ATHERENERG,663.0047679735447,645.100125,2025-11-07,2,77,620.5,-0.03813380907343655,411394.4585275845,0.03586913744004251
NATIONALUM,1617.3418856777105,263.93431499999997,2025-11-14,13,70,371.3,0.40678941273702907,600519.0421521339,0.05235875110085685
MUTHOOTFIN,115.84027374863062,3685.0053000000003,2025-11-14,21,70,3815.0,0.03527666568077925,441930.6443510258,0.038531561844386435
IDEA,39629.76583736293,10.7715,2025-11-14,22,70,9.9,-0.08090795153878283,392334.681789893,0.034207331508509915
HINDCOPPER,1146.8389833270223,366.99502500000006,2025-12-05,14,49,539.0,0.4686847594187413,618146.212013265,0.053895649241611686
ASHOKLEY,2713.4869763830297,162.77991,2025-12-12,21,42,193.0,0.18564999820923855,523702.98644192476,0.04566122369678584
M&MFIN,1360.0698883631449,371.31615000000005,2025-12-19,17,35,360.8,-0.028321283628519933,490713.2157214227,0.04278487328525049
JKTYRE,941.8625410499229,511.79655,2025-12-24,15,30,503.0,-0.017187591436480076,473756.8581481112,0.04130646270466938
SHRIRAMFIN,496.803675742009,970.2867,2025-12-24,17,30,1002.9,0.03361202415739584,498244.4064016608,0.04344151147761573
HINDZINC,771.6723573882573,624.6718500000001,2025-12-24,18,30,696.9,0.11562574814280469,537778.4658638765,0.04688845293008049
GPIL,1884.4814203920102,255.79557,2025-12-24,22,30,241.0,-0.05784138482148071,454160.02231447445,0.03959783104146594
VEDL,772.605084388744,608.84025,2026-01-09,18,14,685.15,0.12533624378480246,529350.3735689479,0.046153614638951956
INDIACEM,1007.8719682295263,466.71907500000003,2026-01-09,20,14,430.0,-0.07867489667097927,433384.9463386963,0.03778646960949724
MCX,196.415242522091,2367.225,2026-01-14,10,9,2298.0,-0.029243101099388435,451362.2273157651,0.03935389364450404
HINDALCO,489.4712802494027,949.92105,2026-01-14,16,9,951.0,0.0011358312356588574,465487.18751718197,0.04058543706541714
CANBK,3042.128104752614,152.84007,2026-01-14,20,9,151.8,-0.006804956318064881,461795.04630144686,0.040263522372668864
INDIANB,558.2663744687679,832.8624000000001,2026-01-14,23,9,873.85,0.04921293121168624,487841.0713295329,0.04253445342711953
BANKINDIA,3091.067215950173,150.42024,2026-01-14,24,9,159.64,0.06129334722508073,493457.97035428556,0.043024186137245915
CUB,1521.46739346804,279.770925,2026-01-23,19,0,275.5,-0.015265792898243369,419164.266900445,0.03654658050868861
AUBANK,431.26005238180306,987.0201,2026-01-23,21,0,967.0,-0.020283376194669134,417028.47065320355,0.03636036222706561
FEDERALBNK,1510.3109575991296,281.83754999999996,2026-01-23,22,0,279.5,-0.008293962248820175,422131.9126489567,0.03680532704992231
